#S10-4
#Lat: -26.863503844
#Lon: 116.693562826
#HAE: 325.5680
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,469542.6280,7028654.6833,342.3997,-26.863423168,116.693389090,325.5880,-2557849.3277,5087179.4907,-2864870.8791,-17.2658,8.9395,0.0199
SB01-02,189,469546.7895,7028654.6871,342.4008,-26.863423225,116.693430982,325.5891,-2557853.0464,5087177.6189,-2864870.8852,-13.1026,8.9332,0.0211
SB01-03,155,469546.1016,7028653.0349,342.4004,-26.863438127,116.693424017,325.5886,-2557852.0927,5087177.2629,-2864872.3580,-13.7948,7.2820,0.0206
SB01-04,121,469548.2248,7028650.4239,342.4289,-26.863461748,116.693445327,325.6171,-2557853.4649,5087175.2776,-2864874.7058,-11.6770,4.6646,0.0491
SB01-05,100,469549.4580,7028651.9732,342.3940,-26.863447787,116.693457780,325.5823,-2557854.8705,5087175.3184,-2864873.3100,-10.4395,6.2116,0.0142
SB01-06,134,469548.1987,7028653.4033,342.4143,-26.863434847,116.693445138,325.6026,-2557854.0472,5087176.4778,-2864872.0401,-11.6958,7.6454,0.0345
SB01-07,113,469550.6648,7028654.9608,342.3935,-26.863420839,116.693470001,325.5818,-2557856.5616,5087175.9779,-2864870.6460,-9.2249,9.1976,0.0137
SB01-08,168,469548.5005,7028655.3051,342.3948,-26.863417683,116.693448222,325.5831,-2557854.6994,5087177.0924,-2864870.3346,-11.3893,9.5473,0.0151
SB01-09,202,469548.5327,7028657.3563,342.3897,-26.863399164,116.693448597,325.5781,-2557855.1472,5087177.9001,-2864868.5018,-11.3521,11.5993,0.0100
SB01-10,223,469545.2211,7028655.5242,342.4026,-26.863415633,116.693415215,325.5909,-2557851.8180,5087178.6639,-2864870.1356,-14.6696,9.7744,0.0229
SB02-01,231,469541.8915,7028650.6118,342.4121,-26.863459912,116.693381576,325.6004,-2557847.8391,5087178.1923,-2864874.5168,-18.0125,4.8680,0.0323
SB02-02,203,469540.8022,7028648.4290,342.4211,-26.863479597,116.693370557,325.6093,-2557846.4216,5087177.8109,-2864876.4667,-19.1076,2.6868,0.0413
SB02-03,197,469543.4371,7028649.6003,342.4169,-26.863469079,116.693397111,325.6051,-2557849.0141,5087177.0926,-2864875.4250,-16.4687,3.8523,0.0371
