#S9-3
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,474975.8948,7026785.2400,333.2376,-26.880411996,116.748045951,333.2376,-2562321.1560,5083983.3996,-2866553.5499
SB01-02,474973.4890,7026781.8683,333.2376,-26.880442395,116.748021660,333.2376,-2562318.3152,5083983.1259,-2866556.5543
SB01-03,474972.5336,7026783.3835,333.2376,-26.880428698,116.748012072,333.2376,-2562317.7733,5083984.1675,-2866555.2005
SB01-04,474969.1646,7026783.1572,333.2376,-26.880430681,116.747978147,333.2376,-2562314.7183,5083985.5959,-2866555.3965
SB01-05,474969.6750,7026781.2672,333.2376,-26.880447753,116.747983247,333.2376,-2562314.7860,5083984.6040,-2866557.0839
SB01-06,474971.6151,7026781.4322,333.2376,-26.880446299,116.748002785,333.2376,-2562316.5524,5083983.7954,-2866556.9402
SB01-07,474971.4088,7026778.5166,333.2376,-26.880472619,116.748000649,333.2376,-2562315.7694,5083982.7133,-2866559.5415
SB01-08,474973.0070,7026780.0933,333.2376,-26.880458412,116.748016772,333.2376,-2562317.5203,5083982.6279,-2866558.1374
SB01-09,474974.6378,7026778.8664,333.2376,-26.880469519,116.748033167,333.2376,-2562318.7246,5083981.3978,-2866559.2351
SB01-10,474975.0502,7026782.6192,333.2376,-26.880435643,116.748037395,333.2376,-2562319.8636,5083982.7243,-2866555.8870
SB02-01,474972.9933,7026788.2085,333.2376,-26.880385143,116.748016797,333.2376,-2562319.1746,5083985.9048,-2866550.8958
SB02-02,474971.8640,7026790.3659,333.2376,-26.880365644,116.748005470,333.2376,-2562318.6092,5083987.2837,-2866548.9687
SB02-03,474971.2973,7026787.5596,333.2376,-26.880390971,116.747999707,333.2376,-2562317.5268,5083986.4083,-2866551.4718
SB02-04,474969.4013,7026790.1118,333.2376,-26.880367894,116.747980669,333.2376,-2562316.3579,5083988.2921,-2866549.1911
SB02-05,474967.6926,7026789.7138,333.2376,-26.880371457,116.747963457,333.2376,-2562314.7503,5083988.9024,-2866549.5432
SB02-06,474969.0980,7026787.6234,333.2376,-26.880390355,116.747977565,333.2376,-2562315.5760,5083987.4260,-2866551.4110
SB02-07,474967.2787,7026786.7728,333.2376,-26.880398002,116.747959231,333.2376,-2562313.7768,5083987.9038,-2866552.1668
SB02-08,474968.2967,7026785.2782,333.2376,-26.880411515,116.747969451,333.2376,-2562314.3789,5083986.8423,-2866553.5023
SB02-09,474970.0957,7026784.8717,333.2376,-26.880415218,116.747987556,333.2376,-2562315.9019,5083985.8670,-2866553.8683
SB02-10,474972.1315,7026785.8956,333.2376,-26.880406009,116.748008073,333.2376,-2562317.9300,5083985.3614,-2866552.9582
SB02-11,474974.1795,7026784.5578,333.2376,-26.880418125,116.748028667,333.2376,-2562319.4842,5083983.8984,-2866554.1556
SB03-01,474967.8249,7026791.8283,333.2376,-26.880352368,116.747964832,333.2376,-2562315.3027,5083989.6950,-2866547.6565
SB03-02,474966.1931,7026790.9687,333.2376,-26.880360100,116.747948385,333.2376,-2562313.6690,5083990.0846,-2866548.4207
SB03-03,474964.7071,7026794.2878,333.2376,-26.880330106,116.747933489,333.2376,-2562313.0235,5083992.0926,-2866545.4563
SB03-04,474963.9717,7026790.9179,333.2376,-26.880360518,116.747926018,333.2376,-2562311.6749,5083991.0661,-2866548.4620
SB03-05,474963.8296,7026792.6734,333.2376,-26.880344666,116.747924623,333.2376,-2562311.9085,5083991.8377,-2866546.8953
SB03-06,474960.5556,7026790.4347,333.2376,-26.880364820,116.747891613,333.2376,-2562308.5251,5083992.4123,-2866548.8872
SB03-07,474963.2428,7026789.2846,333.2376,-26.880375252,116.747918646,333.2376,-2562310.6885,5083990.7366,-2866549.9183
SB03-08,474959.0503,7026789.1865,333.2376,-26.880376062,116.747876433,333.2376,-2562306.9245,5083992.5882,-2866549.9983
SB03-09,474961.4284,7026788.2547,333.2376,-26.880384518,116.747900357,333.2376,-2562308.8568,5083991.1400,-2866550.8341
SB03-10,474963.9750,7026787.5394,333.2376,-26.880391022,116.747925983,333.2376,-2562310.9840,5083989.7030,-2866551.4769
SB03-11,474966.3391,7026788.5321,333.2376,-26.880382102,116.747949806,333.2376,-2562313.2990,5083989.0367,-2866550.5952
SB04-01,474965.5388,7026784.3747,333.2376,-26.880419623,116.747941665,333.2376,-2562311.7305,5083987.7221,-2866554.3037
SB04-02,474965.2917,7026786.1891,333.2376,-26.880403237,116.747939213,333.2376,-2562311.8825,5083988.5649,-2866552.6841
SB04-03,474962.2841,7026786.5687,333.2376,-26.880399756,116.747908940,333.2376,-2562309.2747,5083990.0745,-2866552.3401
SB04-04,474962.6137,7026784.7303,333.2376,-26.880416360,116.747912221,333.2376,-2562309.1915,5083989.1849,-2866553.9812
SB04-05,474961.3111,7026783.4461,333.2376,-26.880427931,116.747899081,333.2376,-2562307.7646,5083989.2548,-2866555.1248
SB04-06,474960.5739,7026781.7336,333.2376,-26.880443380,116.747891624,333.2376,-2562306.7546,5083988.8972,-2866556.6517
SB04-07,474963.6660,7026782.9486,333.2376,-26.880432465,116.747922780,333.2376,-2562309.7653,5083987.9921,-2866555.5729
SB04-08,474962.2577,7026780.3437,333.2376,-26.880455958,116.747908549,333.2376,-2562307.9728,5083987.5775,-2866557.8949
SB04-09,474965.2558,7026782.1129,333.2376,-26.880440039,116.747938771,333.2376,-2562311.0134,5083986.9382,-2866556.3214
