#S8-2
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,473204.9885,7029471.0262,330.3376,-26.856130022,116.730273349,330.3376,-2561289.8122,5085861.7030,-2864152.0784
SB01-02,473201.3041,7029469.1336,330.3376,-26.856147039,116.730236221,330.3376,-2561286.1334,5085862.6019,-2864153.7607
SB01-03,473201.1502,7029470.9181,330.3376,-26.856130924,116.730234709,330.3376,-2561286.3620,5085863.3900,-2864152.1676
SB01-04,473198.0526,7029472.2622,330.3376,-26.856118729,116.730203557,330.3376,-2561283.8714,5085865.3278,-2864150.9621
SB01-05,473197.6393,7029470.3487,330.3376,-26.856135998,116.730199356,330.3376,-2561283.1096,5085864.7436,-2864152.6692
SB01-06,473199.4390,7029469.6055,330.3376,-26.856142743,116.730217456,330.3376,-2561284.5645,5085863.6329,-2864153.3360
SB01-07,473197.9184,7029467.1092,330.3376,-26.856165251,116.730202096,330.3376,-2561282.6942,5085863.3132,-2864155.5611
SB01-08,473200.0617,7029467.7773,330.3376,-26.856159261,116.730223685,330.3376,-2561284.7455,5085862.6159,-2864154.9689
SB01-09,473200.9482,7029465.9391,330.3376,-26.856175875,116.730232569,330.3376,-2561285.1600,5085861.4760,-2864156.6113
SB01-10,473203.0359,7029469.0848,330.3376,-26.856147513,116.730253652,330.3376,-2561287.6700,5085861.8015,-2864153.8076
SB02-01,473203.7716,7029474.9949,330.3376,-26.856094167,116.730261185,330.3376,-2561289.5397,5085863.8498,-2864148.5340
SB02-02,473203.7576,7029477.4299,330.3376,-26.856072181,116.730261095,330.3376,-2561290.0268,5085864.8367,-2864146.3606
SB02-03,473201.9669,7029475.1961,330.3376,-26.856092315,116.730243022,330.3376,-2561287.9692,5085864.7445,-2864148.3509
SB02-04,473201.4526,7029478.3336,330.3376,-26.856063978,116.730237913,330.3376,-2561288.1537,5085866.2398,-2864145.5496
SB02-05,473199.7517,7029478.7637,330.3376,-26.856060062,116.730220800,330.3376,-2561286.7229,5085867.1798,-2864145.1626
SB02-06,473200.0418,7029476.2616,330.3376,-26.856082659,116.730223667,330.3376,-2561286.4686,5085866.0414,-2864147.3963
SB02-07,473198.0351,7029476.3401,330.3376,-26.856081911,116.730203468,330.3376,-2561284.6925,5085866.9778,-2864147.3224
SB02-08,473198.2541,7029474.5451,330.3376,-26.856098122,116.730205635,330.3376,-2561284.5198,5085866.1562,-2864148.9249
SB02-09,473199.6663,7029473.3587,330.3376,-26.856108860,116.730219825,330.3376,-2561285.5376,5085865.0418,-2864149.9865
SB02-10,473201.9450,7029473.3349,330.3376,-26.856109119,116.730242762,330.3376,-2561287.5678,5085864.0049,-2864150.0121
SB02-11,473203.1514,7029471.2068,330.3376,-26.856128356,116.730254860,330.3376,-2561288.2085,5085862.6040,-2864151.9138
SB03-01,473200.8391,7029480.5820,330.3376,-26.856043666,116.730231785,330.3376,-2561288.0671,5085867.4218,-2864143.5417
SB03-02,473198.9948,7029480.5665,330.3376,-26.856043770,116.730213219,330.3376,-2561286.4168,5085868.2471,-2864143.5520
SB03-03,473199.1966,7029484.1975,330.3376,-26.856010991,116.730215328,330.3376,-2561287.3420,5085869.6183,-2864140.3116
SB03-04,473196.9976,7029481.5403,330.3376,-26.856034940,116.730193136,330.3376,-2561284.8328,5085869.5397,-2864142.6791
SB03-05,473197.6764,7029483.1654,330.3376,-26.856020281,116.730200004,330.3376,-2561285.7726,5085869.8880,-2864141.2299
SB03-06,473193.7403,7029482.6776,330.3376,-26.856024609,116.730160371,330.3376,-2561282.1571,5085871.4662,-2864141.6578
SB03-07,473195.6007,7029480.4232,330.3376,-26.856045000,116.730179050,330.3376,-2561283.3561,5085869.7196,-2864143.6735
SB03-08,473191.8302,7029482.2589,330.3376,-26.856028353,116.730141135,330.3376,-2561280.3653,5085872.1587,-2864142.0279
SB03-09,473193.5160,7029480.3402,330.3376,-26.856045709,116.730158064,330.3376,-2561281.4772,5085870.6260,-2864143.7437
SB03-10,473195.4509,7029478.5366,330.3376,-26.856062030,116.730177502,330.3376,-2561282.8352,5085869.0274,-2864145.3571
SB03-11,473198.0070,7029478.3344,330.3376,-26.856063905,116.730203228,330.3376,-2561285.0766,5085867.7936,-2864145.5424
SB04-01,473195.3890,7029475.0071,330.3376,-26.856093895,116.730176804,330.3376,-2561282.0558,5085867.6340,-2864148.5072
SB04-02,473196.0016,7029476.7328,330.3376,-26.856078327,116.730183008,330.3376,-2561282.9570,5085868.0527,-2864146.9681
SB04-03,473193.5031,7029478.4495,330.3376,-26.856062779,116.730157894,330.3376,-2561281.0778,5085869.8704,-2864145.4311
SB04-04,473192.9529,7029476.6647,330.3376,-26.856078883,116.730152316,330.3376,-2561280.2201,5085869.3998,-2864147.0231
SB04-05,473191.2063,7029476.1209,330.3376,-26.856083759,116.730134724,330.3376,-2561278.5488,5085869.9683,-2864147.5051
SB04-06,473189.7658,7029474.9373,330.3376,-26.856094418,116.730120198,330.3376,-2561277.0194,5085870.1411,-2864148.5588
SB04-07,473193.0707,7029474.5988,330.3376,-26.856097537,116.730153459,330.3376,-2561279.9015,5085868.5148,-2864148.8672
SB04-08,473190.6246,7029472.9300,330.3376,-26.856112557,116.730128799,330.3376,-2561277.3745,5085868.9456,-2864150.3520
SB04-09,473194.1002,7029473.1271,330.3376,-26.856110845,116.730163790,330.3376,-2561280.5190,5085867.4579,-2864150.1827
SB04-10,473194.9774,7029471.4830,330.3376,-26.856125705,116.730172585,330.3376,-2561280.9651,5085866.4004,-2864151.6517
SB04-11,473196.3989,7029473.3995,330.3376,-26.856108430,116.730186935,330.3376,-2561282.6278,5085866.5313,-2864149.9440
SB05-01,473196.2847,7029469.0135,330.3376,-26.856148027,116.730185691,330.3376,-2561281.6259,5085864.8166,-2864153.8583
SB05-02,473193.6633,7029470.2830,330.3376,-26.856136515,116.730159331,330.3376,-2561279.5452,5085866.5096,-2864152.7203
SB05-03,473192.4294,7029471.7839,330.3376,-26.856122940,116.730146942,330.3376,-2561278.7512,5085867.6703,-2864151.3784
SB05-04,473191.7205,7029470.1013,330.3376,-26.856138118,116.730139771,330.3376,-2561277.7728,5085867.3124,-2864152.8788
SB05-05,473189.2067,7029468.9875,330.3376,-26.856148126,116.730114442,330.3376,-2561275.2992,5085867.9972,-2864153.8682
SB05-06,473189.8032,7029467.2410,330.3376,-26.856163906,116.730120410,330.3376,-2561275.4737,5085867.0249,-2864155.4281
SB05-07,473192.4006,7029468.0996,330.3376,-26.856156204,116.730146574,330.3376,-2561277.9695,5085866.1997,-2864154.6667
SB05-08,473194.2050,7029468.3059,330.3376,-26.856154375,116.730164742,330.3376,-2561279.6234,5085865.4692,-2864154.4859
SB05-09,473194.2440,7029465.2428,330.3376,-26.856182033,116.730165069,330.3376,-2561279.0297,5085864.2181,-2864157.2200
SB05-10,473195.1470,7029466.7751,330.3376,-26.856168214,116.730174191,330.3376,-2561280.1505,5085864.4281,-2864155.8540
SB06-01,473195.3375,7029485.6843,330.3376,-26.855997494,116.730176514,330.3376,-2561284.2006,5085871.9568,-2864138.9773
SB06-02,473197.6795,7029485.7351,330.3376,-26.855997080,116.730200090,330.3376,-2561286.3026,5085870.9214,-2864138.9364
SB06-03,473193.5997,7029487.2279,330.3376,-26.855983523,116.730159054,330.3376,-2561282.9652,5085873.3619,-2864137.5962
SB06-04,473191.4791,7029489.1471,330.3376,-26.855966155,116.730137749,330.3376,-2561281.4651,5085875.0909,-2864135.8792
SB06-05,473190.0472,7029488.1918,330.3376,-26.855974753,116.730123314,330.3376,-2561279.9903,5085875.3517,-2864136.7292
SB06-06,473192.4968,7029485.8846,330.3376,-26.855995630,116.730147923,330.3376,-2561281.7046,5085873.3182,-2864138.7931
SB06-07,473190.5952,7029486.1397,330.3376,-26.855993290,116.730128787,330.3376,-2561280.0587,5085874.2783,-2864138.5618
SB06-08,473188.8847,7029483.8809,330.3376,-26.856013652,116.730111520,330.3376,-2561278.0676,5085874.1399,-2864140.5746
SB06-09,473189.8210,7029482.4270,330.3376,-26.856026797,116.730120914,330.3376,-2561278.6054,5085873.1322,-2864141.8741
SB06-10,473191.3417,7029484.4650,330.3376,-26.856008425,116.730136265,330.3376,-2561280.3817,5085873.2674,-2864140.0579
SB06-11,473194.0092,7029484.4827,330.3376,-26.856008317,116.730163117,330.3376,-2561282.7677,5085872.0719,-2864140.0472
SB07-01,473190.8906,7029479.0276,330.3376,-26.856057509,116.730131608,330.3376,-2561278.8632,5085871.2811,-2864144.9102
SB07-02,473190.7058,7029480.7930,330.3376,-26.856041566,116.730129786,330.3376,-2561279.0604,5085872.0753,-2864143.3341
SB07-03,473188.7159,7029478.7037,330.3376,-26.856060392,116.730109710,330.3376,-2561276.8545,5085872.1311,-2864145.1951
SB07-04,473187.9267,7029481.3156,330.3376,-26.856036794,116.730101822,330.3376,-2561276.6856,5085873.5388,-2864142.8624
SB07-05,473185.3169,7029480.8540,330.3376,-26.856040912,116.730075541,330.3376,-2561274.2601,5085874.5295,-2864143.2694
