#S8-5
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,473156.2932,7029529.2231,330.3376,-26.855603645,116.729784420,330.3376,-2561258.2636,5085907.0924,-2864100.0429
SB01-02,473152.7247,7029531.3260,330.3376,-26.855584590,116.729748544,330.3376,-2561255.5080,5085909.5481,-2864098.1593
SB01-03,473154.1509,7029532.4097,330.3376,-26.855574833,116.729762923,330.3376,-2561257.0041,5085909.3415,-2864097.1947
SB01-04,473153.6318,7029535.7462,330.3376,-26.855544699,116.729757769,330.3376,-2561257.2250,5085910.9191,-2864094.2158
SB01-05,473151.7935,7029535.0731,330.3376,-26.855550741,116.729739251,330.3376,-2561255.4452,5085911.4768,-2864094.8131
SB01-06,473152.1269,7029533.1547,330.3376,-26.855568068,116.729742566,330.3376,-2561255.3493,5085910.5540,-2864096.5259
SB01-07,473149.2044,7029533.1061,330.3376,-26.855568450,116.729713146,330.3376,-2561252.7293,5085911.8520,-2864096.5637
SB01-08,473150.9144,7029531.6514,330.3376,-26.855581617,116.729730328,330.3376,-2561253.9580,5085910.4953,-2864097.8653
SB01-09,473149.8343,7029529.9199,330.3376,-26.855597230,116.729719418,330.3376,-2561252.6381,5085910.2850,-2864099.4088
SB01-10,473153.6088,7029529.8361,330.3376,-26.855598059,116.729757412,330.3376,-2561255.9919,5085908.5495,-2864099.4907
SB02-01,473158.9976,7029532.3723,330.3376,-26.855575264,116.729811710,330.3376,-2561261.3250,5085907.1414,-2864097.2373
SB02-02,473161.0483,7029533.6854,330.3376,-26.855563448,116.729832381,330.3376,-2561263.4259,5085906.7455,-2864096.0692
SB02-03,473158.2033,7029534.0053,330.3376,-26.855560504,116.729803750,330.3376,-2561260.9507,5085908.1570,-2864095.7782
SB02-04,473160.5805,7029536.1165,330.3376,-26.855541489,116.729827725,330.3376,-2561263.5069,5085907.9354,-2864093.8984
SB02-05,473160.0351,7029537.7840,330.3376,-26.855526423,116.729822270,330.3376,-2561263.3620,5085908.8528,-2864092.4091
SB02-06,473158.0752,7029536.2018,330.3376,-26.855540671,116.729802508,330.3376,-2561261.2870,5085909.0993,-2864093.8176
SB02-07,473157.0693,7029537.9400,330.3376,-26.855524958,116.729792419,330.3376,-2561260.7452,5085910.2527,-2864092.2642
SB02-08,473155.6691,7029536.7957,330.3376,-26.855535263,116.729778300,330.3376,-2561259.2599,5085910.4232,-2864093.2829
SB02-09,473155.4209,7029534.9681,330.3376,-26.855551759,116.729775762,330.3376,-2561258.6632,5085909.7991,-2864094.9137
SB02-10,473156.6184,7029533.0293,330.3376,-26.855569286,116.729787775,330.3376,-2561259.3349,5085908.4785,-2864096.6464
SB02-11,473155.4642,7029530.8724,330.3376,-26.855588738,116.729776110,330.3376,-2561257.8615,5085908.1304,-2864098.5693
SB03-01,473162.1532,7029537.8365,330.3376,-26.855525990,116.729843592,330.3376,-2561265.2644,5085907.9191,-2864092.3662
SB03-02,473161.1545,7029539.3872,330.3376,-26.855511970,116.729833573,330.3376,-2561264.6907,5085908.9937,-2864090.9803
SB03-03,473164.3315,7029541.1569,330.3376,-26.855496054,116.729865591,330.3376,-2561267.8911,5085908.2740,-2864089.4069
SB03-04,473160.9104,7029541.5957,330.3376,-26.855492025,116.729831163,330.3376,-2561264.9257,5085909.9931,-2864089.0087
SB03-05,473162.6468,7029541.8903,330.3376,-26.855489399,116.729848648,330.3376,-2561266.5370,5085909.3289,-2864088.7490
SB03-06,473160.1312,7029544.9567,330.3376,-26.855461665,116.729823391,330.3376,-2561264.9195,5085911.6978,-2864086.0073
SB03-07,473159.2197,7029542.1795,330.3376,-26.855486722,116.729814156,330.3376,-2561263.5356,5085910.9905,-2864088.4844
SB03-08,473158.7566,7029546.3475,330.3376,-26.855449082,116.729809585,330.3376,-2561263.9772,5085912.8776,-2864084.7634
SB03-09,473158.0356,7029543.8973,330.3376,-26.855471190,116.729802274,330.3376,-2561262.8305,5085912.2160,-2864086.9490
SB03-10,473157.5450,7029541.2980,330.3376,-26.855494648,116.729797280,330.3376,-2561261.8591,5085911.3905,-2864089.2680
SB03-11,473158.7400,7029539.0294,330.3376,-26.855515154,116.729809260,330.3376,-2561262.4608,5085909.9382,-2864091.2951
SB04-01,473154.5286,7029539.4643,330.3376,-26.855511146,116.729766877,330.3376,-2561258.7889,5085912.0120,-2864090.8989
SB04-02,473156.3146,7029539.8686,330.3376,-26.855507530,116.729784864,330.3376,-2561260.4669,5085911.3696,-2864090.5414
SB04-03,473156.4306,7029542.8978,330.3376,-26.855480183,116.729786096,330.3376,-2561261.1920,5085912.5371,-2864087.8379
SB04-04,473154.6279,7029542.4093,330.3376,-26.855484559,116.729767940,330.3376,-2561259.4818,5085913.1531,-2864088.2706
SB04-05,473153.2351,7029543.5950,330.3376,-26.855473827,116.729753944,330.3376,-2561258.4811,5085914.2586,-2864087.2096
SB04-06,473151.4648,7029544.1801,330.3376,-26.855468510,116.729736138,330.3376,-2561257.0202,5085915.2923,-2864086.6840
SB04-07,473152.9447,7029541.2057,330.3376,-26.855495393,116.729750971,330.3376,-2561257.7316,5085913.4273,-2864089.3416
SB04-08,473150.2270,7029542.3817,330.3376,-26.855484724,116.729723639,330.3376,-2561255.5457,5085915.1261,-2864088.2869
SB04-09,473152.2508,7029539.5491,330.3376,-26.855510337,116.729743950,330.3376,-2561256.7720,5085913.0731,-2864090.8189
SB04-10,473151.3299,7029537.9291,330.3376,-26.855524946,116.729734645,330.3376,-2561255.6171,5085912.8359,-2864092.2630
SB04-11,473153.7094,7029537.7517,330.3376,-26.855526594,116.729758594,330.3376,-2561257.7058,5085911.6917,-2864092.4259
SB05-01,473149.9411,7029535.5046,330.3376,-26.855546809,116.729720613,330.3376,-2561253.8793,5085912.4857,-2864094.4244
SB05-02,473149.6134,7029538.3987,330.3376,-26.855520673,116.729717377,330.3376,-2561254.1804,5085913.7989,-2864091.8407
SB05-03,473150.2226,7029540.2437,330.3376,-26.855504027,116.729723549,330.3376,-2561255.1031,5085914.2672,-2864090.1951
SB05-04,473148.4216,7029539.9438,330.3376,-26.855506700,116.729705414,330.3376,-2561253.4331,5085914.9583,-2864090.4593
SB05-05,473146.1369,7029541.4734,330.3376,-26.855492845,116.729682448,330.3376,-2561251.7065,5085916.6044,-2864089.0897
SB05-06,473144.9795,7029540.0360,330.3376,-26.855505802,116.729670766,330.3376,-2561250.3778,5085916.5473,-2864090.3705
SB05-07,473147.0931,7029538.2993,330.3376,-26.855521522,116.729692005,330.3376,-2561251.9092,5085914.8951,-2864091.9246
SB05-08,473148.2317,7029536.8843,330.3376,-26.855534319,116.729703436,330.3376,-2561252.6358,5085913.8120,-2864093.1897
SB05-09,473145.6633,7029535.2146,330.3376,-26.855549345,116.729677547,330.3376,-2561249.9994,5085914.2975,-2864094.6751
SB05-10,473147.4411,7029535.2702,330.3376,-26.855548878,116.729695443,330.3376,-2561251.5985,5085913.5184,-2864094.6289
SB06-01,473163.5261,7029545.2132,330.3376,-26.855459415,116.729857570,330.3376,-2561268.0041,5085910.2706,-2864085.7849
SB06-02,473164.8205,7029543.2608,330.3376,-26.855477067,116.729870558,330.3376,-2561268.7595,5085908.9008,-2864087.5299
SB06-03,473163.9023,7029547.5070,330.3376,-26.855438712,116.729861406,330.3376,-2561268.8107,5085911.0246,-2864083.7383
SB06-04,473164.3914,7029550.3250,330.3376,-26.855413278,116.729866390,330.3376,-2561269.8257,5085911.9389,-2864081.2240
SB06-05,473162.8187,7029551.0248,330.3376,-26.855406930,116.729850574,330.3376,-2561268.5647,5085912.9297,-2864080.5964
SB06-06,473162.1775,7029547.7214,330.3376,-26.855436743,116.729844049,330.3376,-2561267.3143,5085911.8886,-2864083.5436
SB06-07,473161.3770,7029549.4651,330.3376,-26.855420984,116.729836029,330.3376,-2561266.9572,5085912.9516,-2864081.9858
SB06-08,473158.5537,7029549.7039,330.3376,-26.855418774,116.729807614,330.3376,-2561264.4847,5085914.3207,-2864081.7673
SB06-09,473157.8251,7029548.1356,330.3376,-26.855432920,116.729800246,330.3376,-2561263.5121,5085914.0176,-2864083.1657
SB06-10,473160.3603,7029547.9392,330.3376,-26.855434741,116.729825762,330.3376,-2561265.7361,5085912.7956,-2864083.3457
SB06-11,473161.8007,7029545.6940,330.3376,-26.855455041,116.729840212,330.3376,-2561266.5617,5085911.2421,-2864085.3525
SB07-01,473155.5232,7029545.4151,330.3376,-26.855457438,116.729777017,330.3376,-2561260.8982,5085913.9599,-2864085.5895
SB07-02,473156.9168,7029546.5146,330.3376,-26.855447538,116.729791068,330.3376,-2561262.3683,5085913.7744,-2864084.6108
SB07-03,473154.0875,7029547.0801,330.3376,-26.855442377,116.729762600,330.3376,-2561259.9575,5085915.2777,-2864084.1006
SB07-04,473155.8735,7029549.1430,330.3376,-26.855423787,116.729780622,330.3376,-2561261.9758,5085915.3031,-2864082.2629
SB07-05,473154.0887,7029551.1022,330.3376,-26.855406063,116.729762699,330.3376,-2561260.7839,5085916.8967,-2864080.5107
SB07-06,473152.8409,7029548.9453,330.3376,-26.855425513,116.729750092,330.3376,-2561259.2269,5085916.5908,-2864082.4335
SB07-07,473151.1905,7029549.7241,330.3376,-26.855418450,116.729733495,330.3376,-2561257.9127,5085917.6484,-2864081.7353
SB07-08,473148.8984,7029547.4226,330.3376,-26.855439185,116.729710373,330.3376,-2561255.3934,5085917.7550,-2864083.7851
SB07-09,473151.9167,7029547.1394,330.3376,-26.855441801,116.729740749,330.3376,-2561258.0309,5085916.2802,-2864084.0436
SB07-10,473150.5798,7029545.6822,330.3376,-26.855454932,116.729727261,330.3376,-2561256.5380,5085916.2961,-2864085.3417
SB07-11,473153.4711,7029545.3497,330.3376,-26.855457989,116.729756358,330.3376,-2561259.0520,5085914.8587,-2864085.6439
SB08-01,473158.9102,7029551.8921,330.3376,-26.855399024,116.729811249,330.3376,-2561265.2520,5085915.0411,-2864079.8149
SB08-02,473161.0647,7029551.9215,330.3376,-26.855398800,116.729832937,330.3376,-2561267.1822,5085914.0816,-2864079.7927
SB08-03,473161.7502,7029553.5319,330.3376,-26.855384274,116.729839873,330.3376,-2561268.1249,5085914.4210,-2864078.3567
SB08-04,473160.7209,7029554.9630,330.3376,-26.855371333,116.729829541,330.3376,-2561267.4992,5085915.4614,-2864077.0775
SB08-05,473160.5905,7029556.8965,330.3376,-26.855353873,116.729828271,330.3376,-2561267.7795,5085916.2987,-2864075.3514
SB08-06,473158.2843,7029554.5134,330.3376,-26.855375345,116.729805005,330.3376,-2561265.2308,5085916.3789,-2864077.4741
SB08-07,473156.5290,7029554.1392,330.3376,-26.855378690,116.729787328,330.3376,-2561263.5864,5085917.0195,-2864077.8047
SB08-08,473155.3335,7029552.5444,330.3376,-26.855393066,116.729775260,330.3376,-2561262.1915,5085916.9163,-2864079.2259
SB08-09,473157.1303,7029552.3813,330.3376,-26.855394573,116.729793342,330.3376,-2561263.7627,5085916.0406,-2864079.3749
