#S10-3
#Lat: -26.863673278
#Lon: 116.694387546
#HAE: 325.5725
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,469650.2801,7028644.7555,342.3937,-26.863515149,116.694472564,325.5819,-2557943.4554,5087127.0009,-2864879.9686,8.4491,17.5218,0.0093
SB01-02,189,469650.4194,7028640.6457,342.3870,-26.863552259,116.694473866,325.5750,-2557942.7336,5087125.2773,-2864883.6337,8.5785,13.4098,0.0025
SB01-03,155,469648.7449,7028641.2196,342.3899,-26.863547041,116.694457023,325.5780,-2557941.3567,5087126.2650,-2864883.1192,6.9046,13.9880,0.0055
SB01-04,121,469646.2041,7028639.0211,342.4033,-26.863566835,116.694431392,325.5913,-2557938.6411,5087126.5345,-2864885.0819,4.3574,11.7947,0.0188
SB01-05,100,469647.7740,7028637.8332,342.4004,-26.863577593,116.694447168,325.5884,-2557939.7986,5087125.3466,-2864886.1441,5.9252,10.6025,0.0159
SB01-06,134,469649.1628,7028639.1426,342.3953,-26.863565802,116.694461180,325.5833,-2557941.3059,5087125.2445,-2864884.9762,7.3177,11.9091,0.0108
SB01-07,113,469650.7954,7028636.7192,342.3923,-26.863587717,116.694477556,325.5803,-2557942.2658,5087123.5307,-2864887.1411,8.9452,9.4808,0.0079
SB01-08,168,469651.0834,7028638.8902,342.3648,-26.863568123,116.694480508,325.5528,-2557942.9575,5087124.2535,-2864885.1918,9.2385,11.6519,-0.0197
SB01-09,202,469653.1344,7028638.9233,342.3894,-26.863567868,116.694501156,325.5775,-2557944.8064,5087123.3627,-2864885.1778,11.2905,11.6801,0.0050
SB01-10,223,469651.2037,7028642.1750,342.4010,-26.863538468,116.694481799,325.5891,-2557943.7537,5087125.5513,-2864882.2768,9.3668,14.9380,0.0166
SB02-01,231,469646.1510,7028645.3635,342.3688,-26.863509570,116.694431011,325.5569,-2557939.8816,5087129.0858,-2864879.4058,4.3196,18.1400,-0.0156
SB02-02,203,469643.9625,7028646.3697,342.3954,-26.863500438,116.694409005,325.5836,-2557938.1438,5087130.4979,-2864878.5151,2.1326,19.1519,0.0111
SB02-03,197,469645.2044,7028643.8248,342.3994,-26.863523442,116.694421444,325.5875,-2557938.7324,5087128.9167,-2864880.7908,3.3688,16.6029,0.0150
SB02-04,218,469642.1632,7028644.7017,342.3879,-26.863515459,116.694390851,325.5760,-2557936.1911,5087130.6305,-2864879.9965,0.3285,17.4875,0.0035
SB02-05,184,469641.0100,7028643.2985,342.3885,-26.863528102,116.694379208,325.5765,-2557934.8731,5087130.5851,-2864881.2466,-0.8286,16.0865,0.0041
SB02-06,163,469643.4322,7028642.5566,342.3623,-26.863534853,116.694403573,325.5504,-2557936.8741,5087129.1745,-2864881.9021,1.5928,15.3385,-0.0221
SB02-07,129,469642.5039,7028640.7396,342.3844,-26.863551238,116.694394184,325.5725,-2557935.6808,5087128.8783,-2864883.5317,0.6597,13.5229,0.0000
SB02-08,108,469644.1995,7028640.1940,342.4158,-26.863556201,116.694411240,325.6038,-2557937.0961,5087127.9198,-2864884.0364,2.3547,12.9730,0.0313
SB02-09,142,469645.8861,7028640.9283,342.4021,-26.863549608,116.694428237,325.5902,-2557938.7480,5087127.4450,-2864883.3785,4.0439,13.7035,0.0177
SB02-10,176,469646.9143,7028643.0109,342.3569,-26.863530827,116.694438638,325.5450,-2557940.0758,5087127.7848,-2864881.5017,5.0775,15.7845,-0.0275
SB02-11,210,469649.3146,7028643.1789,342.3720,-26.863529363,116.694462805,325.5601,-2557942.2605,5087126.7834,-2864881.3637,7.4793,15.9468,-0.0124
SB03-01,239,469639.8565,7028645.1328,342.4073,-26.863511516,116.694367641,325.5954,-2557934.2267,5087131.8586,-2864879.6155,-1.9782,17.9244,0.0229
SB03-02,205,469639.0654,7028643.4530,342.3919,-26.863526665,116.694359635,325.5800,-2557933.1690,5087131.5259,-2864881.1060,-2.7737,16.2457,0.0075
SB03-03,226,469635.8884,7028645.2190,342.3707,-26.863510652,116.694327696,325.5588,-2557930.6849,5087133.6513,-2864879.5135,-5.9479,18.0202,-0.0137
SB03-04,171,469637.3544,7028642.0538,342.3607,-26.863539260,116.694342377,325.5488,-2557931.3409,5087131.7081,-2864882.3370,-4.4888,14.8501,-0.0237
SB03-05,192,469636.1393,7028643.3749,342.3887,-26.863527307,116.694330177,325.5768,-2557930.5378,5087132.8098,-2864881.1680,-5.7013,16.1747,0.0043
SB03-06,158,469634.9011,7028639.6162,342.3376,-26.863561216,116.694317621,325.5256,-2557928.6398,5087131.8127,-2864884.4968,-6.9491,12.4173,-0.0469
SB03-07,137,469637.7607,7028640.3242,342.3888,-26.863554885,116.694346425,325.5769,-2557931.3601,5087130.8508,-2864883.8942,-4.0866,13.1188,0.0044
SB03-08,124,469634.4712,7028637.6660,342.3960,-26.863578814,116.694313246,325.5841,-2557927.8789,5087131.2674,-2864886.2627,-7.3839,10.4673,0.0116
SB03-09,103,469636.9376,7028638.4082,342.3733,-26.863572167,116.694338093,325.5613,-2557930.2254,5087130.4374,-2864885.5954,-4.9146,11.2039,-0.0112
SB03-10,116,469639.4187,7028639.3577,342.3849,-26.863563648,116.694363093,325.5729,-2557932.6413,5087129.7116,-2864884.7585,-2.4301,12.1478,0.0004
SB03-11,150,469640.6805,7028641.6055,342.3870,-26.863543380,116.694375849,325.5751,-2557934.2307,5087130.0504,-2864882.7561,-1.1624,14.3936,0.0026
SB04-01,74,469642.5831,7028637.7963,342.3887,-26.863577814,116.694394910,325.5767,-2557935.1492,5087127.6604,-2864886.1606,0.7319,10.5781,0.0042
SB04-02,95,469641.2557,7028639.0909,342.4042,-26.863566097,116.694381579,325.5923,-2557934.2353,5087128.7922,-2864885.0094,-0.5930,11.8764,0.0198
SB04-03,82,469638.6477,7028637.5703,342.3898,-26.863579769,116.694355288,325.5778,-2557931.5876,5087129.3428,-2864886.3543,-3.2058,10.3615,0.0053
SB04-04,61,469640.0059,7028636.3260,342.3928,-26.863591032,116.694368930,325.5808,-2557932.5468,5087128.2323,-2864887.4691,-1.8500,9.1134,0.0083
SB04-05,48,469639.7275,7028634.5078,342.3966,-26.863607443,116.694366084,325.5846,-2557931.9265,5087127.6282,-2864889.0929,-2.1329,7.2950,0.0121
SB04-06,27,469640.1956,7028632.7125,342.3668,-26.863623662,116.694370752,325.5548,-2557931.9642,5087126.6705,-2864890.6827,-1.6689,5.4978,-0.0177
SB04-07,40,469641.9461,7028635.4966,342.3891,-26.863598563,116.694388442,325.5770,-2557934.1083,5087127.0213,-2864888.2118,0.0891,8.2790,0.0046
SB04-08,19,469642.3968,7028632.5895,342.3802,-26.863624820,116.694392908,325.5682,-2557933.9107,5087125.6403,-2864890.8032,0.5329,5.3695,-0.0043
SB04-09,53,469643.7352,7028635.8285,342.4004,-26.863595606,116.694406461,325.5884,-2557935.7792,5087126.3582,-2864887.9245,1.8797,8.6067,0.0159
SB04-10,66,469645.5011,7028635.8553,342.4084,-26.863595402,116.694424238,325.5964,-2557937.3654,5087125.5800,-2864887.9081,3.6465,8.6292,0.0239
SB04-11,87,469644.4495,7028638.0029,342.4031,-26.863575990,116.694413704,325.5911,-2557936.8647,5087126.9145,-2864885.9868,2.5996,10.7802,0.0187
SB05-01,79,469648.3326,7028636.0432,342.3889,-26.863593767,116.694452747,325.5769,-2557939.9255,5087124.3649,-2864887.7377,6.4796,8.8103,0.0044
SB05-02,45,469646.0991,7028634.2416,342.4038,-26.863609984,116.694430219,325.5917,-2557937.5665,5087124.6570,-2864889.3474,4.2408,7.0134,0.0193
SB05-03,32,469644.1868,7028633.7221,342.3932,-26.863614634,116.694410956,325.5811,-2557935.7474,5087125.3005,-2864889.8022,2.3265,6.4982,0.0086
SB05-04,24,469645.4172,7028632.3990,342.3964,-26.863626606,116.694423310,325.5844,-2557936.5763,5087124.2160,-2864890.9872,3.5542,5.1716,0.0119
SB05-05,16,469645.3005,7028629.6339,342.3773,-26.863651568,116.694422068,325.5652,-2557935.8968,5087123.1396,-2864893.4459,3.4308,2.4056,-0.0073
SB05-06,29,469647.1880,7028629.3972,342.3902,-26.863653746,116.694441063,325.5781,-2557937.5396,5087122.2043,-2864893.6671,5.3185,2.1643,0.0056
SB05-07,37,469647.5371,7028632.1406,342.3998,-26.863628985,116.694444645,325.5877,-2557938.4184,5087123.1598,-2864891.2238,5.6744,4.9080,0.0153
SB05-08,58,469648.0918,7028633.8436,342.3924,-26.863613621,116.694450270,325.5804,-2557939.2604,5087123.5901,-2864889.7018,6.2335,6.6104,0.0079
SB05-09,71,469650.8941,7028632.5694,342.3695,-26.863625186,116.694478449,325.5574,-2557941.4931,5087121.7964,-2864890.8346,9.0339,5.3289,-0.0150
SB05-10,92,469649.8887,7028634.0403,342.3883,-26.863611884,116.694468363,325.5763,-2557940.9043,5087122.8568,-2864889.5282,8.0316,6.8029,0.0038
SB06-01,213,469632.8987,7028642.3572,342.3527,-26.863536424,116.694297530,325.5408,-2557927.4197,5087133.8308,-2864882.0530,-8.9457,15.1644,-0.0317
SB06-02,247,469633.8586,7028644.4852,342.3306,-26.863517232,116.694307244,325.5187,-2557928.7050,5087134.2380,-2864880.1459,-7.9803,17.2910,-0.0538
SB06-03,234,469630.7561,7028641.4419,342.3646,-26.863544641,116.694275939,325.5527,-2557925.3225,5087134.4366,-2864882.8707,-11.0915,14.2539,-0.0198
SB06-04,255,469628.1031,7028640.3738,342.3731,-26.863554228,116.694249205,325.5611,-2557922.7367,5087135.2080,-2864883.8220,-13.7483,13.1916,-0.0114
SB06-05,221,469628.3417,7028638.6858,342.3538,-26.863569473,116.694251566,325.5418,-2557922.5957,5087134.4052,-2864885.3203,-13.5136,11.5023,-0.0307
SB06-06,200,469631.4981,7028639.8532,342.3544,-26.863559002,116.694283369,325.5425,-2557925.6552,5087133.4544,-2864884.2855,-10.3530,12.6626,-0.0300
SB06-07,166,469630.4309,7028638.2461,342.3666,-26.863573488,116.694272587,325.5546,-2557924.3769,5087133.2974,-2864885.7230,-11.4245,11.0574,-0.0179
SB06-08,132,469631.7412,7028635.7126,342.3863,-26.863596391,116.694285716,325.5743,-2557925.0353,5087131.7024,-2864887.9958,-10.1198,8.5196,0.0018
SB06-09,111,469633.4735,7028635.9935,342.3933,-26.863593892,116.694303161,325.5813,-2557926.6432,5087131.0409,-2864887.7520,-8.3861,8.7965,0.0088
SB06-10,145,469632.2689,7028638.2029,342.3768,-26.863573918,116.694291089,325.5648,-2557926.0141,5087132.4603,-2864885.7701,-9.5858,11.0098,-0.0076
SB06-11,179,469633.4529,7028640.6162,342.3648,-26.863552155,116.694303066,325.5529,-2557927.5622,5087132.8896,-2864883.6135,-8.3956,13.4212,-0.0196
SB07-01,69,469637.0197,7028635.4653,342.3821,-26.863598739,116.694338847,325.5701,-2557929.6982,5087129.2220,-2864888.2260,-4.8396,8.2595,-0.0024
SB07-02,90,469635.3046,7028636.0889,342.3847,-26.863593071,116.694321598,325.5727,-2557928.2952,5087130.2477,-2864887.6669,-6.5539,8.8875,0.0002
SB07-03,56,469636.3381,7028633.3370,342.3838,-26.863617940,116.694331935,325.5717,-2557928.6532,5087128.6730,-2864890.1247,-5.5266,6.1319,-0.0007
SB07-04,77,469633.6436,7028633.7974,342.3863,-26.863613724,116.694304821,325.5742,-2557926.3417,5087130.0740,-2864889.7092,-8.2211,6.5990,0.0018
SB07-05,64,469632.9302,7028631.2086,342.3879,-26.863637082,116.694297577,325.5758,-2557925.1737,5087129.3539,-2864892.0188,-8.9411,4.0108,0.0034
SB07-06,43,469635.4190,7028631.3058,342.3592,-26.863636258,116.694322633,325.5472,-2557927.4055,5087128.2492,-2864891.9244,-6.4510,4.1021,-0.0253
SB07-07,30,469635.6828,7028629.5037,342.3925,-26.863652534,116.694325245,325.5804,-2557927.2845,5087127.4310,-2864893.5483,-6.1915,2.2986,0.0079
SB07-08,9,469638.8463,7028628.7917,342.3798,-26.863659032,116.694357074,325.5677,-2557929.9593,5087125.7093,-2864894.1849,-3.0283,1.5785,-0.0047
SB07-09,22,469637.5488,7028631.5409,342.4108,-26.863634182,116.694344079,325.5987,-2557929.3770,5087127.4258,-2864891.7425,-4.3197,4.3321,0.0263
SB07-10,14,469639.4148,7028631.1018,342.3805,-26.863638187,116.694362853,325.5685,-2557930.9417,5087126.3843,-2864892.1247,-2.4539,3.8883,-0.0040
SB07-11,35,469638.1316,7028633.7481,342.3903,-26.863614267,116.694349999,325.5783,-2557930.3423,5087128.0361,-2864889.7647,-3.7314,6.5388,0.0058
SB08-01,153,469629.6965,7028634.9089,342.3881,-26.863603603,116.694265113,325.5761,-2557923.0446,5087132.3010,-2864888.7095,-12.1673,7.7205,0.0036
SB08-02,187,469628.5420,7028636.6662,342.3775,-26.863587712,116.694253533,325.5655,-2557922.3696,5087133.5204,-2864887.1340,-13.3181,9.4813,-0.0070
SB08-03,242,469626.8144,7028636.3950,342.3786,-26.863590122,116.694236135,325.5666,-2557920.7710,5087134.1902,-2864887.3727,-15.0471,9.2142,-0.0059
SB08-04,208,469626.1161,7028634.7692,342.3797,-26.863604786,116.694229066,325.5677,-2557919.8141,5087133.8507,-2864888.8227,-15.7496,7.5894,-0.0048
SB08-05,229,469624.5571,7028633.6438,342.3846,-26.863614913,116.694213344,325.5725,-2557918.1923,5087134.1034,-2864889.8259,-17.3120,6.4673,0.0000
SB08-06,174,469627.8484,7028632.9491,342.3564,-26.863621257,116.694246461,325.5444,-2557920.9787,5087132.3187,-2864890.4403,-14.0209,5.7643,-0.0281
