#S10-6
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,469554.1443,7028670.2907,325.4376,-26.863284703,116.693503769,325.4376,-2557862.5640,5087180.4453,-2864857.1240
SB01-02,469551.0861,7028673.0842,325.4376,-26.863259415,116.693473051,325.4376,-2557860.4054,5087182.9479,-2864854.6243
SB01-03,469552.7051,7028673.8505,325.4376,-26.863252531,116.693489367,325.4376,-2557862.0089,5087182.5274,-2864853.9438
SB01-04,469552.8851,7028677.2224,325.4376,-26.863222092,116.693491262,325.4376,-2557862.8618,5087183.8045,-2864850.9349
SB01-05,469550.9475,7028676.9428,325.4376,-26.863224574,116.693471750,325.4376,-2557861.0735,5087184.5645,-2864851.1803
SB01-06,469550.8782,7028674.9968,325.4376,-26.863242141,116.693471005,325.4376,-2557860.6122,5087183.8119,-2864852.9168
SB01-07,469548.0085,7028675.5520,325.4376,-26.863237067,116.693442130,325.4376,-2557858.1626,5087185.3280,-2864852.4152
SB01-08,469549.3818,7028673.7759,325.4376,-26.863253132,116.693455911,325.4376,-2557859.0249,5087183.9941,-2864854.0032
SB01-09,469547.9678,7028672.3043,325.4376,-26.863266388,116.693441641,325.4376,-2557857.4597,5087184.0382,-2864855.3135
SB01-10,469551.6440,7028671.4440,325.4376,-26.863274236,116.693478627,325.4376,-2557860.5671,5087182.0360,-2864856.0893
SB02-01,469557.4399,7028672.8145,325.4376,-26.863261988,116.693537007,325.4376,-2557866.0260,5087179.9776,-2864854.8786
SB02-02,469559.7173,7028673.6765,325.4376,-26.863254255,116.693559954,325.4376,-2557868.2374,5087179.2990,-2864854.1142
SB02-03,469556.9994,7028674.5763,325.4376,-26.863246072,116.693532616,325.4376,-2557865.9941,5087180.8856,-2864853.3054
SB02-04,469559.7609,7028676.1519,325.4376,-26.863231907,116.693560453,325.4376,-2557868.7844,5087180.2765,-2864851.9051
SB02-05,469559.5711,7028677.8960,325.4376,-26.863216156,116.693558585,325.4376,-2557868.9727,5087181.0645,-2864850.3481
SB02-06,469557.3270,7028676.7519,325.4376,-26.863226436,116.693535966,325.4376,-2557866.7333,5087181.6144,-2864851.3643
SB02-07,469556.7011,7028678.6602,325.4376,-26.863209193,116.693529712,325.4376,-2557866.5658,5087182.6649,-2864849.6599
SB02-08,469555.0951,7028677.8292,325.4376,-26.863216661,116.693513524,325.4376,-2557864.9605,5087183.0535,-2864850.3981
SB02-09,469554.4753,7028676.0920,325.4376,-26.863232332,116.693507243,325.4376,-2557864.0504,5087182.6330,-2864851.9471
SB02-10,469555.2473,7028673.9480,325.4376,-26.863251706,116.693514962,325.4376,-2557864.2999,5087181.4217,-2864853.8623
SB02-11,469553.6731,7028672.0755,325.4376,-26.863268578,116.693499070,325.4376,-2557862.5094,5087181.3764,-2864855.5301
SB03-01,469561.6544,7028677.5106,325.4376,-26.863219680,116.693579548,325.4376,-2557870.7547,5087179.9710,-2864850.6965
SB03-02,469560.9970,7028679.2339,325.4376,-26.863204107,116.693572972,325.4376,-2557870.5211,5087180.9612,-2864849.1571
SB03-03,469564.4706,7028680.3104,325.4376,-26.863194464,116.693607966,325.4376,-2557873.8451,5087179.8303,-2864848.2039
SB03-04,469561.2135,7028681.4453,325.4376,-26.863184146,116.693575205,325.4376,-2557871.1684,5087181.7544,-2864847.1840
SB03-05,469562.9733,7028681.3755,325.4376,-26.863184815,116.693592919,325.4376,-2557872.7262,5087180.9337,-2864847.2501
SB03-06,469561.1441,7028684.8948,325.4376,-26.863153001,116.693574591,325.4376,-2557871.8144,5087183.1751,-2864844.1053
SB03-07,469559.6795,7028682.3652,325.4376,-26.863175807,116.693559785,325.4376,-2557869.9869,5087182.8158,-2864846.3597
SB03-08,469560.0859,7028686.5391,325.4376,-26.863138132,116.693563978,325.4376,-2557871.2065,5087184.3140,-2864842.6355
SB03-09,469558.8751,7028684.2902,325.4376,-26.863158410,116.693551734,325.4376,-2557869.6633,5087183.9535,-2864844.6400
SB03-10,469557.8591,7028681.8480,325.4376,-26.863180438,116.693541447,325.4376,-2557868.2545,5087183.4274,-2864846.8174
SB03-11,469558.5605,7028679.3817,325.4376,-26.863202720,116.693548448,325.4376,-2557868.3749,5087182.1181,-2864849.0200
SB04-01,469554.5294,7028680.6757,325.4376,-26.863190949,116.693507899,325.4376,-2557865.0394,5087184.4549,-2864847.8565
SB04-02,469556.3604,7028680.7030,325.4376,-26.863190742,116.693526332,325.4376,-2557866.6807,5087183.6412,-2864847.8360
SB04-03,469557.0985,7028683.6432,325.4376,-26.863164213,116.693533833,325.4376,-2557867.9434,5087184.4931,-2864845.2135
SB04-04,469555.2338,7028683.5368,325.4376,-26.863165132,116.693515060,325.4376,-2557866.2559,5087185.2901,-2864845.3044
SB04-05,469554.1154,7028684.9843,325.4376,-26.863152039,116.693503836,325.4376,-2557865.5538,5087186.3768,-2864844.0102
SB04-06,469552.5039,7028685.9219,325.4376,-26.863143539,116.693487636,325.4376,-2557864.3066,5087187.4803,-2864843.1699
SB04-07,469553.3386,7028682.7062,325.4376,-26.863172590,116.693495961,325.4376,-2557864.3924,5087185.8091,-2864846.0416
SB04-08,469550.9218,7028684.4173,325.4376,-26.863157089,116.693471673,325.4376,-2557862.5845,5087187.5868,-2864844.5094
SB04-09,469552.3180,7028681.2283,325.4376,-26.863185911,116.693485651,325.4376,-2557863.1773,5087185.6734,-2864847.3585
SB04-10,469551.0829,7028679.8330,325.4376,-26.863198482,116.693473183,325.4376,-2557861.7876,5087185.6677,-2864848.6010
SB04-11,469553.3746,7028679.1687,325.4376,-26.863204529,116.693496237,325.4376,-2557863.6985,5087184.3680,-2864849.1989
SB05-01,469549.2239,7028677.7470,325.4376,-26.863217275,116.693454418,325.4376,-2557859.6988,5087185.6647,-2864850.4588
SB05-02,469549.5000,7028680.6464,325.4376,-26.863191103,116.693457269,325.4376,-2557860.5406,5087186.7083,-2864847.8717
SB05-03,469550.4766,7028682.3262,325.4376,-26.863175959,116.693467141,325.4376,-2557861.7577,5087186.9450,-2864846.3747
SB05-04,469548.6525,7028682.4041,325.4376,-26.863175216,116.693448780,325.4376,-2557860.1442,5087187.7979,-2864846.3012
SB05-05,469546.7323,7028684.3720,325.4376,-26.863157406,116.693429497,325.4376,-2557858.8327,5087189.4554,-2864844.5407
SB05-06,469545.3033,7028683.2041,325.4376,-26.863167920,116.693415083,325.4376,-2557857.3164,5087189.6286,-2864845.5800
SB05-07,469547.0134,7028681.0689,325.4376,-26.863187235,116.693432246,325.4376,-2557858.4059,5087187.9984,-2864847.4893
SB05-08,469547.8358,7028679.4495,325.4376,-26.863201873,116.693440486,325.4376,-2557858.8082,5087186.9757,-2864848.9363
SB05-09,469544.9783,7028678.3453,325.4376,-26.863211781,116.693411693,325.4376,-2557856.0289,5087187.8179,-2864849.9156
SB05-10,469546.7293,7028678.0331,325.4376,-26.863214638,116.693429313,325.4376,-2557857.5291,5087186.9035,-2864850.1980
SB06-01,469564.5189,7028684.4457,325.4376,-26.863157129,116.693608553,325.4376,-2557874.7370,5087181.4742,-2864844.5133
SB06-02,469565.3829,7028682.2683,325.4376,-26.863176806,116.693617198,325.4376,-2557875.0619,5087180.2081,-2864846.4584
SB06-03,469565.3600,7028686.6126,325.4376,-26.863137583,116.693617073,325.4376,-2557875.9331,5087181.9682,-2864842.5812
SB06-04,469566.4197,7028689.2692,325.4376,-26.863113621,116.693627805,325.4376,-2557877.4249,5087182.5610,-2864840.2126
SB06-05,469565.0251,7028690.2783,325.4376,-26.863104480,116.693613791,325.4376,-2557876.3862,5087183.5955,-2864839.3090
SB06-06,469563.7165,7028687.1781,325.4376,-26.863132442,116.693600542,325.4376,-2557874.5810,5087182.9362,-2864842.0730
SB06-07,469563.2928,7028689.0493,325.4376,-26.863115538,116.693596322,325.4376,-2557874.5865,5087183.8807,-2864840.4020
SB06-08,469560.5794,7028689.8652,325.4376,-26.863108112,116.693569027,325.4376,-2557872.3300,5087185.4315,-2864839.6680
SB06-09,469559.5430,7028688.4808,325.4376,-26.863120588,116.693558560,325.4376,-2557871.1201,5087185.3406,-2864840.9013
SB06-10,469561.9833,7028687.7659,325.4376,-26.863127096,116.693583109,325.4376,-2557873.1533,5087183.9536,-2864841.5446
SB06-11,469562.9297,7028685.2719,325.4376,-26.863149635,116.693592575,325.4376,-2557873.4869,5087182.5228,-2864843.7725
