#S9-5
#Lat: -26.880390359
#Lon: 116.748459202
#HAE: 333.3591
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,475010.0265,7026769.2047,350.2207,-26.880555190,116.748390913,333.3845,-2562348.5954,5083961.6832,-2866567.7687,-6.7855,-18.2644,0.0254
SB01-02,189,475009.5255,7026773.3886,350.2448,-26.880517405,116.748385952,333.4086,-2562349.0169,5083963.6147,-2866564.0451,-7.2785,-14.0776,0.0495
SB01-03,155,475011.2534,7026772.8991,350.2526,-26.880521856,116.748403339,333.4164,-2562350.4625,5083962.6442,-2866564.4886,-5.5508,-14.5708,0.0573
SB01-04,121,475013.5604,7026775.3526,350.2545,-26.880499746,116.748426616,333.4183,-2562353.0272,5083962.5939,-2866562.3042,-3.2379,-12.1208,0.0593
SB01-05,100,475011.9155,7026776.3493,350.2368,-26.880490717,116.748410074,333.4006,-2562351.7559,5083963.7236,-2866561.4038,-4.8816,-11.1204,0.0415
SB01-06,134,475010.6048,7026774.9574,350.2534,-26.880503260,116.748396850,333.4173,-2562350.3063,5083963.7671,-2866562.6511,-6.1956,-12.5103,0.0582
SB01-07,113,475008.7610,7026777.2187,350.2188,-26.880482810,116.748378331,333.3826,-2562349.1103,5083965.4825,-2866560.6143,-8.0357,-10.2443,0.0235
SB01-08,168,475008.6732,7026774.9703,350.2366,-26.880503110,116.748377402,333.4005,-2562348.5773,5083964.6301,-2866562.6286,-8.1280,-12.4936,0.0414
SB01-09,202,475006.6714,7026774.7866,350.1905,-26.880504732,116.748357244,333.3543,-2562346.7335,5083965.4223,-2866562.7680,-10.1311,-12.6733,-0.0048
SB01-10,223,475008.8661,7026771.7481,350.2283,-26.880532204,116.748379280,333.3920,-2562348.0846,5083963.2378,-2866565.5004,-7.9414,-15.7175,0.0330
SB02-01,231,475014.1742,7026769.0201,350.2609,-26.880556930,116.748432669,333.4247,-2562352.2774,5083959.7700,-2866567.9589,-2.6364,-18.4573,0.0656
SB02-02,203,475016.4629,7026768.1921,350.2756,-26.880564447,116.748455696,333.4393,-2562354.1570,5083958.4155,-2866568.7085,-0.3484,-19.2902,0.0802
SB02-03,197,475014.9809,7026770.6716,350.2723,-26.880542034,116.748440825,333.4361,-2562353.3415,5083960.0807,-2866566.4918,-1.8261,-16.8067,0.0770
SB02-04,218,475018.0798,7026770.0401,350.2905,-26.880547791,116.748472013,333.4542,-2562355.9864,5083958.4428,-2866567.0690,1.2730,-17.4446,0.0951
SB02-05,184,475019.1292,7026771.5037,350.2572,-26.880534595,116.748482607,333.4210,-2562357.2107,5083958.5329,-2866565.7498,2.3257,-15.9824,0.0619
SB02-06,163,475016.6449,7026772.0849,350.2883,-26.880529303,116.748457606,333.4521,-2562355.1241,5083959.9126,-2866565.2408,-0.1586,-15.3960,0.0930
SB02-07,129,475017.3678,7026773.9449,350.2922,-26.880512523,116.748464922,333.4560,-2562356.1532,5083960.3392,-2866563.5841,0.5684,-13.5367,0.0970
SB02-08,108,475015.6575,7026774.3792,350.2791,-26.880508571,116.748447711,333.4429,-2562354.7099,5083961.2753,-2866563.1876,-1.1418,-13.0987,0.0839
SB02-09,142,475014.0568,7026773.4202,350.2667,-26.880517201,116.748431575,333.4305,-2562353.0785,5083961.6010,-2866564.0349,-2.7452,-14.0550,0.0714
SB02-10,176,475013.2461,7026771.3030,350.2525,-26.880536302,116.748423371,333.4163,-2562351.9141,5083961.1020,-2866565.9163,-3.5604,-16.1715,0.0572
SB02-11,210,475010.8374,7026770.9218,350.2391,-26.880539700,116.748399111,333.4029,-2562349.6795,5083962.0242,-2866566.2461,-5.9709,-16.5481,0.0438
SB03-01,239,475020.4128,7026769.8272,350.2844,-26.880549755,116.748495498,333.4482,-2562358.0236,5083957.2999,-2866567.2603,3.6065,-17.6622,0.0891
SB03-02,205,475021.0470,7026771.5643,350.2765,-26.880534083,116.748501918,333.4403,-2562358.9435,5083957.7076,-2866565.7078,4.2445,-15.9257,0.0812
SB03-03,226,475024.3996,7026770.1451,350.2787,-26.880546956,116.748535645,333.4425,-2562361.6467,5083955.6252,-2866566.9812,7.5957,-17.3521,0.0834
SB03-04,171,475022.6456,7026773.0869,350.2730,-26.880520364,116.748518044,333.4369,-2562360.6823,5083957.5975,-2866564.3504,5.8468,-14.4055,0.0778
