#S8-5
#Lat: -26.855452733
#Lon: 116.729682226
#HAE: 330.2274
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,473156.2943,7029529.2233,347.0270,-26.855601447,116.729786063,330.2255,-2561258.4138,5085907.0279,-2864099.7749,10.3199,-16.4786,-0.0020
SB01-02,189,473152.6923,7029531.3265,347.0285,-26.855582388,116.729749849,330.2270,-2561255.6291,5085909.5001,-2864097.8915,6.7208,-14.3667,-0.0004
SB01-03,155,473154.1444,7029532.4052,347.0243,-26.855572677,116.729764489,330.2228,-2561257.1455,5085909.2764,-2864096.9296,8.1758,-13.2907,-0.0046
SB01-04,121,473153.6435,7029535.7406,347.0252,-26.855542553,116.729759519,330.2237,-2561257.3830,5085910.8461,-2864093.9521,7.6819,-9.9527,-0.0037
SB01-05,100,473151.7934,7029535.0841,347.0288,-26.855548445,116.729740882,330.2274,-2561255.5974,5085911.4187,-2864094.5362,5.8296,-10.6056,-0.0000
SB01-06,134,473152.1574,7029533.1609,347.0222,-26.855565816,116.729744504,330.2208,-2561255.5252,5085910.4749,-2864096.2504,6.1896,-12.5304,-0.0066
SB01-07,113,473149.2346,7029533.0808,346.9988,-26.855566482,116.729715082,330.1973,-2561252.8891,5085911.7417,-2864096.3057,3.2654,-12.6043,-0.0301
SB01-08,168,473150.9139,7029531.6828,347.0296,-26.855579137,116.729731956,330.2282,-2561254.1144,5085910.4462,-2864097.5706,4.9424,-14.0065,0.0008
SB01-09,202,473149.8419,7029529.9283,347.0080,-26.855594957,116.729721127,330.2064,-2561252.7883,5085910.2057,-2864099.1248,3.8662,-15.7595,-0.0210
SB01-10,223,473153.5665,7029529.8526,347.0332,-26.855595713,116.729758618,330.2317,-2561256.1093,5085908.5161,-2864099.2109,7.5923,-15.8432,0.0043
SB02-01,231,473159.0326,7029532.3598,347.0211,-26.855573180,116.729813694,330.2196,-2561261.5007,5085907.0518,-2864096.9779,13.0661,-13.3465,-0.0078
SB02-02,203,473161.0393,7029533.6764,347.0274,-26.855561332,116.729833922,330.2259,-2561263.5655,5085906.6823,-2864095.8095,15.0765,-12.0336,-0.0015
SB02-03,197,473158.2297,7029534.0166,347.0208,-26.855558207,116.729805647,330.2194,-2561261.1234,5085908.0807,-2864095.4976,12.2664,-11.6873,-0.0080
SB02-04,218,473160.6020,7029536.0857,347.0056,-26.855539571,116.729829572,330.2042,-2561263.6606,5085907.8323,-2864093.6484,14.6442,-9.6223,-0.0232
SB02-05,184,473160.0432,7029537.8057,347.0042,-26.855524031,116.729823984,330.2028,-2561263.5138,5085908.7757,-2864092.1116,14.0888,-7.9004,-0.0246
SB02-06,163,473158.0658,7029536.1889,347.0081,-26.855538591,116.729804045,330.2067,-2561261.4177,5085909.0192,-2864093.5527,12.1071,-9.5137,-0.0207
SB02-07,129,473157.0773,7029537.9561,347.0271,-26.855522616,116.729794132,330.2257,-2561260.9051,5085910.1917,-2864091.9821,11.1219,-7.7436,-0.0017
SB02-08,108,473155.6582,7029536.8015,347.0404,-26.855533013,116.729779822,330.2390,-2561259.4061,5085910.3771,-2864093.0159,9.6997,-8.8956,0.0116
SB02-09,142,473155.4246,7029534.9313,347.0120,-26.855549894,116.729777431,330.2105,-2561258.8023,5085909.7067,-2864094.6718,9.4620,-10.7661,-0.0169
SB02-10,176,473156.6121,7029533.0652,347.0012,-26.855566766,116.729789344,330.1997,-2561259.4756,5085908.4112,-2864096.3348,10.6461,-12.6357,-0.0277
SB02-11,210,473155.4306,7029530.8708,347.0346,-26.855586556,116.729777404,330.2331,-2561257.9836,5085908.0868,-2864098.3063,9.4594,-14.8285,0.0057
SB03-01,239,473162.1453,7029537.8427,347.0249,-26.855523738,116.729845145,330.2235,-2561265.4071,5085907.8594,-2864092.0920,16.1919,-7.8679,-0.0039
SB03-02,205,473161.1561,7029539.4011,347.0206,-26.855509648,116.729835221,330.2192,-2561264.8417,5085908.9295,-2864090.6972,15.2056,-6.3066,-0.0082
SB03-03,226,473164.3731,7029541.1656,347.0660,-26.855493779,116.729867641,330.2647,-2561268.0950,5085908.2259,-2864089.1489,18.4277,-4.5482,0.0372
SB03-04,171,473160.9244,7029541.6191,346.9934,-26.855489618,116.729832936,330.1920,-2561265.0789,5085909.9055,-2864088.7048,14.9785,-4.0871,-0.0354
SB03-05,192,473162.6569,7029541.8786,347.0451,-26.855487308,116.729850381,330.2437,-2561266.7002,5085909.2701,-2864088.4998,16.7123,-3.8312,0.0163
SB03-06,158,473160.1166,7029544.9725,347.0560,-26.855459326,116.729824876,330.2547,-2561265.0707,5085911.6700,-2864085.7385,14.1774,-0.7306,0.0273
SB03-07,137,473159.2447,7029542.1849,347.0421,-26.855484477,116.729816040,330.2407,-2561263.7144,5085910.9294,-2864088.2186,13.2993,-3.5175,0.0133
SB03-08,124,473158.7459,7029546.3347,347.0537,-26.855447000,116.729811108,330.2524,-2561264.1251,5085912.8346,-2864084.5190,12.8091,0.6352,0.0250
SB03-09,103,473158.0483,7029543.8982,347.0494,-26.855468986,116.729804033,330.2481,-2561263.0004,5085912.1646,-2864086.6905,12.1060,-1.8010,0.0207
SB03-10,116,473157.5578,7029541.2679,347.0389,-26.855492724,116.729799039,330.2375,-2561262.0184,5085911.3181,-2864089.0324,11.6096,-4.4313,0.0101
