#S9-4
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,474875.7047,7026788.0064,333.2376,-26.880385217,116.747037255,333.2376,-2562232.2555,5084029.7067,-2866550.9032
SB01-02,474879.0000,7026790.5158,333.2376,-26.880362620,116.747070483,333.2376,-2562235.7136,5084029.2317,-2866548.6698
SB01-03,474879.4645,7026788.7859,333.2376,-26.880378247,116.747075126,333.2376,-2562235.7731,5084028.3250,-2866550.2143
SB01-04,474882.7498,7026788.0059,333.2376,-26.880385349,116.747108188,333.2376,-2562238.5467,5084026.5287,-2866550.9162
SB01-05,474882.8212,7026789.9622,333.2376,-26.880367687,116.747108945,333.2376,-2562239.0121,5084027.2850,-2866549.1706
SB01-06,474880.9190,7026790.3783,333.2376,-26.880363896,116.747089802,333.2376,-2562237.3990,5084028.3107,-2866548.7959
SB01-07,474881.9783,7026793.1026,333.2376,-26.880339319,116.747100522,333.2376,-2562238.9043,5084028.9309,-2866546.3668
SB01-08,474879.9853,7026792.0690,333.2376,-26.880348615,116.747080435,333.2376,-2562236.9124,5084029.4132,-2866547.2856
SB01-09,474878.7903,7026793.7233,333.2376,-26.880333657,116.747068436,333.2376,-2562236.1849,5084030.6190,-2866545.8072
SB01-10,474877.2865,7026790.2602,333.2376,-26.880364897,116.747053226,333.2376,-2562234.1309,5084029.9016,-2866548.8948
SB02-01,474877.5986,7026784.3126,333.2376,-26.880418601,116.747056249,333.2376,-2562233.1883,5084027.3637,-2866554.2027
SB02-02,474878.0395,7026781.9178,333.2376,-26.880440231,116.747060640,333.2376,-2562233.0902,5084026.1997,-2866556.3405
SB02-03,474879.4107,7026784.4310,333.2376,-26.880417565,116.747074496,333.2376,-2562234.8308,5084026.5941,-2866554.1003
SB02-04,474880.4672,7026781.4323,333.2376,-26.880444658,116.747085073,333.2376,-2562235.1584,5084024.9090,-2866556.7780
SB02-05,474882.2172,7026781.3072,333.2376,-26.880445819,116.747102690,333.2376,-2562236.6954,5084024.0692,-2866556.8928
SB02-06,474881.4928,7026783.7197,333.2376,-26.880424025,116.747095445,333.2376,-2562236.5439,5084025.3683,-2866554.7387
SB02-07,474883.4822,7026783.9943,333.2376,-26.880421582,116.747115481,333.2376,-2562238.3769,5084024.5816,-2866554.4972
SB02-08,474882.9517,7026785.7230,333.2376,-26.880405964,116.747110175,333.2376,-2562238.2582,5084025.5176,-2866552.9537
SB02-09,474881.3534,7026786.6434,333.2376,-26.880397625,116.747094100,333.2376,-2562237.0199,5084026.6095,-2866552.1295
SB02-10,474879.1059,7026786.2672,333.2376,-26.880400981,116.747071464,333.2376,-2562234.9356,5084027.4716,-2866552.4612
SB02-11,474877.5450,7026788.1508,333.2376,-26.880383947,116.747055786,333.2376,-2562233.9286,5084028.9348,-2866550.7776
SB03-01,474881.4655,7026779.3264,333.2376,-26.880463690,116.747095082,333.2376,-2562235.6174,5084023.6099,-2866558.6591
SB03-02,474883.2785,7026779.6650,333.2376,-26.880460665,116.747113343,333.2376,-2562237.3060,5084022.9286,-2866558.3601
SB03-03,474883.7166,7026776.0549,333.2376,-26.880493267,116.747117681,333.2376,-2562236.9558,5084021.2760,-2866561.5823
SB03-04,474885.4156,7026779.0566,333.2376,-26.880466197,116.747134848,333.2376,-2562239.0894,5084021.7195,-2866558.9068
SB03-05,474885.0322,7026777.3376,333.2376,-26.880481710,116.747130953,333.2376,-2562238.3941,5084021.1996,-2866560.4400
SB03-06,474888.8219,7026778.5081,333.2376,-26.880471210,116.747169132,333.2376,-2562242.0185,5084019.9620,-2866559.4023
SB03-07,474886.5949,7026780.4014,333.2376,-26.880454076,116.747146749,333.2376,-2562240.4187,5084021.7295,-2866557.7089
SB03-08,474890.6289,7026779.2553,333.2376,-26.880464497,116.747187341,333.2376,-2562243.7856,5084019.4480,-2866558.7388
SB03-09,474888.6327,7026780.8487,333.2376,-26.880450075,116.747167275,333.2376,-2562242.3303,5084020.9906,-2866557.3133
SB03-10,474886.4115,7026782.2850,333.2376,-26.880437067,116.747144940,333.2376,-2562240.6417,5084022.5714,-2866556.0277
SB03-11,474883.8596,7026782.0358,333.2376,-26.880439271,116.747119241,333.2376,-2562238.3117,5084023.6220,-2866556.2455
SB04-01,474885.8535,7026785.7707,333.2376,-26.880405586,116.747139391,333.2376,-2562240.8592,5084024.2279,-2866552.9163
SB04-02,474885.5530,7026783.9643,333.2376,-26.880421890,116.747136330,333.2376,-2562240.2199,5084023.6354,-2866554.5277
SB04-03,474888.3138,7026782.7124,333.2376,-26.880433243,116.747164102,333.2376,-2562242.4282,5084021.8856,-2866555.6498
SB04-04,474888.5426,7026784.5660,333.2376,-26.880416511,116.747166442,333.2376,-2562243.0132,5084022.5295,-2866553.9961
SB04-05,474890.1667,7026785.4076,333.2376,-26.880408942,116.747182811,333.2376,-2562244.6363,5084022.1361,-2866553.2480
