#S8-2
#Lat: -26.856127060
#Lon: 116.730079333
#HAE: 330.2165
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,473204.9824,7029471.0138,347.0375,-26.856127938,116.730274919,330.2352,-2561289.9574,5085861.6444,-2864151.8261,19.4385,-0.0973,0.0187
SB01-02,189,473201.3337,7029469.1422,347.0609,-26.856144765,116.730238151,330.2585,-2561286.3242,5085862.5543,-2864153.5001,15.7843,-1.9619,0.0420
SB01-03,155,473201.1442,7029470.9317,347.0199,-26.856128605,116.730236281,330.2176,-2561286.5056,5085863.3278,-2864151.8840,15.5985,-0.1712,0.0010
SB01-04,121,473198.0585,7029472.2515,347.0220,-26.856116630,116.730205248,330.2197,-2561284.0215,5085865.2521,-2864150.7012,12.5142,1.1557,0.0032
SB01-05,100,473197.6261,7029470.3403,347.0052,-26.856133877,116.730200855,330.2029,-2561283.2364,5085864.6640,-2864152.3986,12.0776,-0.7554,-0.0137
SB01-06,134,473199.4399,7029469.6164,347.0253,-26.856140448,116.730219097,330.2230,-2561284.7158,5085863.5708,-2864153.0573,13.8906,-1.4835,0.0065
SB01-07,113,473197.9537,7029467.1106,347.0462,-26.856163043,116.730204083,330.2439,-2561282.8827,5085863.2484,-2864155.3003,12.3984,-3.9872,0.0273
SB01-08,168,473200.0770,7029467.7762,347.0540,-26.856157074,116.730225470,330.2516,-2561284.9187,5085862.5653,-2864154.7138,14.5240,-3.3258,0.0351
SB01-09,202,473200.9393,7029465.9417,347.0271,-26.856173654,116.730234112,330.2247,-2561285.3016,5085861.4164,-2864156.3407,15.3828,-5.1630,0.0082
SB01-10,223,473203.0601,7029469.0816,347.0604,-26.856145345,116.730255527,330.2580,-2561287.8533,5085861.7512,-2864153.5572,17.5112,-2.0262,0.0415
SB02-01,231,473203.8074,7029475.0099,347.0420,-26.856091835,116.730263177,330.2398,-2561289.7298,5085863.7870,-2864148.2592,18.2716,3.9031,0.0232
SB02-02,203,473203.7414,7029477.4637,347.0731,-26.856069679,116.730262565,330.2709,-2561290.1868,5085864.8297,-2864146.0830,18.2107,6.3582,0.0543
SB02-03,197,473201.9568,7029475.1667,347.0379,-26.856090384,116.730244551,330.2357,-2561288.1076,5085864.6813,-2864148.1139,16.4204,4.0640,0.0191
SB02-04,218,473201.4428,7029478.3490,347.0690,-26.856061642,116.730239446,330.2668,-2561288.3139,5085866.2192,-2864145.2866,15.9130,7.2487,0.0502
SB02-05,184,473199.7370,7029478.7790,347.0901,-26.856057727,116.730222284,330.2879,-2561286.8872,5085867.1783,-2864144.9091,14.2073,7.6826,0.0714
SB02-06,163,473200.0498,7029476.2301,347.0560,-26.856080747,116.730225378,330.2538,-2561286.6299,5085865.9836,-2864147.1694,14.5149,5.1318,0.0372
SB02-07,129,473198.0247,7029476.3322,347.1003,-26.856079786,116.730204995,330.2981,-2561284.8600,5085866.9731,-2864147.0944,12.4891,5.2383,0.0815
SB02-08,108,473198.2595,7029474.5634,347.0387,-26.856095760,116.730207321,330.2364,-2561284.6820,5085866.1058,-2864148.6457,12.7203,3.4682,0.0198
SB02-09,142,473199.6554,7029473.3631,347.0253,-26.856106624,116.730221346,330.2230,-2561285.6770,5085864.9824,-2864149.7136,14.1141,2.2644,0.0065
SB02-10,176,473201.9735,7029473.3636,347.0155,-26.856106664,116.730244681,330.2133,-2561287.7435,5085863.9297,-2864149.7132,16.4333,2.2599,-0.0033
SB02-11,210,473203.1481,7029471.2204,347.0161,-26.856126037,116.730256459,330.2138,-2561288.3530,5085862.5376,-2864151.6285,17.6038,0.1133,-0.0027
SB03-01,239,473200.8222,7029480.5629,347.0505,-26.856041642,116.730233246,330.2483,-2561288.2065,5085867.3759,-2864143.3012,15.2968,9.4649,0.0318
SB03-02,205,473198.9810,7029480.5585,347.0731,-26.856041646,116.730214712,330.2710,-2561286.5703,5085868.2222,-2864143.3118,13.4548,9.4645,0.0544
SB03-03,226,473199.1909,7029484.1821,347.0719,-26.856008933,116.730216902,330.2698,-2561287.5008,5085869.5859,-2864140.0774,13.6725,13.0892,0.0532
SB03-04,171,473196.9798,7029481.5410,347.0641,-26.856032737,116.730194588,330.2620,-2561284.9811,5085869.5129,-2864142.4270,11.4548,10.4516,0.0454
SB03-05,192,473197.6353,7029483.1713,347.0642,-26.856018030,116.730201222,330.2620,-2561285.9010,5085869.8740,-2864140.9732,12.1141,12.0812,0.0455
SB03-06,158,473193.7276,7029482.6882,347.0492,-26.856022317,116.730161876,330.2471,-2561282.3060,5085871.4293,-2864141.3902,8.2036,11.6062,0.0305
SB03-07,137,473195.6000,7029480.4199,347.0594,-26.856042832,116.730180675,330.2572,-2561283.5169,5085869.6798,-2864143.4228,10.0720,9.3330,0.0407
SB03-08,124,473191.8033,7029482.2816,347.0462,-26.856025951,116.730142497,330.2440,-2561280.5028,5085872.1307,-2864141.7481,6.2777,11.2036,0.0275
SB03-09,103,473193.5113,7029480.3276,347.0277,-26.856043626,116.730159648,330.2256,-2561281.6198,5085870.5590,-2864143.4870,7.9822,9.2450,0.0090
SB03-10,116,473195.4865,7029478.5170,347.0409,-26.856060011,116.730179492,330.2387,-2561283.0176,5085868.9499,-2864145.1127,9.9544,7.4294,0.0222
SB03-11,150,473198.0096,7029478.3371,347.0693,-26.856061683,116.730204886,330.2671,-2561285.2455,5085867.7626,-2864145.2909,12.4783,7.2442,0.0506
SB04-01,74,473195.3989,7029475.0020,347.0319,-26.856091745,116.730178535,330.2297,-2561282.2145,5085867.5667,-2864148.2458,9.8593,3.9131,0.0131
SB04-02,95,473195.9891,7029476.7557,347.0773,-26.856075923,116.730184514,330.2751,-2561283.1197,5085868.0430,-2864146.7021,10.4535,5.6663,0.0585
SB04-03,82,473193.4970,7029478.4290,347.0298,-26.856060767,116.730159463,330.2275,-2561281.2182,5085869.8025,-2864145.1825,7.9638,7.3456,0.0110
SB04-04,61,473192.9558,7029476.6600,347.0440,-26.856076728,116.730153977,330.2417,-2561280.3776,5085869.3455,-2864146.7667,7.4186,5.5771,0.0252
SB04-05,48,473191.1804,7029476.0994,347.0703,-26.856081756,116.730136094,330.2680,-2561278.6876,5085869.9411,-2864147.2756,5.6413,5.0200,0.0515
SB04-06,27,473189.7850,7029474.9405,347.0603,-26.856092193,116.730122023,330.2580,-2561277.1995,5085870.0955,-2864148.3028,4.2428,3.8635,0.0415
SB04-07,40,473193.1034,7029474.6060,347.0413,-26.856095277,116.730155419,330.2390,-2561280.0869,5085868.4496,-2864148.5991,7.5619,3.5218,0.0225
SB04-08,19,473190.6226,7029472.9068,347.0609,-26.856110570,116.730130411,330.2586,-2561277.5306,5085868.8995,-2864150.1198,5.0764,1.8271,0.0421
SB04-09,53,473194.1283,7029473.1125,347.0430,-26.856108780,116.730165705,330.2407,-2561280.6966,5085867.3875,-2864149.9347,8.5842,2.0255,0.0242
SB04-10,66,473194.9993,7029471.4818,347.0514,-26.856123520,116.730174437,330.2491,-2561281.1431,5085866.3448,-2864151.3956,9.4520,0.3922,0.0325
SB04-11,87,473196.3883,7029473.3936,347.0468,-26.856106286,116.730188460,330.2446,-2561282.7741,5085866.4848,-2864149.6899,10.8457,2.3019,0.0280
SB05-01,79,473196.2704,7029469.0010,347.0484,-26.856145943,116.730187179,330.2461,-2561281.7682,5085864.7703,-2864153.6109,10.7184,-2.0924,0.0295
SB05-02,45,473193.6474,7029470.3109,347.0287,-26.856134066,116.730160803,330.2264,-2561279.6864,5085866.4647,-2864152.4279,8.0970,-0.7764,0.0099
SB05-03,32,473192.4038,7029471.7745,347.0157,-26.856120827,116.730148316,330.2134,-2561278.8709,5085867.6044,-2864151.1134,6.8560,0.6906,-0.0031
SB05-04,24,473191.7331,7029470.1032,347.0203,-26.856135904,116.730141529,330.2180,-2561277.9308,5085867.2374,-2864152.6058,6.1814,-0.9800,0.0014
SB05-05,16,473189.1745,7029468.9575,347.0126,-26.856146199,116.730115749,330.2102,-2561275.4075,5085867.9234,-2864153.6200,3.6193,-2.1208,-0.0063
SB05-06,29,473189.8063,7029467.2152,346.9930,-26.856161942,116.730122072,330.1907,-2561275.6065,5085866.9214,-2864155.1675,4.2477,-3.8652,-0.0258
SB05-07,37,473192.3754,7029468.0993,347.0292,-26.856154009,116.730147951,330.2268,-2561278.0967,5085866.1479,-2864154.3996,6.8197,-2.9862,0.0103
SB05-08,58,473194.2413,7029468.3003,347.0389,-26.856152230,116.730166738,330.2365,-2561279.8083,5085865.3954,-2864154.2281,8.6869,-2.7891,0.0200
SB05-09,71,473194.2615,7029465.2377,347.0150,-26.856179882,116.730166877,330.2126,-2561279.1884,5085864.1339,-2864156.9509,8.7006,-5.8531,-0.0039
SB05-10,92,473195.1532,7029466.7904,347.0435,-26.856165880,116.730175885,330.2411,-2561280.3148,5085864.3799,-2864155.5796,9.5960,-4.3016,0.0246
SB06-01,213,473195.3217,7029485.6864,347.1134,-26.855995278,116.730177986,330.3113,-2561284.3706,5085871.9691,-2864138.7463,9.8048,14.6024,0.0948
SB06-02,247,473197.6723,7029485.7410,347.1128,-26.855994830,116.730201649,330.3106,-2561286.4808,5085870.9308,-2864138.7017,12.1565,14.6520,0.0941
SB06-03,234,473193.5779,7029487.2223,347.1107,-26.855981377,116.730160466,330.3086,-2561283.1273,5085873.3716,-2864137.3709,8.0635,16.1426,0.0920
SB06-04,255,473191.4799,7029489.1477,347.0821,-26.855963953,116.730139389,330.2801,-2561281.6372,5085875.0701,-2864135.6355,5.9687,18.0734,0.0635
SB06-05,221,473190.0375,7029488.1673,347.0893,-26.855972777,116.730124848,330.2872,-2561280.1507,5085875.3313,-2864136.5110,4.5236,17.0956,0.0707
SB06-06,200,473192.4772,7029485.8556,347.0740,-26.855993695,116.730149357,330.2719,-2561281.8491,5085873.2883,-2864138.5720,6.9595,14.7777,0.0554
SB06-07,166,473190.5719,7029486.1442,347.0880,-26.855991053,116.730130184,330.2859,-2561280.2123,5085874.2746,-2864138.3171,5.0539,15.0705,0.0693
SB06-08,132,473188.8907,7029483.8525,347.0252,-26.856011712,116.730113212,330.2231,-2561278.2154,5085874.0597,-2864140.3310,3.3671,12.7813,0.0065
SB06-09,111,473189.8389,7029482.4173,347.0477,-26.856024687,116.730122726,330.2456,-2561278.7768,5085873.0722,-2864141.6239,4.3127,11.3436,0.0290
SB06-10,145,473191.3161,7029484.4538,347.0370,-26.856006330,116.730137639,330.2349,-2561280.5096,5085873.2178,-2864139.8043,5.7948,13.3777,0.0183
SB06-11,179,473194.0276,7029484.4904,347.0832,-26.856006051,116.730164934,330.2810,-2561282.9573,5085872.0468,-2864139.7976,8.5075,13.4086,0.0645
SB07-01,69,473190.8969,7029478.9954,347.0278,-26.856055603,116.730133302,330.2256,-2561279.0116,5085871.2014,-2864144.6711,5.3638,7.9179,0.0091
SB07-02,90,473190.7225,7029480.8007,347.0556,-26.856039300,116.730131586,330.2534,-2561279.2374,5085872.0291,-2864143.0720,5.1932,9.7244,0.0369
SB07-03,56,473188.7428,7029478.7152,347.0297,-26.856058091,116.730111613,330.2275,-2561277.0310,5085872.0612,-2864144.9179,3.2082,7.6422,0.0110
SB07-04,77,473187.9401,7029481.3235,347.0262,-26.856034527,116.730103589,330.2240,-2561276.8479,5085873.4706,-2864142.5868,2.4107,10.2533,0.0075
SB07-05,64,473185.2877,7029480.8444,347.0122,-26.856038802,116.730076879,330.2100,-2561274.3752,5085874.4624,-2864143.0031,-0.2439,9.7796,-0.0065
SB07-06,43,473186.4495,7029478.6535,347.0443,-26.856058605,116.730088527,330.2421,-2561274.9761,5085873.0818,-2864144.9752,0.9138,7.5853,0.0255
SB07-07,30,473184.9398,7029477.6274,347.0278,-26.856067840,116.730073308,330.2256,-2561273.4106,5085873.3362,-2864145.8808,-0.5988,6.5619,0.0091
SB07-08,9,473185.6635,7029474.4748,347.0292,-26.856096318,116.730080525,330.2270,-2561273.4106,5085871.7414,-2864148.6966,0.1185,3.4064,0.0104
SB07-09,22,473187.5543,7029476.9015,347.0077,-26.856074444,116.730099610,330.2055,-2561275.5886,5085871.8491,-2864146.5245,2.0153,5.8302,-0.0111
SB07-10,14,473188.0118,7029475.0074,347.0579,-26.856091554,116.730104175,330.2557,-2561275.6287,5085870.9201,-2864148.2386,2.4690,3.9342,0.0391
SB07-11,35,473189.8891,7029477.2826,347.0214,-26.856071048,116.730123121,330.2192,-2561277.7575,5085870.9609,-2864146.1950,4.3519,6.2065,0.0027
SB08-01,153,473187.1956,7029485.3706,347.0333,-26.855997973,116.730096181,330.2312,-2561277.0162,5085875.4417,-2864138.9765,1.6744,14.3037,0.0146
SB08-02,187,473188.3462,7029487.2109,347.0602,-26.855981379,116.730107802,330.2581,-2561278.4322,5085875.6855,-2864137.3483,2.8294,16.1424,0.0416
SB08-03,242,473187.3653,7029488.6479,347.0563,-26.855968386,116.730097959,330.2542,-2561277.8495,5085876.7034,-2864136.0621,1.8512,17.5822,0.0377
SB08-04,208,473185.6115,7029488.5087,347.0749,-26.855969610,116.730080303,330.2728,-2561276.2621,5085877.4528,-2864136.1914,0.0964,17.4466,0.0563
SB08-05,229,473183.8808,7029489.4560,347.0135,-26.855961023,116.730062901,330.2115,-2561274.8862,5085878.5656,-2864135.3149,-1.6331,18.3980,-0.0051
SB08-06,174,473184.6871,7029486.2278,347.0631,-26.855990185,116.730070948,330.2610,-2561274.9638,5085876.9417,-2864138.2201,-0.8333,15.1667,0.0445
SB08-07,140,473184.0583,7029484.5396,347.0508,-26.856005415,116.730064582,330.2487,-2561274.0509,5085876.5355,-2864139.7201,-1.4660,13.4791,0.0322
SB08-08,85,473184.7452,7029482.6756,347.0113,-26.856022257,116.730071457,330.2091,-2561274.2660,5085875.4437,-2864141.3672,-0.7828,11.6128,-0.0074
SB08-09,119,473185.8608,7029484.0810,347.0135,-26.856009590,116.730082716,330.2113,-2561275.5516,5085875.5084,-2864140.1159,0.3363,13.0165,-0.0052
SB08-10,98,473186.5608,7029482.4170,347.0054,-26.856024627,116.730089727,330.2032,-2561275.8321,5085874.5163,-2864141.5988,1.0331,11.3502,-0.0133
SB09-01,38,473182.9791,7029478.0894,347.0146,-26.856063631,116.730053580,330.2124,-2561271.7490,5085874.3957,-2864145.4587,-2.5594,7.0284,-0.0041
SB09-02,51,473184.3261,7029479.3839,347.0455,-26.856051970,116.730067168,330.2433,-2561273.2300,5085874.3343,-2864144.3199,-1.2090,8.3205,0.0268
SB09-03,72,473183.4376,7029480.9925,347.0146,-26.856037429,116.730058258,330.2124,-2561272.7541,5085875.3580,-2864142.8684,-2.0946,9.9317,-0.0041
SB09-04,93,473181.3056,7029482.0335,347.0055,-26.856027989,116.730036819,330.2033,-2561271.0600,5085876.7312,-2864141.9312,-4.2253,10.9777,-0.0132
SB09-05,59,473181.0580,7029478.4646,347.0490,-26.856060207,116.730034251,330.2468,-2561270.1241,5085875.4402,-2864145.1357,-4.4805,7.4078,0.0302
SB09-06,80,473178.9493,7029479.6192,347.0445,-26.856049741,116.730013049,330.2423,-2561268.4759,5085876.8524,-2864144.0991,-6.5877,8.5674,0.0258
SB09-07,67,473178.2726,7029477.9392,347.0397,-26.856064897,116.730006201,330.2375,-2561267.5249,5085876.4771,-2864145.5952,-7.2683,6.8881,0.0209
SB09-08,46,473179.8416,7029477.0821,347.0084,-26.856072665,116.730021976,330.2062,-2561268.7377,5085875.3996,-2864146.3490,-5.7005,6.0273,-0.0104
SB09-09,25,473182.1537,7029476.4571,347.0162,-26.856078353,116.730045237,330.2140,-2561270.6775,5085874.1118,-2864146.9147,-3.3887,5.3971,-0.0025
SB09-10,12,473183.2201,7029473.9318,347.0100,-26.856101173,116.730055918,330.2077,-2561271.1093,5085872.6090,-2864149.1678,-2.3272,2.8684,-0.0088
SB09-11,17,473184.4005,7029475.8625,347.0076,-26.856083764,116.730067842,330.2054,-2561272.5587,5085872.8525,-2864147.4458,-1.1421,4.7974,-0.0112
SB10-01,161,473182.5542,7029485.4159,347.0349,-26.855997475,116.730049460,330.2328,-2561272.8809,5085877.5538,-2864138.9280,-2.9689,14.3589,0.0162
SB10-02,195,473183.2069,7029487.3096,347.0737,-26.855980389,116.730056071,330.2716,-2561273.8680,5085878.0531,-2864137.2565,-2.3119,16.2521,0.0550
SB10-03,250,473181.5121,7029490.0583,347.0125,-26.855955540,116.730039070,330.2104,-2561272.8938,5085879.8753,-2864134.7723,-4.0016,19.0056,-0.0062
SB10-04,216,473180.7806,7029487.4950,347.0410,-26.855978669,116.730031652,330.2389,-2561271.7260,5085879.1955,-2864137.0717,-4.7388,16.4427,0.0223
