#S10-5
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,469608.8993,7028661.8635,325.5376,-26.863361983,116.694054773,325.5376,-2557909.7883,5087152.4693,-2864864.8082
SB01-02,469606.0121,7028664.8335,325.5376,-26.863335105,116.694025780,325.5376,-2557907.8187,5087154.9659,-2864862.1514
SB01-03,469607.6737,7028665.5025,325.5376,-26.863329101,116.694042524,325.5376,-2557909.4403,5087154.4870,-2864861.5579
SB01-04,469608.0534,7028668.8577,325.5376,-26.863298816,116.694046427,325.5376,-2557910.4681,5087155.6675,-2864858.5643
SB01-05,469606.1027,7028668.6935,325.5376,-26.863300256,116.694026786,325.5376,-2557908.6918,5087156.4799,-2864858.7066
SB01-06,469605.9181,7028666.7551,325.5376,-26.863317753,116.694024881,325.5376,-2557908.1290,5087155.7823,-2864860.4362
SB01-07,469603.0863,7028667.4795,325.5376,-26.863311152,116.693996391,325.5376,-2557905.7480,5087157.3495,-2864859.7836
SB01-08,469604.3519,7028665.6251,325.5376,-26.863327922,116.694009086,325.5376,-2557906.4980,5087156.0326,-2864861.4413
SB01-09,469602.8531,7028664.2399,325.5376,-26.863340395,116.693993965,325.5376,-2557904.8749,5087156.1497,-2864862.6743
SB01-10,469606.4718,7028663.1631,325.5376,-26.863350196,116.694030367,325.5376,-2557907.8865,5087154.0861,-2864863.6431
SB02-01,469612.3387,7028664.1875,325.5376,-26.863341075,116.694089454,325.5376,-2557913.3378,5087151.8563,-2864862.7415
SB02-02,469614.6633,7028664.9129,325.5376,-26.863334577,116.694112872,325.5376,-2557915.5632,5087151.1015,-2864862.0992
SB02-03,469612.0035,7028665.9723,325.5376,-26.863324954,116.694086123,325.5376,-2557913.4046,5087152.7261,-2864861.1480
SB02-04,469614.8536,7028667.3813,325.5376,-26.863312294,116.694114848,325.5376,-2557916.2398,5087152.0100,-2864859.8965
SB02-05,469614.7675,7028669.1336,325.5376,-26.863296471,116.694114024,325.5376,-2557916.5226,5087152.7546,-2864858.3324
SB02-06,469612.4596,7028668.1247,325.5376,-26.863305531,116.694090766,325.5376,-2557914.2538,5087153.3877,-2864859.2280
SB02-07,469611.9480,7028670.0667,325.5376,-26.863287986,116.694085663,325.5376,-2557914.1953,5087154.4004,-2864857.4936
SB02-08,469610.2955,7028669.3324,325.5376,-26.863294579,116.694069009,325.5376,-2557912.5684,5087154.8489,-2864858.1454
SB02-09,469609.5738,7028667.6351,325.5376,-26.863309888,116.694061703,325.5376,-2557911.5754,5087154.4902,-2864859.6587
SB02-10,469610.2172,7028665.4490,325.5376,-26.863329639,116.694068127,325.5376,-2557911.7015,5087153.3199,-2864861.6111
SB02-11,469608.5348,7028663.6731,325.5376,-26.863345636,116.694051148,325.5376,-2557909.8341,5087153.3623,-2864863.1924
SB03-01,469616.8244,7028668.6254,325.5376,-26.863301105,116.694134717,325.5376,-2557918.2557,5087151.6235,-2864858.7905
SB03-02,469616.2703,7028670.3846,325.5376,-26.863285209,116.694129183,325.5376,-2557918.1218,5087152.5816,-2864857.2192
SB03-03,469619.8016,7028671.2532,325.5376,-26.863277444,116.694164753,325.5376,-2557921.4546,5087151.3410,-2864856.4516
SB03-04,469616.6176,7028672.5793,325.5376,-26.863265402,116.694132732,325.5376,-2557918.8824,5087153.3092,-2864855.2613
SB03-05,469618.3702,7028672.4052,325.5376,-26.863267012,116.694150371,325.5376,-2557920.4123,5087152.4497,-2864855.4204
SB03-06,469616.7529,7028676.0268,325.5376,-26.863234279,116.694134178,325.5376,-2557919.7108,5087154.6369,-2864852.1848
SB03-07,469615.1409,7028673.5885,325.5376,-26.863256258,116.694117890,325.5376,-2557917.7704,5087154.3809,-2864854.3574
SB03-08,469615.7940,7028677.7310,325.5376,-26.863218871,116.694124567,325.5376,-2557919.2040,5087155.7552,-2864850.6617
SB03-09,469614.4520,7028675.5578,325.5376,-26.863238463,116.694111003,325.5376,-2557917.5591,5087155.4844,-2864852.5983
SB03-10,469613.2929,7028673.1802,325.5376,-26.863259904,116.694099278,325.5376,-2557916.0358,5087155.0487,-2864854.7178
SB03-11,469613.8469,7028670.6766,325.5376,-26.863282520,116.694104794,325.5376,-2557916.0168,5087153.7908,-2864856.9534
SB04-01,469609.8996,7028672.2074,325.5376,-26.863268613,116.694065094,325.5376,-2557912.8048,5087156.1852,-2864855.5787
SB04-02,469611.7290,7028672.1261,325.5376,-26.863269387,116.694083508,325.5376,-2557914.4223,5087155.3285,-2864855.6552
SB04-03,469612.6402,7028675.0173,325.5376,-26.863243303,116.694092751,325.5376,-2557915.8297,5087156.0827,-2864853.0768
SB04-04,469610.7725,7028675.0218,325.5376,-26.863243223,116.694073949,325.5376,-2557914.1621,5087156.9257,-2864853.0688
SB04-05,469609.7418,7028676.5330,325.5376,-26.863229556,116.694063611,325.5376,-2557913.5516,5087157.9986,-2864851.7179
SB04-06,469608.1888,7028677.5645,325.5376,-26.863220208,116.694048002,325.5376,-2557912.3759,5087159.1136,-2864850.7939
SB04-07,469608.8313,7028674.3050,325.5376,-26.863249651,116.694054391,325.5376,-2557912.2810,5087157.5113,-2864853.7043
SB04-08,469606.5203,7028676.1564,325.5376,-26.863232886,116.694031171,325.5376,-2557910.5964,5087159.2979,-2864852.0470
SB04-09,469607.7249,7028672.8902,325.5376,-26.863262401,116.694043218,325.5376,-2557911.0022,5087157.4397,-2864854.9646
SB04-10,469606.4092,7028671.5707,325.5376,-26.863274286,116.694029941,325.5376,-2557909.5560,5087157.5008,-2864856.1395
SB04-11,469608.6574,7028670.7716,325.5376,-26.863281549,116.694052555,325.5376,-2557911.4005,5087156.1663,-2864856.8574
SB05-01,469604.4298,7028669.5985,325.5376,-26.863292049,116.694009967,325.5376,-2557907.3831,5087157.5980,-2864857.8953
SB05-02,469604.8774,7028672.4765,325.5376,-26.863266074,116.694014543,325.5376,-2557908.3736,5087158.5556,-2864855.3277
SB05-03,469605.9519,7028674.0954,325.5376,-26.863251482,116.694025399,325.5376,-2557909.6657,5087158.7237,-2864853.8852
SB05-04,469604.1356,7028674.2813,325.5376,-26.863249763,116.694007119,325.5376,-2557908.0813,5087159.6167,-2864853.7154
SB05-05,469602.3354,7028676.3596,325.5376,-26.863230959,116.693989048,325.5376,-2557906.8998,5087161.2646,-2864851.8566
SB05-06,469600.8397,7028675.2785,325.5376,-26.863240688,116.693973965,325.5376,-2557905.3417,5087161.5028,-2864852.8183
SB05-07,469602.4202,7028673.0457,325.5376,-26.863260882,116.693989820,325.5376,-2557906.2953,5087159.8916,-2864854.8145
SB05-08,469603.1451,7028671.3804,325.5376,-26.863275933,116.693997078,325.5376,-2557906.6011,5087158.8943,-2864856.3022
SB05-09,469600.2271,7028670.4476,325.5376,-26.863284291,116.693967680,325.5376,-2557903.8030,5087159.8328,-2864857.1285
SB05-10,469601.9566,7028670.0321,325.5376,-26.863288080,116.693985080,325.5376,-2557905.2627,5087158.8865,-2864857.5030
SB06-01,469620.0951,7028675.3783,325.5376,-26.863240206,116.694167808,325.5376,-2557922.5634,5087152.8704,-2864852.7707
SB06-02,469620.8285,7028673.1536,325.5376,-26.863260308,116.694175136,325.5376,-2557922.7619,5087151.6440,-2864854.7578
SB06-03,469621.0633,7028677.4916,325.5376,-26.863221148,116.694177605,325.5376,-2557923.8620,5087153.2855,-2864850.8868
SB06-04,469622.2786,7028680.0806,325.5376,-26.863197798,116.694189902,325.5376,-2557925.4790,5087153.7810,-2864848.5787
SB06-05,469620.9464,7028681.1706,325.5376,-26.863187928,116.694176517,325.5376,-2557924.5126,5087154.8201,-2864847.6030
SB06-06,469619.4562,7028678.1535,325.5376,-26.863215136,116.694161443,325.5376,-2557922.5622,5087154.2760,-2864850.2925
SB06-07,469619.1442,7028680.0466,325.5376,-26.863198037,116.694158348,325.5376,-2557922.6720,5087155.1790,-2864848.6023
SB06-08,469616.4840,7028681.0220,325.5376,-26.863189173,116.694131592,325.5376,-2557920.4958,5087156.7701,-2864847.7261
SB06-09,469615.3673,7028679.7015,325.5376,-26.863201071,116.694120319,325.5376,-2557919.2272,5087156.7411,-2864848.9022
SB06-10,469617.7609,7028678.8431,325.5376,-26.863208873,116.694144393,325.5376,-2557921.1893,5087155.3173,-2864849.6734
SB06-11,469618.5577,7028676.2974,325.5376,-26.863231875,116.694152353,325.5376,-2557921.3787,5087153.9330,-2864851.9472
SB07-01,469612.4292,7028677.6848,325.5376,-26.863219215,116.694090692,325.5376,-2557916.1887,5087157.2521,-2864850.6957
SB07-02,469614.0635,7028678.3776,325.5376,-26.863212995,116.694107161,325.5376,-2557917.7908,5087156.7951,-2864850.0809
SB07-03,469611.4837,7028679.6697,325.5376,-26.863201273,116.694081222,325.5376,-2557915.7514,5087158.4775,-2864848.9222
SB07-04,469613.7507,7028681.1881,325.5376,-26.863187614,116.694104081,325.5376,-2557918.0882,5087158.0681,-2864847.5719
SB07-05,469612.5462,7028683.5489,325.5376,-26.863166273,116.694092012,325.5376,-2557917.4967,5087159.5615,-2864845.4624
SB07-06,469610.7735,7028681.7977,325.5376,-26.863182045,116.694074124,325.5376,-2557915.5537,5087159.6545,-2864847.0215
SB07-07,469609.3871,7028682.9844,325.5376,-26.863171301,116.694060196,325.5376,-2557914.5587,5087160.7569,-2864845.9594
SB07-08,469606.5689,7028681.3693,325.5376,-26.863185822,116.694031787,325.5376,-2557911.7098,5087161.3757,-2864847.3948
SB07-09,469609.4054,7028680.2996,325.5376,-26.863195541,116.694060316,325.5376,-2557914.0241,5087159.6673,-2864848.3555
SB07-10,469607.7315,7028679.2468,325.5376,-26.863205010,116.694043439,325.5376,-2557912.3127,5087159.9972,-2864849.2915
SB07-11,469610.4325,7028678.1632,325.5376,-26.863214852,116.694070603,325.5376,-2557914.5032,5087158.3442,-2864850.2644
SB08-01,469617.4052,7028683.0385,325.5376,-26.863170987,116.694140915,325.5376,-2557921.7326,5087157.1674,-2864845.9283
SB08-02,469619.4911,7028682.4984,325.5376,-26.863175908,116.694161900,325.5376,-2557923.4851,5087156.0104,-2864846.4149
SB08-03,469620.5773,7028683.8708,325.5376,-26.863163541,116.694172868,325.5376,-2557924.7371,5087156.0739,-2864845.1924
SB08-04,469619.9620,7028685.5228,325.5376,-26.863148613,116.694166714,325.5376,-2557924.5265,5087157.0164,-2864843.7167
SB08-05,469620.3466,7028687.4222,325.5376,-26.863131472,116.694170631,325.5376,-2557925.2598,5087157.6083,-2864842.0223
SB08-06,469617.4932,7028685.7321,325.5376,-26.863146669,116.694141865,325.5376,-2557922.3640,5087158.2127,-2864843.5246
SB08-07,469615.7014,7028685.8343,325.5376,-26.863145707,116.694123831,325.5376,-2557920.7843,5087159.0609,-2864843.4295
SB08-08,469614.1274,7028684.6114,325.5376,-26.863156714,116.694107956,325.5376,-2557919.1273,5087159.2773,-2864844.5175
SB08-09,469615.8174,7028683.9800,325.5376,-26.863162451,116.694124954,325.5376,-2557920.5075,5087158.2618,-2864845.0846
SB08-10,469614.4175,7028682.8551,325.5376,-26.863172578,116.694110833,325.5376,-2557919.0259,5087158.4392,-2864846.0856
SB09-01,469609.2331,7028685.0088,325.5376,-26.863153019,116.694058695,325.5376,-2557914.8366,5087161.6417,-2864844.1523
SB09-02,469610.8333,7028684.0829,325.5376,-26.863161414,116.694074782,325.5376,-2557916.0761,5087160.5481,-2864844.9821
SB09-03,469612.1081,7028685.3707,325.5376,-26.863149815,116.694087646,325.5376,-2557917.4792,5087160.4926,-2864843.8355
SB09-04,469612.5382,7028687.7290,325.5376,-26.863128532,116.694092034,325.5376,-2557918.3475,5087161.2488,-2864841.7317
SB09-05,469609.0110,7028686.8972,325.5376,-26.863135965,116.694056505,325.5376,-2557915.0258,5087162.5024,-2864842.4664
SB09-06,469609.5130,7028689.2504,325.5376,-26.863114730,116.694061616,325.5376,-2557915.9572,5087163.2241,-2864840.3674
SB09-07,469607.6988,7028689.4393,325.5376,-26.863112985,116.694043358,325.5376,-2557914.3754,5087164.1173,-2864840.1949
SB09-08,469607.3591,7028687.6676,325.5376,-26.863128974,116.694039895,325.5376,-2557913.7083,5087163.5567,-2864841.7754
SB09-09,469607.4342,7028685.3093,325.5376,-26.863150267,116.694040594,325.5376,-2557913.2914,5087162.5730,-2864843.8802
SB09-10,469605.3320,7028683.5149,325.5376,-26.863166423,116.694019388,325.5376,-2557911.0452,5087162.7970,-2864845.4772
SB09-11,469607.4787,7028682.9680,325.5376,-26.863171407,116.694040985,325.5376,-2557912.8506,5087161.6098,-2864845.9699
SB10-01,469616.0989,7028687.5292,325.5376,-26.863130413,116.694127873,325.5376,-2557921.4873,5087159.5646,-2864841.9176
