#S10-1
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,469558.9888,7028574.3797,325.7376,-26.864150754,116.693550204,325.7376,-2557847.3274,5087139.8695,-2864942.8680
SB01-02,469561.6958,7028577.5148,325.7376,-26.864122508,116.693577532,325.7376,-2557850.3891,5087139.9131,-2864940.0759
SB01-03,469562.5071,7028575.9178,325.7376,-26.864136944,116.693585660,325.7376,-2557850.7861,5087138.9044,-2864941.5029
SB01-04,469565.8826,7028575.8320,325.7376,-26.864137793,116.693619639,325.7376,-2557853.7839,5087137.3495,-2864941.5868
SB01-05,469565.5490,7028577.7610,325.7376,-26.864120369,116.693616328,325.7376,-2557853.8818,5087138.2768,-2864939.8645
SB01-06,469563.6019,7028577.7759,325.7376,-26.864120192,116.693596727,325.7376,-2557852.1455,5087139.1598,-2864939.8470
SB01-07,469564.0767,7028580.6600,325.7376,-26.864094163,116.693601577,325.7376,-2557853.1615,5087140.1077,-2864937.2740
SB01-08,469562.3397,7028579.2377,325.7376,-26.864106967,116.693584056,325.7376,-2557851.3179,5087140.3171,-2864938.5396
SB01-09,469560.8292,7028580.6100,325.7376,-26.864094543,116.693568883,325.7376,-2557850.2502,5087141.5502,-2864937.3116
SB01-10,469560.0718,7028576.9113,325.7376,-26.864127921,116.693561169,325.7376,-2557848.8145,5087140.4014,-2864940.6110
SB02-01,469561.6037,7028571.1559,325.7376,-26.864179918,116.693576450,325.7376,-2557849.0017,5087137.3932,-2864945.7508
SB02-02,469562.5289,7028568.9034,325.7376,-26.864200275,116.693585709,325.7376,-2557849.3659,5087136.0692,-2864947.7631
SB02-03,469563.3524,7028571.6454,325.7376,-26.864175537,116.693594066,325.7376,-2557850.6643,5087136.8027,-2864945.3177
SB02-04,469565.0045,7028568.9290,325.7376,-26.864200098,116.693610631,325.7376,-2557851.5827,5087134.9645,-2864947.7456
SB02-05,469566.7427,7028569.1674,325.7376,-26.864197983,116.693628135,325.7376,-2557853.1844,5087134.2777,-2864947.5365
SB02-06,469565.5364,7028571.3787,325.7376,-26.864177993,116.693616045,325.7376,-2557852.5606,5087135.7117,-2864945.5605
SB02-07,469567.4264,7028572.0576,325.7376,-26.864171904,116.693635089,325.7376,-2557854.3884,5087135.1339,-2864944.9586
SB02-08,469566.5509,7028573.6398,325.7376,-26.864157600,116.693626313,325.7376,-2557853.9310,5087136.1655,-2864943.5447
SB02-09,469564.7971,7028574.2108,325.7376,-26.864152406,116.693608672,325.7376,-2557852.4815,5087137.1854,-2864943.0313
SB02-10,469562.6755,7028573.3793,325.7376,-26.864159867,116.693587294,325.7376,-2557850.4155,5087137.8061,-2864943.7688
SB02-11,469560.7597,7028574.9005,325.7376,-26.864146091,116.693568045,325.7376,-2557849.0163,5087139.2817,-2864942.4070
SB03-01,469566.4156,7028567.0741,325.7376,-26.864216876,116.693624792,325.7376,-2557852.4626,5087133.5818,-2864949.4040
SB03-02,469568.1199,7028567.7794,325.7376,-26.864210545,116.693641965,325.7376,-2557854.1297,5087133.0983,-2864948.7783
SB03-03,469569.2929,7028564.3372,325.7376,-26.864241649,116.693653691,325.7376,-2557854.4712,5087131.1834,-2864951.8528
SB03-04,469570.3364,7028567.6248,325.7376,-26.864211990,116.693664276,325.7376,-2557856.0781,5087132.0376,-2864948.9211
SB03-05,469570.3158,7028565.8636,325.7376,-26.864227890,116.693664025,325.7376,-2557855.6982,5087131.3376,-2864950.4928
SB03-06,469573.7826,7028567.7904,325.7376,-26.864210570,116.693698972,325.7376,-2557859.1907,5087130.5522,-2864948.7807
SB03-07,469571.2131,7028569.1838,325.7376,-26.864197933,116.693673139,325.7376,-2557857.1813,5087132.2708,-2864947.5316
SB03-08,469575.3967,7028568.8942,325.7376,-26.864200639,116.693715248,325.7376,-2557860.8591,5087130.2698,-2864947.7991
SB03-09,469573.1149,7028570.0417,325.7376,-26.864190229,116.693692305,325.7376,-2557859.0562,5087131.7598,-2864946.7700
SB03-10,469570.6453,7028570.9891,325.7376,-26.864181621,116.693667467,325.7376,-2557857.0445,5087133.2537,-2864945.9192
SB03-11,469568.1995,7028570.2190,325.7376,-26.864188520,116.693642827,325.7376,-2557854.7017,5087134.0451,-2864946.6012
SB04-01,469569.3805,7028574.2848,325.7376,-26.864151838,116.693654814,325.7376,-2557856.5910,5087135.1509,-2864942.9752
SB04-02,469569.4589,7028572.4553,325.7376,-26.864168358,116.693655559,325.7376,-2557856.2856,5087134.3786,-2864944.6081
SB04-03,469572.4186,7028571.7995,325.7376,-26.864174343,116.693685338,325.7376,-2557858.7950,5087132.7815,-2864945.1997
SB04-04,469572.2602,7028573.6605,325.7376,-26.864157537,116.693683789,325.7376,-2557859.0354,5087133.6024,-2864943.5385
SB04-05,469573.6758,7028574.8189,325.7376,-26.864147109,116.693698068,325.7376,-2557860.5378,5087133.4315,-2864942.5077
