#S8-6
#Lat: -26.855106587
#Lon: 116.730025307
#HAE: 330.2901
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB04-05,48,473185.4683,7029578.8922,347.0443,-26.855153563,116.730080797,330.2434,-2561294.6673,5085913.8903,-2864055.5068,5.5149,-5.2052,-0.0467
SB04-06,27,473184.1653,7029580.2379,347.0831,-26.855141388,116.730067710,330.2822,-2561293.7952,5085915.0505,-2864054.3208,4.2142,-3.8562,-0.0079
SB04-07,40,473184.1186,7029576.9109,347.0562,-26.855171425,116.730067169,330.2553,-2561293.0601,5085913.7104,-2864057.2780,4.1604,-7.1845,-0.0348
SB04-08,19,473182.2558,7029579.2020,347.0740,-26.855150704,116.730048466,330.2731,-2561291.8737,5085915.4871,-2864055.2376,2.3016,-4.8884,-0.0170
SB04-09,53,473182.7541,7029575.7501,347.0790,-26.855181880,116.730053408,330.2781,-2561291.6125,5085913.8763,-2864058.3218,2.7929,-8.3430,-0.0120
SB04-10,66,473181.1688,7029574.7337,347.0717,-26.855191026,116.730037429,330.2708,-2561289.9851,5085914.1759,-2864059.2226,1.2047,-9.3564,-0.0194
SB04-11,87,473183.2332,7029573.4694,347.0745,-26.855202480,116.730058182,330.2735,-2561291.5706,5085912.7383,-2864060.3562,3.2673,-10.6256,-0.0166
SB05-01,79,473178.8402,7029573.1909,347.0642,-26.855204911,116.730013955,330.2633,-2561287.5859,5085914.5985,-2864060.5918,-1.1283,-10.8949,-0.0269
SB05-02,45,473179.8674,7029575.9250,347.0724,-26.855180245,116.730024354,330.2715,-2561289.0676,5085915.2430,-2864058.1572,-0.0948,-8.1618,-0.0186
SB05-03,32,473181.2697,7029577.2798,347.0704,-26.855168040,116.730038499,330.2695,-2561290.5971,5085915.1547,-2864056.9497,1.3111,-6.8094,-0.0206
SB05-04,24,473179.5013,7029577.8671,347.0858,-26.855162704,116.730020711,330.2849,-2561289.1445,5085916.2007,-2864056.4291,-0.4569,-6.2181,-0.0052
SB05-05,16,473178.1879,7029580.2423,347.0629,-26.855141234,116.730007540,330.2621,-2561288.4496,5085917.7311,-2864054.2964,-1.7658,-3.8390,-0.0280
SB05-06,29,473176.5081,7029579.5249,347.0357,-26.855147678,116.729990616,330.2348,-2561286.7914,5085918.1779,-2864054.9211,-3.4478,-4.5531,-0.0553
SB05-07,37,473177.6002,7029576.9922,347.0672,-26.855170566,116.730001555,330.2662,-2561287.2596,5085916.6906,-2864057.1980,-2.3607,-7.0893,-0.0239
SB05-08,58,473177.9809,7029575.1994,347.0687,-26.855186760,116.730005349,330.2678,-2561287.2324,5085915.7983,-2864058.7996,-1.9836,-8.8837,-0.0224
SB05-09,71,473174.9286,7029574.9052,347.0826,-26.855189358,116.729974617,330.2816,-2561284.4515,5085917.0670,-2864059.0626,-5.0379,-9.1715,-0.0085
SB05-10,92,473176.4918,7029574.1194,347.0609,-26.855196482,116.729990336,330.2600,-2561285.6778,5085916.0285,-2864059.7571,-3.4757,-9.9609,-0.0301
SB06-01,213,473195.3852,7029575.6178,347.1400,-26.855183317,116.730180552,330.3390,-2561302.8906,5085908.1769,-2864058.4914,15.4293,-8.5022,0.0489
SB06-02,247,473195.6559,7029573.3378,347.1329,-26.855203907,116.730183227,330.3320,-2561302.6617,5085907.1311,-2864060.5237,15.6952,-10.7837,0.0418
SB06-03,234,473196.7778,7029577.4936,347.1423,-26.855166408,116.730194610,330.3414,-2561304.5201,5085908.3063,-2864056.8209,16.8264,-6.6285,0.0513
SB06-04,255,473198.4782,7029579.8085,347.1506,-26.855145540,116.730211776,330.3497,-2561306.5170,5085908.4785,-2864054.7617,18.5325,-4.3162,0.0595
SB06-05,221,473197.4125,7029581.1483,347.1611,-26.855133423,116.730201077,330.3603,-2561305.8444,5085909.5069,-2864053.5686,17.4692,-2.9735,0.0701
SB06-06,200,473195.3177,7029578.4788,347.1395,-26.855157485,116.730179933,330.3386,-2561303.4171,5085909.3591,-2864055.9375,15.3678,-5.6398,0.0485
SB06-07,166,473195.4305,7029580.3972,347.1471,-26.855140166,116.730181110,330.3462,-2561303.9145,5085910.0868,-2864054.2289,15.4848,-3.7208,0.0561
SB06-08,132,473193.0068,7029581.9103,347.1346,-26.855126458,116.730156745,330.3338,-2561302.0554,5085911.7789,-2864052.8681,13.0632,-2.2018,0.0437
SB06-09,111,473191.6235,7029580.8522,347.1316,-26.855135985,116.730142798,330.3307,-2561300.6017,5085911.9740,-2864053.8085,11.6770,-3.2574,0.0406
SB06-10,145,473193.7997,7029579.4975,347.1365,-26.855148258,116.730164675,330.3356,-2561302.2692,5085910.4513,-2864055.0240,13.8513,-4.6173,0.0455
SB06-11,179,473194.0845,7029576.8187,347.1289,-26.855172449,116.730167485,330.3279,-2561301.9709,5085909.2381,-2864057.4120,14.1305,-7.2979,0.0378
SB07-01,69,473188.3430,7029579.4778,347.0896,-26.855148331,116.730109746,330.2887,-2561297.3730,5085912.8662,-2864055.0101,8.3921,-4.6255,-0.0014
SB07-02,90,473190.0719,7029579.7894,347.1043,-26.855145551,116.730127156,330.3034,-2561298.9869,5085912.2239,-2864054.7419,10.1224,-4.3174,0.0133
SB07-03,56,473187.8403,7029581.6052,347.0815,-26.855129114,116.730104732,330.2806,-2561297.3573,5085913.9429,-2864053.1066,7.8938,-2.4961,-0.0095
SB07-04,77,473190.3531,7029582.6402,347.1229,-26.855119817,116.730130048,330.3220,-2561299.8304,5085913.2599,-2864052.2063,10.4099,-1.4660,0.0319
SB07-05,64,473189.6793,7029585.1760,347.1362,-26.855096909,116.730123320,330.3354,-2561299.7543,5085914.5955,-2864049.9477,9.7411,1.0724,0.0453
SB07-06,43,473187.5566,7029583.8422,347.0933,-26.855108911,116.730101925,330.2925,-2561297.5677,5085914.9811,-2864051.1148,7.6147,-0.2575,0.0024
SB07-07,30,473186.4643,7029585.2917,347.1209,-26.855095803,116.730090960,330.3201,-2561296.9006,5085916.0793,-2864049.8315,6.5250,1.1950,0.0300
SB07-08,9,473183.3809,7029584.2773,347.0742,-26.855104903,116.730059900,330.2734,-2561293.9199,5085917.0237,-2864050.7100,3.4380,0.1867,-0.0167
SB07-09,22,473185.9240,7029582.6531,347.0566,-26.855119615,116.730085465,330.2558,-2561295.8509,5085915.2091,-2864052.1564,5.9789,-1.4436,-0.0343
SB07-10,14,473184.0663,7029581.9623,347.0495,-26.855125817,116.730066750,330.2487,-2561294.0472,5085915.7628,-2864052.7663,4.1188,-2.1308,-0.0414
SB07-11,35,473186.4883,7029580.3410,347.0612,-26.855140501,116.730091096,330.2603,-2561295.8823,5085914.0273,-2864054.2232,6.5385,-3.7579,-0.0298
SB08-01,153,473194.3128,7029583.6975,347.1410,-26.855110348,116.730169929,330.3402,-2561303.5910,5085911.9149,-2864051.2784,14.3735,-0.4167,0.0500
SB08-02,187,473196.2459,7029582.7229,347.1517,-26.855119184,116.730189368,330.3509,-2561305.1218,5085910.6594,-2864052.1567,16.3054,-1.3957,0.0607
SB08-03,242,473197.5909,7029583.8280,347.1944,-26.855109232,116.730202930,330.3936,-2561306.5669,5085910.5321,-2864051.1922,17.6534,-0.2930,0.1034
SB08-04,208,473197.3477,7029585.5908,347.1821,-26.855093312,116.730200520,330.3813,-2561306.7065,5085911.3417,-2864049.6128,17.4139,1.4710,0.0911
