#S10-2
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,469615.9017,7028628.2513,325.6376,-26.863665608,116.694124449,325.6376,-2557909.1853,5087135.8562,-2864894.8665
SB01-02,469612.8523,7028625.4482,325.6376,-26.863690849,116.694093683,325.6376,-2557905.8859,5087136.1005,-2864897.3617
SB01-03,469612.2300,7028627.1278,325.6376,-26.863675671,116.694087459,325.6376,-2557905.6747,5087137.0574,-2864895.8613
SB01-04,469608.8867,7028627.6011,325.6376,-26.863671326,116.694053814,325.6376,-2557902.7852,5087138.7538,-2864895.4318
SB01-05,469608.9963,7028625.6465,325.6376,-26.863688975,116.694054870,325.6376,-2557902.4820,5087137.9171,-2864897.1764
SB01-06,469610.9288,7028625.4079,325.6376,-26.863691172,116.694074318,325.6376,-2557904.1593,5087136.9506,-2864897.3936
SB01-07,469610.1257,7028622.5974,325.6376,-26.863716529,116.694066165,325.6376,-2557902.8651,5087136.1803,-2864899.9001
SB01-08,469612.0147,7028623.8107,325.6376,-26.863705616,116.694085211,325.6376,-2557904.8016,5087135.8182,-2864898.8213
SB01-09,469613.3574,7028622.2739,325.6376,-26.863719520,116.694098691,325.6376,-2557905.6857,5087134.5944,-2864900.1958
SB01-10,469614.5349,7028625.8610,325.6376,-26.863687159,116.694110631,325.6376,-2557907.4737,5087135.5090,-2864896.9969
SB02-01,469613.6747,7028631.7543,325.6376,-26.863633932,116.694102115,325.6376,-2557907.9148,5087138.2702,-2864891.7354
SB02-02,469613.0145,7028634.0982,325.6376,-26.863612755,116.694095526,325.6376,-2557907.8061,5087139.5117,-2864889.6421
SB02-03,469611.8813,7028631.4691,325.6376,-26.863636468,116.694084054,325.6376,-2557906.2542,5087138.9631,-2864891.9861
SB02-04,469610.5523,7028634.3574,325.6376,-26.863610362,116.694070746,325.6376,-2557905.6598,5087140.7250,-2864889.4055
SB02-05,469608.7983,7028634.3203,325.6376,-26.863610658,116.694053087,325.6376,-2557904.0853,5087141.5001,-2864889.4349
SB02-06,469609.7424,7028631.9851,325.6376,-26.863631763,116.694062535,325.6376,-2557904.4494,5087140.1343,-2864891.5210
