#S8-4
#Lat: -26.855578807
#Lon: 116.730120019
#HAE: 330.2676
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,473175.1384,7029544.9470,347.0532,-26.855459844,116.729976087,330.2519,-2561278.4802,5085904.8850,-2864085.7885,-14.3049,13.1819,-0.0158
SB01-02,189,473179.1726,7029543.8529,347.0321,-26.855469800,116.730016673,330.2307,-2561281.8502,5085902.6088,-2864086.7632,-10.2712,12.0787,-0.0369
SB01-03,155,473178.0556,7029542.4333,347.0300,-26.855482596,116.730005398,330.2287,-2561280.5605,5085902.5391,-2864088.0272,-11.3918,10.6609,-0.0390
SB01-04,121,473179.4503,7029539.3892,347.0274,-26.855510107,116.730019373,330.2260,-2561281.1805,5085900.6823,-2864090.7456,-10.0029,7.6125,-0.0416
SB01-05,100,473181.0679,7029540.5089,347.0099,-26.855500029,116.730035680,330.2085,-2561282.8479,5085900.3900,-2864089.7414,-8.3822,8.7292,-0.0591
SB01-06,134,473180.2173,7029542.2502,347.0493,-26.855484291,116.730027155,330.2480,-2561282.4613,5085901.5061,-2864088.2035,-9.2295,10.4731,-0.0197
SB01-07,113,473183.0284,7029543.0543,347.0676,-26.855477085,116.730055469,330.2662,-2561285.1442,5085900.5771,-2864087.4993,-6.4154,11.2716,-0.0014
SB01-08,168,473180.9967,7029544.0448,347.0394,-26.855468103,116.730035038,330.2380,-2561283.5216,5085901.8695,-2864086.5987,-8.4459,12.2668,-0.0296
SB01-09,202,473181.5795,7029546.0187,347.0357,-26.855450292,116.730040948,330.2344,-2561284.4457,5085902.3987,-2864084.8363,-7.8586,14.2404,-0.0333
SB01-10,223,473177.8788,7029545.0684,347.0266,-26.855458801,116.730003675,330.2252,-2561280.9419,5085903.6772,-2864085.6734,-11.5630,13.2975,-0.0424
SB02-01,231,473173.3905,7029541.1867,347.0053,-26.855493761,116.729958412,330.2039,-2561276.1284,5085904.1206,-2864089.1198,-16.0616,9.4237,-0.0637
SB02-02,203,473171.7236,7029539.4174,347.0472,-26.855509704,116.729941595,330.2458,-2561274.2935,5085904.1930,-2864090.7148,-17.7330,7.6571,-0.0218
SB02-03,197,473174.5838,7029539.8403,347.0394,-26.855505941,116.729970396,330.2380,-2561276.9316,5085903.0675,-2864090.3392,-14.8705,8.0741,-0.0296
SB02-04,218,473172.8386,7029537.1804,347.0132,-26.855529923,116.729952771,330.2117,-2561274.8167,5085902.7623,-2864092.6981,-16.6222,5.4167,-0.0559
SB02-05,184,473173.7861,7029535.7607,347.0230,-26.855542759,116.729962279,330.2216,-2561275.3756,5085901.7713,-2864093.9715,-15.6773,3.9944,-0.0460
SB02-06,163,473175.2602,7029537.7705,347.0392,-26.855524642,116.729977160,330.2378,-2561277.1109,5085901.9289,-2864092.1878,-14.1982,6.0019,-0.0299
SB02-07,129,473176.7235,7029536.3492,347.0227,-26.855537502,116.729991860,330.2213,-2561278.1196,5085900.6837,-2864093.4516,-12.7373,4.5770,-0.0464
SB02-08,108,473177.7749,7029537.8318,347.0051,-26.855524136,116.730002474,330.2037,-2561279.3557,5085900.7928,-2864092.1224,-11.6824,6.0580,-0.0639
SB02-09,142,473177.4941,7029539.6239,347.0289,-26.855507950,116.729999687,330.2275,-2561279.4822,5085901.6599,-2864090.5331,-11.9594,7.8514,-0.0402
SB02-10,176,473175.8245,7029541.2009,347.0323,-26.855493680,116.729982913,330.2309,-2561278.3160,5085903.0505,-2864089.1240,-13.6265,9.4327,-0.0367
SB02-11,210,473176.4079,7029543.5909,347.0428,-26.855472113,116.729988837,330.2415,-2561279.3316,5085903.7583,-2864086.9967,-13.0377,11.8225,-0.0262
SB03-01,239,473171.7577,7029535.0940,347.0437,-26.855548739,116.729941845,330.2422,-2561273.4354,5085902.4338,-2864094.5720,-17.7080,3.3317,-0.0254
SB03-02,205,473173.1693,7029533.8761,347.0135,-26.855559763,116.729956029,330.2120,-2561274.4341,5085901.2828,-2864095.6481,-16.2984,2.1103,-0.0557
SB03-03,226,473170.5034,7029531.3179,347.0248,-26.855582809,116.729929139,330.2233,-2561271.5329,5085901.4636,-2864097.9314,-18.9709,-0.4434,-0.0443
SB03-04,171,473173.9770,7029531.8028,347.0244,-26.855578497,116.729964115,330.2229,-2561274.7345,5085900.0925,-2864097.5050,-15.4948,0.0344,-0.0447
SB03-05,192,473172.3242,7029531.0699,347.0243,-26.855585083,116.729947462,330.2228,-2561273.1079,5085900.5425,-2864098.1560,-17.1499,-0.6953,-0.0448
SB03-06,158,473175.5841,7029528.7521,347.0227,-26.855606072,116.729980227,330.2212,-2561275.5432,5085898.1381,-2864100.2302,-13.8934,-3.0211,-0.0464
SB03-07,137,473175.7400,7029531.7042,347.0167,-26.855579421,116.729981860,330.2152,-2561276.2857,5085899.2518,-2864097.5929,-13.7312,-0.0680,-0.0524
SB03-08,124,473177.2567,7029527.8042,347.0247,-26.855614662,116.729997043,330.2232,-2561276.8433,5085897.0039,-2864101.0803,-12.2221,-3.9729,-0.0444
