#S10-3
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,469650.2845,7028644.7471,325.6376,-26.863517422,116.694470975,325.6376,-2557943.2855,5087127.0147,-2864880.2185
SB01-02,469650.4066,7028640.6069,325.6376,-26.863554805,116.694472104,325.6376,-2557942.5449,5087125.2920,-2864883.9138
SB01-03,469648.7296,7028641.2362,325.6376,-26.863549087,116.694455237,325.6376,-2557941.1760,5087126.3008,-2864883.3485
SB01-04,469646.1829,7028639.0190,325.6376,-26.863569050,116.694429546,325.6376,-2557938.4459,5087126.5547,-2864885.3219
SB01-05,469647.7321,7028637.8221,325.6376,-26.863579889,116.694445112,325.6376,-2557939.5842,5087125.3749,-2864886.3933
SB01-06,469649.1777,7028639.1266,325.6376,-26.863568143,116.694459697,325.6376,-2557941.1433,5087125.2492,-2864885.2323
SB01-07,469650.7762,7028636.6794,325.6376,-26.863590272,116.694475729,325.6376,-2557942.0690,5087123.5436,-2864887.4197
SB01-08,469651.0959,7028638.9016,325.6376,-26.863570216,116.694479001,325.6376,-2557942.8107,5087124.2946,-2864885.4372
SB01-09,469653.1367,7028638.9103,325.6376,-26.863570182,116.694499546,325.6376,-2557944.6355,5087123.3790,-2864885.4338
SB01-10,469651.1962,7028642.1489,325.6376,-26.863540899,116.694480090,325.6376,-2557943.5668,5087125.5575,-2864882.5392
SB02-01,469646.1786,7028645.3573,325.6376,-26.863511823,116.694429656,325.6376,-2557939.7429,5087129.1098,-2864879.6650
SB02-02,469643.9747,7028646.3930,325.6376,-26.863502424,116.694407495,325.6376,-2557937.9867,5087130.5196,-2864878.7360
SB02-03,469645.2199,7028643.8150,325.6376,-26.863525727,116.694419969,325.6376,-2557938.5700,5087128.9203,-2864881.0394
SB02-04,469642.1667,7028644.7016,325.6376,-26.863517656,116.694389254,325.6376,-2557936.0245,5087130.6526,-2864880.2416
SB02-05,469641.0463,7028643.3515,325.6376,-26.863529821,116.694377942,325.6376,-2557934.7465,5087130.6134,-2864881.4441
SB02-06,469643.4296,7028642.5362,325.6376,-26.863537234,116.694401914,325.6376,-2557936.7082,5087129.2116,-2864882.1769
SB02-07,469642.4947,7028640.7588,325.6376,-26.863553262,116.694392460,325.6376,-2557935.5083,5087128.9167,-2864883.7612
SB02-08,469644.2092,7028640.1837,325.6376,-26.863558491,116.694409705,325.6376,-2557936.9218,5087127.9129,-2864884.2781
SB02-09,469645.8880,7028640.9476,325.6376,-26.863551631,116.694426624,325.6376,-2557938.5783,5087127.4644,-2864883.6000
SB02-10,469646.8904,7028642.9940,325.6376,-26.863533176,116.694436765,325.6376,-2557939.8938,5087127.8372,-2864881.7758
SB02-11,469649.3306,7028643.1667,325.6376,-26.863531670,116.694461334,325.6376,-2557942.1091,5087126.8077,-2864881.6269
SB03-01,469639.8732,7028645.1158,325.6376,-26.863513866,116.694366175,325.6376,-2557934.0607,5087131.8524,-2864879.8670
SB03-02,469639.0932,7028643.4445,325.6376,-26.863528939,116.694358283,325.6376,-2557933.0209,5087131.5305,-2864881.3569
SB03-03,469635.9028,7028645.1898,325.6376,-26.863513112,116.694326208,325.6376,-2557930.5290,5087133.6705,-2864879.7924
SB03-04,469637.3545,7028642.0610,325.6376,-26.863541392,116.694340746,325.6376,-2557931.1837,5087131.7564,-2864882.5879
SB03-05,469636.1799,7028643.3734,325.6376,-26.863529517,116.694328953,325.6376,-2557930.4038,5087132.8140,-2864881.4141
SB03-06,469634.9256,7028639.6107,325.6376,-26.863563462,116.694316235,325.6376,-2557928.5110,5087131.8634,-2864884.7696
SB03-07,469637.7614,7028640.3193,325.6376,-26.863557126,116.694344800,325.6376,-2557931.1897,5087130.8716,-2864884.1433
SB03-08,469634.4812,7028637.7064,325.6376,-26.863580646,116.694311715,325.6376,-2557927.7232,5087131.2965,-2864886.4681
SB03-09,469636.9388,7028638.4019,325.6376,-26.863574419,116.694336473,325.6376,-2557930.0614,5087130.4697,-2864885.8527
SB03-10,469639.3997,7028639.3719,325.6376,-26.863565716,116.694361269,325.6376,-2557932.4588,5087129.7521,-2864884.9923
SB03-11,469640.6826,7028641.5920,325.6376,-26.863545699,116.694374238,325.6376,-2557934.0605,5087130.0685,-2864883.0137
SB04-01,469642.5587,7028637.7966,325.6376,-26.863580007,116.694393032,325.6376,-2557934.9575,5087127.6947,-2864886.4050
SB04-02,469641.2649,7028639.0924,325.6376,-26.863568279,116.694380039,325.6376,-2557934.0677,5087128.7994,-2864885.2457
SB04-03,469638.6398,7028637.5764,325.6376,-26.863581910,116.694353576,325.6376,-2557931.4115,5087129.3711,-2864886.5931
SB04-04,469640.0138,7028636.3113,325.6376,-26.863593362,116.694367377,325.6376,-2557932.3793,5087128.2427,-2864887.7251
SB04-05,469639.7527,7028634.5009,325.6376,-26.863609702,116.694364705,325.6376,-2557931.7745,5087127.6310,-2864889.3403
SB04-06,469640.2009,7028632.6911,325.6376,-26.863626052,116.694369172,325.6376,-2557931.8034,5087126.7002,-2864890.9565
SB04-07,469641.9292,7028635.5284,325.6376,-26.863600473,116.694386640,325.6376,-2557933.9296,5087127.0646,-2864888.4280
SB04-08,469642.3823,7028632.6020,325.6376,-26.863626903,116.694391131,325.6376,-2557933.7338,5087125.6818,-2864891.0406
SB04-09,469643.7008,7028635.8240,325.6376,-26.863597842,116.694404482,325.6376,-2557935.5729,5087126.3857,-2864888.1680
SB04-10,469645.5623,7028635.9079,325.6376,-26.863597125,116.694423223,325.6376,-2557937.2531,5087125.5811,-2864888.0971
SB04-11,469644.4445,7028638.0160,325.6376,-26.863578068,116.694412022,325.6376,-2557936.6872,5087126.9337,-2864886.2133
SB05-01,469648.3540,7028636.0247,325.6376,-26.863596131,116.694451330,325.6376,-2557939.7709,5087124.3708,-2864887.9988
SB05-02,469646.0797,7028634.2052,325.6376,-26.863612509,116.694428390,325.6376,-2557937.3658,5087124.6622,-2864889.6178
SB05-03,469644.1938,7028633.7376,325.6376,-26.863616690,116.694409394,325.6376,-2557935.5851,5087125.3233,-2864890.0311
SB05-04,469645.4073,7028632.3734,325.6376,-26.863629033,116.694421577,325.6376,-2557936.3892,5087124.2273,-2864891.2512
SB05-05,469645.3304,7028629.6250,325.6376,-26.863653846,116.694420736,325.6376,-2557935.7564,5087123.1548,-2864893.7039
SB05-06,469647.1636,7028629.4115,325.6376,-26.863655813,116.694439185,325.6376,-2557937.3502,5087122.2432,-2864893.8984
SB05-07,469647.5068,7028632.1255,325.6376,-26.863631317,116.694442707,325.6376,-2557938.2138,5087123.1818,-2864891.4769
SB05-08,469648.0974,7028633.8430,325.6376,-26.863615823,116.694448693,325.6376,-2557939.0939,5087123.6076,-2864889.9454
SB05-09,469650.8789,7028632.5594,325.6376,-26.863627473,116.694476664,325.6376,-2557941.3153,5087121.8377,-2864891.0969
SB05-10,469649.8846,7028634.0342,325.6376,-26.863614136,116.694466689,325.6376,-2557940.7296,5087122.8796,-2864889.7786
SB06-01,469632.8995,7028642.3467,325.6376,-26.863538715,116.694295905,325.6376,-2557927.2627,5087133.8780,-2864882.3233
SB06-02,469633.8619,7028644.4824,325.6376,-26.863519454,116.694305645,325.6376,-2557928.5607,5087134.3048,-2864880.4194
SB06-03,469630.7581,7028641.4428,325.6376,-26.863546830,116.694274326,325.6376,-2557925.1641,5087134.4784,-2864883.1255
SB06-04,469628.1129,7028640.3550,325.6376,-26.863556594,116.694247671,325.6376,-2557922.5779,5087135.2316,-2864884.0906
SB06-05,469628.3587,7028638.6513,325.6376,-26.863571981,116.694250104,325.6376,-2557922.4478,5087134.4347,-2864885.6117
SB06-06,469631.4957,7028639.8690,325.6376,-26.863561055,116.694281713,325.6376,-2557925.5001,5087133.5122,-2864884.5316
SB06-07,469630.4468,7028638.2625,325.6376,-26.863575537,116.694271115,325.6376,-2557924.2334,5087133.3376,-2864885.9631
SB06-08,469631.7492,7028635.7462,325.6376,-26.863598284,116.694284165,325.6376,-2557924.8804,5087131.7374,-2864888.2117
SB06-09,469633.4646,7028635.9653,325.6376,-26.863596343,116.694301439,325.6376,-2557926.4577,5087131.0531,-2864888.0198
SB06-10,469632.2797,7028638.2153,325.6376,-26.863576004,116.694289566,325.6376,-2557925.8611,5087132.4930,-2864886.0092
SB06-11,469633.4122,7028640.6305,325.6376,-26.863554222,116.694301024,325.6376,-2557927.3684,5087132.9558,-2864883.8561
SB07-01,469636.9933,7028635.4672,325.6376,-26.863600917,116.694336949,325.6376,-2557929.5077,5087129.2631,-2864888.4719
SB07-02,469635.3203,7028636.0605,325.6376,-26.863595524,116.694320122,325.6376,-2557928.1350,5087130.2556,-2864887.9388
SB07-03,469636.3494,7028633.3650,325.6376,-26.863619883,116.694330416,325.6376,-2557928.5011,5087128.7063,-2864890.3467
SB07-04,469633.6521,7028633.7771,325.6376,-26.863616104,116.694303273,325.6376,-2557926.1761,5087130.0872,-2864889.9732
SB07-05,469632.9452,7028631.2228,325.6376,-26.863639150,116.694296096,325.6376,-2557925.0205,5087129.3767,-2864892.2513
SB07-06,469635.4353,7028631.3163,325.6376,-26.863638361,116.694321165,325.6376,-2557927.2641,5087128.2928,-2864892.1732
