#S9-4
#Lat: -26.880352982
#Lon: 116.747231719
#HAE: 333.2128
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,474875.6812,7026788.0058,349.9200,-26.880383026,116.747038650,333.0839,-2562232.3671,5084029.6200,-2866550.6170,-19.1843,-3.3291,-0.1289
SB01-02,189,474878.9939,7026790.5433,349.9766,-26.880360175,116.747072054,333.1406,-2562235.8691,5084029.1936,-2866548.3842,-15.8651,-0.7971,-0.0722
SB01-03,155,474879.4503,7026788.8198,349.9831,-26.880375744,116.747076615,333.1471,-2562235.9254,5084028.2983,-2866549.9258,-15.4119,-2.5222,-0.0657
SB01-04,121,474882.7630,7026788.0017,350.0213,-26.880383190,116.747109952,333.1853,-2562238.7309,5084026.5048,-2866550.6790,-12.0994,-3.3472,-0.0275
SB01-05,100,474882.8134,7026789.9642,350.0176,-26.880365472,116.747110499,333.1816,-2562239.1775,5084027.2700,-2866548.9263,-12.0450,-1.3840,-0.0312
SB01-06,134,474880.8971,7026790.3612,349.9804,-26.880361853,116.747091213,333.1444,-2562237.5328,5084028.2648,-2866548.5518,-13.9614,-0.9830,-0.0684
SB01-07,113,474881.9647,7026793.0855,349.9675,-26.880337276,116.747102016,333.1315,-2562239.0404,5084028.8709,-2866546.1169,-12.8879,1.7403,-0.0813
SB01-08,168,474879.9889,7026792.0743,349.9778,-26.880346370,116.747082102,333.1418,-2562237.0725,5084029.3628,-2866547.0203,-14.8667,0.7326,-0.0710
SB01-09,202,474878.7731,7026793.7220,349.9571,-26.880331472,116.747069895,333.1211,-2562236.3169,5084030.5588,-2866545.5385,-16.0796,2.3835,-0.0917
SB01-10,223,474877.2804,7026790.2487,349.9387,-26.880362804,116.747054796,333.1027,-2562234.2633,5084029.8175,-2866548.6268,-17.5799,-1.0883,-0.1102
SB02-01,231,474877.6037,7026784.3239,349.9457,-26.880416303,116.747057932,333.1096,-2562233.3380,5084027.2893,-2866553.9175,-17.2683,-7.0164,-0.1032
SB02-02,203,474878.0509,7026781.9298,349.9486,-26.880437927,116.747062386,333.1125,-2562233.2469,5084026.1251,-2866556.0561,-16.8257,-9.4125,-0.1003
SB02-03,197,474879.3771,7026784.4075,349.9752,-26.880415580,116.747075789,333.1391,-2562234.9507,5084026.5466,-2866553.8594,-15.4940,-6.9363,-0.0737
SB02-04,218,474880.4604,7026781.4613,349.9647,-26.880442200,116.747086636,333.1286,-2562235.3088,5084024.8622,-2866556.4857,-14.4161,-9.8860,-0.0842
SB02-05,184,474882.2583,7026781.2959,349.9682,-26.880443726,116.747104736,333.1321,-2562236.8818,5084023.9874,-2866556.6381,-12.6177,-10.0551,-0.0807
