#S9-2
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,474916.9870,7026761.6542,333.2376,-26.880623886,116.747452372,333.2376,-2562263.7086,5084000.4650,-2866574.4920
SB01-02,474916.2528,7026757.5778,333.2376,-26.880660677,116.747444898,333.2376,-2562262.2159,5083999.1533,-2866578.1282
SB01-03,474914.7416,7026758.5393,333.2376,-26.880651968,116.747429702,333.2376,-2562261.0639,5084000.2225,-2866577.2675
SB01-04,474911.7925,7026756.8949,333.2376,-26.880666762,116.747399975,333.2376,-2562258.0926,5084000.8900,-2866578.7296
SB01-05,474913.0615,7026755.4044,333.2376,-26.880680243,116.747412723,333.2376,-2562258.9198,5083999.7168,-2866580.0620
SB01-06,474914.7451,7026756.3827,333.2376,-26.880671440,116.747429693,333.2376,-2562260.6241,5083999.3517,-2866579.1920
SB01-07,474915.8046,7026753.6585,333.2376,-26.880696055,116.747440306,333.2376,-2562261.0108,5083997.7759,-2866581.6248
SB01-08,474916.5756,7026755.7670,333.2376,-26.880677032,116.747448112,333.2376,-2562262.1323,5083998.2778,-2866579.7446
SB01-09,474918.5744,7026755.3547,333.2376,-26.880680791,116.747468227,333.2376,-2562263.8325,5083997.2101,-2866580.1161
SB01-10,474917.3434,7026758.9239,333.2376,-26.880648544,116.747455905,333.2376,-2562263.4662,5083999.2039,-2866576.9290
SB02-01,474913.0952,7026763.0980,333.2376,-26.880610780,116.747413216,333.2376,-2562260.5298,5084002.8024,-2866573.1967
SB02-02,474911.1522,7026764.5658,333.2376,-26.880597493,116.747393683,333.2376,-2562259.0962,5084004.2704,-2866571.8834
SB02-03,474911.8392,7026761.7865,333.2376,-26.880622599,116.747400544,333.2376,-2562259.1388,5084002.8404,-2866574.3647
SB02-04,474909.0344,7026763.2836,333.2376,-26.880609031,116.747372334,333.2376,-2562256.9416,5084004.7089,-2866573.0238
SB02-05,474907.6596,7026762.1936,333.2376,-26.880618848,116.747358471,333.2376,-2562255.4902,5084004.8897,-2866573.9940
SB02-06,474909.8235,7026760.9043,333.2376,-26.880630527,116.747380232,333.2376,-2562257.1578,5084003.3940,-2866575.1483
SB02-07,474908.5423,7026759.3578,333.2376,-26.880644467,116.747367301,333.2376,-2562255.6960,5084003.3486,-2866576.5261
SB02-08,474910.1013,7026758.4416,333.2376,-26.880652767,116.747382979,333.2376,-2562256.9001,5084002.2761,-2866577.3464
SB02-09,474911.9015,7026758.8429,333.2376,-26.880649177,116.747401112,333.2376,-2562258.5900,5084001.6259,-2866576.9916
SB02-10,474913.3044,7026760.6386,333.2376,-26.880632989,116.747415274,333.2376,-2562260.2116,5084001.7168,-2866575.3916
SB02-11,474915.7278,7026760.3044,333.2376,-26.880636050,116.747439666,333.2376,-2562262.3070,5084000.4890,-2866575.6942
SB03-01,474906.8756,7026764.1618,333.2376,-26.880601063,116.747350616,333.2376,-2562255.1942,5084006.0366,-2866572.2363
SB03-02,474905.7677,7026762.6873,333.2376,-26.880614357,116.747339432,333.2376,-2562253.9020,5084005.9420,-2866573.5501
SB03-03,474903.0057,7026765.0529,333.2376,-26.880592948,116.747311671,333.2376,-2562251.9215,5084008.1413,-2866571.4342
SB03-04,474903.7810,7026761.6921,333.2376,-26.880623306,116.747319409,333.2376,-2562251.9236,5084006.4370,-2866574.4347
SB03-05,474902.9023,7026763.2184,333.2376,-26.880609509,116.747310593,333.2376,-2562251.4524,5084007.4485,-2866573.0711
SB03-06,474900.8991,7026759.7952,333.2376,-26.880640380,116.747290355,333.2376,-2562248.9606,5084006.9725,-2866576.1222
SB03-07,474903.8200,7026759.9038,333.2376,-26.880639452,116.747319766,333.2376,-2562251.5912,5084005.6987,-2866576.0305
SB03-08,474900.0716,7026758.0235,333.2376,-26.880656361,116.747281987,333.2376,-2562247.8578,5084006.6317,-2866577.7017
SB03-09,474902.6198,7026758.1973,333.2376,-26.880654838,116.747307648,333.2376,-2562250.1690,5084005.5523,-2866577.5511
SB03-10,474905.2278,7026758.6390,333.2376,-26.880650897,116.747333915,333.2376,-2562252.5886,5084004.5539,-2866577.1616
SB03-11,474906.9409,7026760.5468,333.2376,-26.880633703,116.747351202,333.2376,-2562254.5102,5084004.5501,-2866575.4623
SB04-01,474907.9941,7026756.4461,333.2376,-26.880670746,116.747361723,333.2376,-2562254.6086,5084002.4224,-2866579.1234
SB04-02,474906.9953,7026757.9809,333.2376,-26.880656871,116.747351697,333.2376,-2562254.0318,5084003.4915,-2866577.7520
SB04-03,474904.1140,7026757.0388,333.2376,-26.880665325,116.747322668,333.2376,-2562251.2654,5084004.4114,-2866578.5876
SB04-04,474905.1976,7026755.5176,333.2376,-26.880679079,116.747333548,333.2376,-2562251.9207,5084003.3095,-2866579.9470
SB04-05,474904.5688,7026753.7998,333.2376,-26.880694577,116.747327182,333.2376,-2562251.0064,5084002.9008,-2866581.4787
SB04-06,474904.6341,7026751.9366,333.2376,-26.880711401,116.747327803,333.2376,-2562250.6821,5084002.1204,-2866583.1415
SB04-07,474906.9104,7026754.3565,333.2376,-26.880689593,116.747350770,333.2376,-2562253.2117,5084002.0690,-2866580.9861
SB04-08,474906.7504,7026751.3996,333.2376,-26.880716287,116.747349099,333.2376,-2562252.4616,5084000.9494,-2866583.6244
SB04-09,474908.7048,7026754.2804,333.2376,-26.880690312,116.747368835,333.2376,-2562254.7985,5084001.2289,-2866581.0572
SB04-10,474910.5437,7026753.9787,333.2376,-26.880693069,116.747387344,333.2376,-2562256.3786,5084000.2779,-2866581.3297
SB04-11,474909.8846,7026756.2719,333.2376,-26.880672353,116.747380754,333.2376,-2562256.2610,5084001.4994,-2866579.2821
SB05-01,474913.2995,7026753.5173,333.2376,-26.880697285,116.747415081,333.2376,-2562258.7448,5083998.8489,-2866581.7463
SB05-02,474910.6988,7026752.2059,333.2376,-26.880709078,116.747388870,333.2376,-2562256.1531,5083999.4934,-2866582.9119
SB05-03,474908.7571,7026752.1372,333.2376,-26.880709663,116.747369318,333.2376,-2562254.4050,5084000.3416,-2866582.9697
SB05-04,474909.6632,7026750.5521,333.2376,-26.880723991,116.747378409,333.2376,-2562254.8886,5083999.2940,-2866584.3858
SB05-05,474909.0212,7026747.8786,333.2376,-26.880748118,116.747371892,333.2376,-2562253.7663,5083998.5061,-2866586.7704
SB05-06,474910.7709,7026747.2918,333.2376,-26.880753448,116.747389497,333.2376,-2562255.2083,5083997.4803,-2866587.2971
SB05-07,474911.6665,7026749.8766,333.2376,-26.880730126,116.747398566,333.2376,-2562256.5388,5083998.1182,-2866584.9921
SB05-08,474912.5985,7026751.4354,333.2376,-26.880716069,116.747407981,333.2376,-2562257.6912,5083998.3260,-2866583.6028
SB05-09,474915.0556,7026749.6059,333.2376,-26.880732631,116.747432683,333.2376,-2562259.5097,5083996.4803,-2866585.2398
SB05-10,474914.3867,7026751.2540,333.2376,-26.880717739,116.747425982,333.2376,-2562259.2508,5083997.4463,-2866583.7679
SB06-01,474899.4807,7026762.8903,333.2376,-26.880612411,116.747276136,333.2376,-2562248.3296,5084008.8596,-2866573.3578
SB06-02,474900.8628,7026764.7816,333.2376,-26.880595359,116.747290089,333.2376,-2562249.9521,5084008.9985,-2866571.6725
SB06-03,474897.1989,7026762.4473,333.2376,-26.880616369,116.747253153,333.2376,-2562246.2010,5084009.7103,-2866573.7490
SB06-04,474894.3863,7026761.9283,333.2376,-26.880621004,116.747224824,333.2376,-2562243.5827,5084010.7699,-2866574.2071
SB06-05,474894.2755,7026760.2106,333.2376,-26.880636511,116.747223674,333.2376,-2562243.1311,5084010.1275,-2866575.7398
SB06-06,474897.5962,7026760.7553,333.2376,-26.880631653,116.747257119,333.2376,-2562246.2083,5084008.8492,-2866575.2596
SB06-07,474896.2385,7026759.3996,333.2376,-26.880643869,116.747243422,333.2376,-2562244.7175,5084008.9152,-2866576.4669
SB06-08,474896.9941,7026756.6688,333.2376,-26.880668538,116.747250975,333.2376,-2562244.8314,5084007.4738,-2866578.9051
SB06-09,474898.7178,7026756.5295,333.2376,-26.880669827,116.747268327,333.2376,-2562246.3420,5084006.6402,-2866579.0325
SB06-10,474898.0223,7026758.9754,333.2376,-26.880647731,116.747261374,333.2376,-2562246.2233,5084007.9396,-2866576.8486
SB06-11,474899.6285,7026761.1052,333.2376,-26.880628530,116.747277588,333.2376,-2562248.0949,5084008.0736,-2866574.9509
SB07-01,474902.0679,7026755.3145,333.2376,-26.880680857,116.747302033,333.2376,-2562249.0841,5084004.6393,-2866580.1227
SB07-02,474900.5532,7026756.2400,333.2376,-26.880672473,116.747286801,333.2376,-2562247.9216,5084005.6956,-2866579.2941
SB07-03,474901.0044,7026753.3902,333.2376,-26.880698211,116.747291286,333.2376,-2562247.7393,5084004.3435,-2866581.8379
SB07-04,474898.4501,7026754.3496,333.2376,-26.880689503,116.747265588,333.2376,-2562245.6553,5084005.8823,-2866580.9772
SB07-05,474897.2317,7026751.9960,333.2376,-26.880710731,116.747253273,333.2376,-2562244.0840,5084005.4833,-2866583.0753
SB07-06,474899.6875,7026751.5740,333.2376,-26.880714585,116.747277991,333.2376,-2562246.1903,5084004.2055,-2866583.4562
SB07-07,474899.5297,7026749.7559,333.2376,-26.880730997,116.747276366,333.2376,-2562245.6761,5084003.5439,-2866585.0783
SB07-08,474902.4835,7026748.4046,333.2376,-26.880743251,116.747306078,333.2376,-2562248.0362,5084001.6670,-2866586.2893
SB07-09,474901.7020,7026751.3337,333.2376,-26.880716791,116.747298268,333.2376,-2562247.9399,5084003.2000,-2866583.6742
SB07-10,474903.5325,7026750.5854,333.2376,-26.880723580,116.747316684,333.2376,-2562249.4208,5084002.0728,-2866584.3452
SB07-11,474902.8412,7026753.4124,333.2376,-26.880698043,116.747309780,333.2376,-2562249.3841,5084003.5240,-2866581.8213
SB08-01,474894.8181,7026756.2439,333.2376,-26.880672334,116.747229058,333.2376,-2562242.8010,5084008.2840,-2866579.2803
