#S8-6
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,473181.6307,7029564.7240,330.3376,-26.855283606,116.730040232,330.3376,-2561288.1764,5085909.9649,-2864068.4051
SB01-02,473179.4180,7029568.2255,330.3376,-26.855251950,116.730018033,330.3376,-2561286.9187,5085912.3725,-2864065.2756
SB01-03,473181.1818,7029568.5375,330.3376,-26.855249167,116.730035795,330.3376,-2561288.5579,5085911.7029,-2864065.0005
SB01-04,473182.2452,7029571.7423,330.3376,-26.855220252,116.730046568,330.3376,-2561290.1652,5085912.5140,-2864062.1421
SB01-05,473180.3025,7029571.9839,330.3376,-26.855218034,116.730027018,330.3376,-2561288.4798,5085913.4872,-2864061.9228
SB01-06,473179.7222,7029570.1252,330.3376,-26.855234804,116.730021136,330.3376,-2561287.5802,5085913.0003,-2864063.5806
SB01-07,473177.1007,7029571.4179,330.3376,-26.855223082,116.729994775,330.3376,-2561285.5041,5085914.7028,-2864062.4219
SB01-08,473177.9566,7029569.3424,330.3376,-26.855241837,116.730003347,330.3376,-2561285.8427,5085913.4811,-2864064.2759
SB01-09,473176.2045,7029568.2961,330.3376,-26.855251251,116.729985687,330.3376,-2561284.0632,5085913.8497,-2864065.2065
SB01-10,473179.5233,7029566.4962,330.3376,-26.855267565,116.730019057,330.3376,-2561286.6579,5085911.6287,-2864066.8193
SB02-01,473185.4754,7029566.2888,330.3376,-26.855269552,116.730078967,330.3376,-2561291.9312,5085908.8617,-2864067.0157
SB02-02,473187.8996,7029566.5192,330.3376,-26.855267518,116.730103374,330.3376,-2561294.1435,5085907.8615,-2864066.8146
SB02-03,473185.5154,7029568.1043,330.3376,-26.855253161,116.730079409,330.3376,-2561292.3394,5085909.5747,-2864065.3954
SB02-04,473188.5948,7029568.8954,330.3376,-26.855246078,116.730110423,330.3376,-2561295.2519,5085908.5049,-2864064.6951
SB02-05,473188.8719,7029570.6278,330.3376,-26.855230442,116.730113250,330.3376,-2561295.8549,5085909.0776,-2864063.1494
SB02-06,473186.4055,7029570.1164,330.3376,-26.855235011,116.730088412,330.3376,-2561293.5472,5085909.9837,-2864063.6011
SB02-07,473186.3054,7029572.1222,330.3376,-26.855216900,116.730087446,330.3376,-2561293.8693,5085910.8365,-2864061.8107
SB02-08,473184.5370,7029571.7444,330.3376,-26.855220276,116.730069637,330.3376,-2561292.2124,5085911.4817,-2864062.1445
SB02-09,473183.4808,7029570.2324,330.3376,-26.855233908,116.730058973,330.3376,-2561290.9589,5085911.3490,-2864063.4921
SB02-10,473183.6596,7029567.9607,330.3376,-26.855254422,116.730060725,330.3376,-2561290.6525,5085910.3535,-2864065.5201
