#S8-1
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB05-06,473136.2809,7029468.8472,330.1376,-26.856148375,116.729581677,330.1376,-2561227.9223,5085891.6425,-2864153.8024
SB05-07,473134.7390,7029466.5875,330.1376,-26.856168747,116.729566108,330.1376,-2561226.0816,5085891.4277,-2864155.8163
SB05-08,473133.4309,7029465.3276,330.1376,-26.856180097,116.729552913,330.1376,-2561224.6548,5085891.5101,-2864156.9383
SB05-09,473131.5394,7029467.7374,330.1376,-26.856158303,116.729533925,330.1376,-2561223.4600,5085893.3332,-2864154.7839
SB05-10,473131.7529,7029465.9716,330.1376,-26.856174250,116.729536035,330.1376,-2561223.2883,5085892.5260,-2864156.3603
SB06-01,473143.0864,7029450.8342,330.1376,-26.856311139,116.729649796,330.1376,-2561230.3043,5085881.3205,-2864169.8926
SB06-02,473141.2568,7029449.3714,330.1376,-26.856324311,116.729631348,330.1376,-2561228.3701,5085881.5563,-2864171.1947
SB06-03,473145.4045,7029450.6634,330.1376,-26.856312726,116.729673127,330.1376,-2561232.3396,5085880.2067,-2864170.0495
SB06-04,473148.2549,7029450.4268,330.1376,-26.856314917,116.729701814,330.1376,-2561234.8366,5085878.8263,-2864170.2661
SB06-05,473148.8121,7029452.0554,330.1376,-26.856300224,116.729707459,330.1376,-2561235.6685,5085879.2309,-2864168.8135
SB06-06,473145.4648,7029452.4004,330.1376,-26.856297044,116.729673771,330.1376,-2561232.7498,5085880.8790,-2864168.4992
SB06-07,473147.1304,7029453.3527,330.1376,-26.856288478,116.729690558,330.1376,-2561234.4327,5085880.5115,-2864167.6524
SB06-08,473147.1173,7029456.1861,330.1376,-26.856262896,116.729690487,330.1376,-2561235.0024,5085881.6584,-2864165.1235
SB06-09,473145.4904,7029456.7724,330.1376,-26.856257571,116.729674123,330.1376,-2561233.6698,5085882.6280,-2864164.5971
SB06-10,473145.5202,7029454.2298,330.1376,-26.856280529,116.729674368,330.1376,-2561233.1746,5085881.5907,-2864166.8666
SB06-11,473143.4119,7029452.5955,330.1376,-26.856295243,116.729653110,330.1376,-2561230.9564,5085881.8831,-2864168.3212
SB07-01,473142.5760,7029458.8233,330.1376,-26.856238998,116.729644830,330.1376,-2561231.4877,5085884.7678,-2864162.7611
SB07-02,473143.7951,7029457.5330,330.1376,-26.856250671,116.729657074,330.1376,-2561232.3117,5085883.6987,-2864163.9150
SB07-03,473144.1069,7029460.4014,330.1376,-26.856224779,116.729660274,330.1376,-2561233.1787,5085884.7132,-2864161.3554
SB07-04,473146.3203,7029458.8058,330.1376,-26.856239228,116.729682520,330.1376,-2561234.8281,5085883.0727,-2864162.7838
SB07-05,473148.1132,7029460.7577,330.1376,-26.856221640,116.729700609,330.1376,-2561236.8298,5085883.0505,-2864161.0451
SB07-06,473145.8539,7029461.8088,330.1376,-26.856212106,116.729677890,330.1376,-2561235.0277,5085884.4923,-2864160.1026
SB07-07,473146.4828,7029463.5219,330.1376,-26.856196651,116.729684258,330.1376,-2561235.9410,5085884.8986,-2864158.5748
SB07-08,473143.9867,7029465.6003,330.1376,-26.856177838,116.729659176,330.1376,-2561234.1381,5085886.8609,-2864156.7150
SB07-09,473143.9729,7029462.5689,330.1376,-26.856205208,116.729658972,330.1376,-2561233.5038,5085885.6464,-2864159.4207
SB07-10,473142.4026,7029463.7709,330.1376,-26.856194325,116.729643191,330.1376,-2561232.3480,5085886.8384,-2864158.3448
SB07-11,473142.3285,7029460.8615,330.1376,-26.856220591,116.729642382,330.1376,-2561231.6848,5085885.7002,-2864160.9414
SB08-01,473149.3285,7029456.0255,330.1376,-26.856264388,116.729712742,330.1376,-2561236.9443,5085880.5969,-2864165.2710
SB08-02,473149.5493,7029453.8822,330.1376,-26.856283744,116.729714919,330.1376,-2561236.7017,5085879.6342,-2864167.1844
SB08-03,473151.2143,7029453.3425,330.1376,-26.856288649,116.729731667,330.1376,-2561238.0779,5085878.6663,-2864167.6693
SB08-04,473152.5482,7029454.4950,330.1376,-26.856278269,116.729745119,330.1376,-2561239.5057,5085878.5290,-2864166.6432
SB08-05,473154.4625,7029454.7967,330.1376,-26.856275582,116.729764396,330.1376,-2561241.2773,5085877.7874,-2864166.3776
SB08-06,473151.8838,7029456.8820,330.1376,-26.856256705,116.729738482,330.1376,-2561239.4021,5085879.7898,-2864164.5114
SB08-07,473151.3550,7029458.5970,330.1376,-26.856241210,116.729733197,330.1376,-2561239.2818,5085880.7188,-2864162.9797
SB08-08,473149.6602,7029459.6460,330.1376,-26.856231707,116.729716159,330.1376,-2561237.9834,5085881.9053,-2864162.0402
SB08-09,473149.6575,7029457.8419,330.1376,-26.856247995,116.729716093,330.1376,-2561237.6108,5085881.1800,-2864163.6505
SB08-10,473148.1151,7029458.7620,330.1376,-26.856239659,116.729700586,330.1376,-2561236.4221,5085882.2459,-2864162.8263
