#S10-5
#Lat: -26.863191739
#Lon: 116.694000063
#HAE: 325.5160
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,469608.8876,7028661.8985,342.4146,-26.863359470,116.694056289,325.6029,-2557910.0056,5087152.5660,-2864864.5893,5.5877,-18.5858,0.0869
SB01-02,189,469605.9831,7028664.8188,342.4201,-26.863333040,116.694027120,325.6085,-2557908.0125,5087155.0550,-2864861.9793,2.6890,-15.6572,0.0925
SB01-03,155,469607.6512,7028665.5414,342.4093,-26.863326553,116.694043931,325.5977,-2557909.6466,5087154.5861,-2864861.3331,4.3596,-14.9384,0.0817
SB01-04,121,469608.0580,7028668.8702,342.3669,-26.863296507,116.694048107,325.5554,-2557910.6762,5087155.7100,-2864858.3439,4.7746,-11.6091,0.0393
SB01-05,100,469606.0976,7028668.7134,342.3637,-26.863297880,116.694028368,325.5522,-2557908.8915,5087156.5272,-2864858.4782,2.8129,-11.7612,0.0361
SB01-06,134,469605.9419,7028666.7303,342.4040,-26.863315782,116.694026752,325.5924,-2557908.3615,5087155.8306,-2864860.2659,2.6524,-13.7448,0.0764
SB01-07,113,469603.1009,7028667.4661,342.4026,-26.863309076,116.693998170,325.5910,-2557905.9740,5087157.4055,-2864859.6025,-0.1881,-13.0018,0.0749
SB01-08,168,469604.3569,7028665.6151,342.4227,-26.863325816,116.694010769,325.6111,-2557906.7242,5087156.1103,-2864861.2663,1.0640,-14.8566,0.0951
SB01-09,202,469602.8582,7028664.2205,342.3842,-26.863338374,116.693995648,325.5726,-2557905.0838,5087156.1928,-2864862.4902,-0.4387,-16.2482,0.0565
SB01-10,223,469606.4310,7028663.1532,342.4067,-26.863348088,116.694031589,325.5950,-2557908.0654,5087154.1716,-2864863.4606,3.1331,-17.3246,0.0790
SB02-01,231,469612.3551,7028664.1779,342.3794,-26.863338966,116.694091250,325.5677,-2557913.5568,5087151.8944,-2864862.5465,9.0622,-16.3138,0.0517
SB02-02,203,469614.6829,7028664.9266,342.3880,-26.863332257,116.694114703,325.5764,-2557915.7935,5087151.1544,-2864861.8873,11.3929,-15.5704,0.0603
SB02-03,197,469612.0284,7028665.9909,342.3782,-26.863322590,116.694088006,325.5666,-2557913.6366,5087152.7709,-2864860.9273,8.7398,-14.4993,0.0505
