#S8-4
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,473175.1675,7029544.9657,330.3376,-26.855461873,116.729974749,330.3376,-2561278.3502,5085904.9224,-2864086.0279
SB01-02,473179.1626,7029543.8721,330.3376,-26.855471824,116.730014941,330.3376,-2561281.6938,5085902.6809,-2864087.0116
SB01-03,473178.0704,7029542.4523,330.3376,-26.855484622,116.730003917,330.3376,-2561280.4271,5085902.6016,-2864088.2767
SB01-04,473179.4462,7029539.3686,330.3376,-26.855512489,116.730017699,330.3376,-2561281.0231,5085900.7396,-2864091.0316
SB01-05,473181.0436,7029540.5002,330.3376,-26.855502304,116.730033804,330.3376,-2561282.6819,5085900.4750,-2864090.0247
SB01-06,473180.2189,7029542.2640,330.3376,-26.855486363,116.730025539,330.3376,-2561282.3073,5085901.5571,-2864088.4488
SB01-07,473183.0264,7029543.0772,330.3376,-26.855479075,116.730053818,330.3376,-2561284.9815,5085900.6188,-2864087.7284
SB01-08,473180.9948,7029544.0326,330.3376,-26.855470410,116.730033388,330.3376,-2561283.3631,5085901.9195,-2864086.8718
SB01-09,473181.5832,7029545.9868,330.3376,-26.855452777,116.730039352,330.3376,-2561284.2895,5085902.4411,-2864085.1287
SB01-10,473177.9187,7029545.0780,330.3376,-26.855460912,116.730002446,330.3376,-2561280.8304,5085903.7273,-2864085.9329
SB02-01,473173.3835,7029541.2176,330.3376,-26.855495679,116.729956711,330.3376,-2561275.9879,5085904.2175,-2864089.3698
SB02-02,473171.7488,7029539.4129,330.3376,-26.855511942,116.729940217,330.3376,-2561274.1576,5085904.2277,-2864090.9776
SB02-03,473174.5781,7029539.8500,330.3376,-26.855508050,116.729968707,330.3376,-2561276.7742,5085903.1281,-2864090.5928
SB02-04,473172.8376,7029537.1894,330.3376,-26.855532038,116.729951129,330.3376,-2561274.6738,5085902.8414,-2864092.9642
SB02-05,473173.8011,7029535.7232,330.3376,-26.855545294,116.729960797,330.3376,-2561275.2335,5085901.8166,-2864094.2746
SB02-06,473175.2776,7029537.7639,330.3376,-26.855526898,116.729975703,330.3376,-2561276.9709,5085901.9727,-2864092.4560
SB02-07,473176.7041,7029536.3503,330.3376,-26.855539688,116.729990032,330.3376,-2561277.9548,5085900.7604,-2864093.7204
SB02-08,473177.7553,7029537.8217,330.3376,-26.855526424,116.730000645,330.3376,-2561279.1955,5085900.8790,-2864092.4091
SB02-09,473177.5156,7029539.6505,330.3376,-26.855509908,116.729998272,330.3376,-2561279.3567,5085901.7234,-2864090.7765
SB02-10,473175.8517,7029541.2074,330.3376,-26.855495818,116.729981556,330.3376,-2561278.1902,5085903.1006,-2864089.3836
SB02-11,473176.4000,7029543.5915,330.3376,-26.855474304,116.729987126,330.3376,-2561279.1690,5085903.8134,-2864087.2568
SB03-01,473171.7710,7029535.1172,330.3376,-26.855550727,116.729940348,330.3376,-2561273.2960,5085902.4879,-2864094.8116
SB03-02,473173.1412,7029533.8826,330.3376,-26.855561900,116.729954115,330.3376,-2561274.2665,5085901.3730,-2864095.9162
SB03-03,473170.5394,7029531.3419,330.3376,-26.855584789,116.729927870,330.3376,-2561271.4215,5085901.5229,-2864098.1789
SB03-04,473173.9559,7029531.8154,330.3376,-26.855580580,116.729962271,330.3376,-2561274.5699,5085900.1732,-2864097.7628
SB03-05,473172.3574,7029531.0759,330.3376,-26.855587226,116.729946165,330.3376,-2561272.9906,5085900.5961,-2864098.4198
SB03-06,473175.5890,7029528.7762,330.3376,-26.855608051,116.729978645,330.3376,-2561275.4049,5085898.2131,-2864100.4785
SB03-07,473175.7405,7029531.6953,330.3376,-26.855581699,116.729980232,330.3376,-2561276.1391,5085899.3203,-2864097.8734
SB03-08,473177.2801,7029527.7945,330.3376,-26.855616947,116.729995647,330.3376,-2561276.7138,5085897.0553,-2864101.3579
SB03-09,473177.3335,7029530.3481,330.3376,-26.855593892,116.729996240,330.3376,-2561277.2854,5085898.0596,-2864099.0788
SB03-10,473177.1255,7029532.9850,330.3376,-26.855570080,116.729994201,330.3376,-2561277.6407,5085899.2152,-2864096.7249
SB03-11,473175.3775,7029534.8610,330.3376,-26.855553109,116.729976646,330.3376,-2561276.4645,5085900.7587,-2864095.0472
SB04-01,473179.5556,7029535.5454,330.3376,-26.855547010,116.730018718,330.3376,-2561280.3363,5085899.1507,-2864094.4442
SB04-02,473177.9380,7029534.6870,330.3376,-26.855554729,116.730002417,330.3376,-2561278.7156,5085899.5343,-2864095.2073
SB04-03,473178.6204,7029531.7334,330.3376,-26.855581410,116.730009223,330.3376,-2561278.7189,5085898.0373,-2864097.8449
SB04-04,473180.2318,7029532.6775,330.3376,-26.855572917,116.730025464,330.3376,-2561280.3519,5085897.6909,-2864097.0053
SB04-05,473181.8869,7029531.8984,330.3376,-26.855579982,116.730042107,330.3376,-2561281.6701,5085896.6310,-2864097.7037
SB04-06,473183.7486,7029531.7979,330.3376,-26.855580926,116.730060846,330.3376,-2561283.3122,5085895.7512,-2864097.7970
SB04-07,473181.5406,7029534.2802,330.3376,-26.855558471,116.730038673,330.3376,-2561281.8496,5085897.7463,-2864095.5772
SB04-08,473184.4716,7029533.8580,330.3376,-26.855562340,116.730068167,330.3376,-2561284.3805,5085896.2548,-2864095.9597
SB04-09,473181.7759,7029536.0608,330.3376,-26.855542399,116.730041079,330.3376,-2561282.4250,5085898.3572,-2864093.9884
SB04-10,473182.2398,7029537.8656,330.3376,-26.855526114,116.730045788,330.3376,-2561283.2097,5085898.8748,-2864092.3785
SB04-11,473179.8971,7029537.4130,330.3376,-26.855530155,116.730022196,330.3376,-2561281.0245,5085899.7487,-2864092.7780
SB05-01,473182.9444,7029540.5695,330.3376,-26.855501715,116.730052938,330.3376,-2561284.3937,5085899.6460,-2864089.9665
SB05-02,473184.0194,7029537.8625,330.3376,-26.855526175,116.730063702,330.3376,-2561284.7984,5085898.0712,-2864092.3846
SB05-03,473183.9152,7029535.9223,330.3376,-26.855543691,116.730062611,330.3376,-2561284.3073,5085897.3369,-2864094.1161
SB05-04,473185.5746,7029536.6839,330.3376,-26.855536846,116.730079331,330.3376,-2561285.9455,5085896.8955,-2864093.4395
SB05-05,473188.1805,7029535.8068,330.3376,-26.855544816,116.730105543,330.3376,-2561288.0928,5085895.3675,-2864094.2273
SB05-06,473188.9205,7029537.4975,330.3376,-26.855529565,116.730113029,330.3376,-2561289.1007,5085895.7146,-2864092.7197
