#S10-1
#Lat: -26.864083603
#Lon: 116.693733630
#HAE: 325.6459
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,469559.0011,7028574.3798,342.4032,-26.864148558,116.693551961,325.5904,-2557847.4738,5087139.7720,-2864942.5843,-18.0541,-7.1975,-0.0555
SB01-02,189,469561.7210,7028577.5389,342.4098,-26.864120094,116.693579419,325.5971,-2557850.5546,5087139.8248,-2864939.7737,-15.3254,-4.0435,-0.0488
SB01-03,155,469562.5082,7028575.9200,342.4219,-26.864134728,116.693587304,325.6092,-2557850.9304,5087138.8278,-2864941.2257,-14.5418,-5.6651,-0.0368
SB01-04,121,469565.8711,7028575.8184,342.4246,-26.864135719,116.693621156,325.6119,-2557853.9148,5087137.2744,-2864941.3249,-11.1776,-5.7748,-0.0341
SB01-05,100,469565.5622,7028577.7596,342.4293,-26.864118186,116.693618093,325.6166,-2557854.0391,5087138.1992,-2864939.5938,-11.4820,-3.8320,-0.0294
SB01-06,134,469563.6005,7028577.7514,342.4242,-26.864118217,116.693598345,325.6114,-2557852.2830,5087139.0753,-2864939.5946,-13.4446,-3.8355,-0.0345
SB01-07,113,469564.0632,7028580.6254,342.4194,-26.864092278,116.693603073,325.6067,-2557853.2843,5087140.0208,-2864937.0285,-12.9747,-0.9613,-0.0393
SB01-08,168,469562.3846,7028579.2391,342.4197,-26.864104758,116.693586140,325.6070,-2557851.5003,5087140.2187,-2864938.2623,-14.6574,-2.3442,-0.0389
SB01-09,202,469560.8497,7028580.6070,342.4110,-26.864092375,116.693570722,325.5983,-2557850.4064,5087141.4541,-2864937.0342,-16.1897,-0.9720,-0.0477
SB01-10,223,469560.1036,7028576.9101,342.3890,-26.864125736,116.693563121,325.5763,-2557848.9723,5087140.2834,-2864940.3220,-16.9451,-4.6687,-0.0696
SB02-01,231,469561.5836,7028571.1721,342.4006,-26.864177575,116.693577881,325.5878,-2557849.1214,5087137.3147,-2864945.4514,-15.4782,-10.4128,-0.0581
SB02-02,203,469562.5162,7028568.9160,342.3711,-26.864197965,116.693587214,325.5582,-2557849.4796,5087135.9623,-2864947.4536,-14.5507,-12.6721,-0.0877
SB02-03,197,469563.3592,7028571.6132,342.4135,-26.864173632,116.693595766,325.6007,-2557850.8032,5087136.7029,-2864945.0674,-13.7009,-9.9758,-0.0453
SB02-04,218,469565.0171,7028568.9577,342.3968,-26.864197643,116.693612391,325.5840,-2557851.7326,5087134.8733,-2864947.4333,-12.0486,-12.6364,-0.0620
SB02-05,184,469566.7571,7028569.1702,342.3812,-26.864195762,116.693629913,325.5683,-2557853.3243,5087134.1627,-2864947.2404,-10.3074,-12.4280,-0.0776
SB02-06,163,469565.5291,7028571.3931,342.4324,-26.864175666,116.693617605,325.6195,-2557852.7041,5087135.6520,-2864945.2770,-11.5305,-10.2012,-0.0264
SB02-07,129,469567.4403,7028572.0586,342.4096,-26.864169699,116.693636861,325.5968,-2557854.5389,5087135.0412,-2864944.6769,-9.6169,-9.5400,-0.0491
SB02-08,108,469566.5574,7028573.6141,342.4198,-26.864155635,116.693628011,325.6070,-2557854.0735,5087136.0735,-2864943.2914,-10.4963,-7.9817,-0.0389
SB02-09,142,469564.8188,7028574.2050,342.4277,-26.864150262,116.693610523,325.6149,-2557852.6449,5087137.1009,-2864942.7639,-12.2343,-7.3864,-0.0310
SB02-10,176,469562.6642,7028573.3743,342.4306,-26.864157716,116.693588812,325.6178,-2557850.5507,5087137.7390,-2864943.5019,-14.3919,-8.2122,-0.0282
SB02-11,210,469560.7710,7028574.8856,342.4011,-26.864144030,116.693569791,325.5883,-2557849.1579,5087139.1769,-2864942.1357,-16.2822,-6.6957,-0.0576
SB03-01,239,469566.4144,7028567.0735,342.4260,-26.864214685,116.693626412,325.6131,-2557852.6058,5087133.5082,-2864949.1312,-10.6553,-14.5249,-0.0328
SB03-02,205,469568.1274,7028567.7818,342.4221,-26.864208328,116.693643673,325.6093,-2557854.2799,5087133.0189,-2864948.5010,-8.9398,-13.8204,-0.0367
SB03-03,226,469569.2762,7028564.3386,342.4236,-26.864239440,116.693655155,325.6107,-2557854.6000,5087131.1157,-2864951.5770,-7.7988,-17.2678,-0.0353
SB03-04,171,469570.3334,7028567.6085,342.4227,-26.864209940,116.693665877,325.6098,-2557856.2152,5087131.9560,-2864948.6606,-6.7333,-13.9991,-0.0361
SB03-05,192,469570.2896,7028565.8611,342.4335,-26.864225716,116.693665394,325.6206,-2557855.8217,5087131.2804,-2864950.2249,-6.7813,-15.7472,-0.0254
SB03-06,158,469573.7978,7028567.7666,342.4478,-26.864208589,116.693700757,325.6350,-2557859.3526,5087130.4794,-2864948.5384,-3.2669,-13.8493,-0.0110
SB03-07,137,469571.2011,7028569.1716,342.4279,-26.864195847,116.693674650,325.6150,-2557857.3132,5087132.1990,-2864947.2698,-5.8614,-12.4374,-0.0309
SB03-08,124,469575.3777,7028568.9180,342.4164,-26.864198228,116.693716689,325.6036,-2557860.9876,5087130.2065,-2864947.5000,-1.6836,-12.7012,-0.0424
SB03-09,103,469573.1074,7028570.0348,342.4106,-26.864188095,116.693693862,325.5978,-2557859.1864,5087131.6743,-2864946.4958,-3.9522,-11.5784,-0.0482
