#S9-2
#Lat: -26.880760657
#Lon: 116.747334438
#HAE: 333.1630
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,474916.9700,7026761.6865,350.0491,-26.880621397,116.747453833,333.2128,-2562263.8844,5084000.4913,-2866574.2347,11.8636,15.4310,0.0498
SB01-02,189,474916.2379,7026757.5845,350.0447,-26.880658419,116.747446379,333.2083,-2562262.3865,5083999.1647,-2866577.8917,11.1230,11.3287,0.0453
SB01-03,155,474914.7618,7026758.5117,350.0487,-26.880650021,116.747431536,333.2123,-2562261.2604,5084000.2074,-2866577.0635,9.6481,12.2592,0.0493
SB01-04,121,474911.7746,7026756.8739,350.0329,-26.880664755,116.747401426,333.1965,-2562258.2501,5084000.8821,-2866578.5125,6.6563,10.6267,0.0335
SB01-05,100,474913.0757,7026755.3984,350.0365,-26.880678100,116.747414497,333.2001,-2562259.1105,5083999.7034,-2866579.8332,7.9551,9.1479,0.0371
SB01-06,134,474914.7419,7026756.3965,350.0586,-26.880669119,116.747431293,333.2222,-2562260.8122,5083999.3717,-2866578.9555,9.6240,10.1431,0.0592
SB01-07,113,474915.8211,7026753.6208,350.0387,-26.880694199,116.747442103,333.2023,-2562261.1979,5083997.7504,-2866581.4253,10.6981,7.3640,0.0393
SB01-08,168,474916.5530,7026755.7382,350.0601,-26.880675095,116.747449515,333.2237,-2562262.2950,5083998.2907,-2866579.5468,11.4346,9.4809,0.0607
SB01-09,202,474918.5749,7026755.3465,350.0573,-26.880678668,116.747469865,333.2209,-2562264.0189,5083997.2185,-2866579.8987,13.4566,9.0850,0.0579
SB01-10,223,474917.3331,7026758.9150,350.0340,-26.880646426,116.747457432,333.1976,-2562263.6334,5083999.1984,-2866576.7016,12.2213,12.6576,0.0346
SB02-01,231,474913.0692,7026763.1034,350.0294,-26.880608534,116.747414586,333.1931,-2562260.6842,5084002.8061,-2866572.9545,7.9639,16.8563,0.0301
SB02-02,203,474911.1540,7026764.5907,350.0103,-26.880595072,116.747395333,333.1740,-2562259.2716,5084004.2543,-2866571.6153,6.0508,18.3481,0.0110
SB02-03,197,474911.8338,7026761.7943,350.0296,-26.880620331,116.747402121,333.1932,-2562259.3121,5084002.8359,-2866574.1205,6.7253,15.5491,0.0302
SB02-04,218,474909.0308,7026763.2792,350.0264,-26.880606875,116.747373929,333.1901,-2562257.1128,5084004.6962,-2866572.7891,3.9241,17.0402,0.0271
SB02-05,184,474907.6117,7026762.1524,350.0358,-26.880617022,116.747359619,333.1995,-2562255.6179,5084004.8897,-2866573.7963,2.5021,15.9158,0.0365
SB02-06,163,474909.7985,7026760.9062,350.0572,-26.880628313,116.747381611,333.2209,-2562257.3233,5084003.4180,-2866574.9219,4.6873,14.6646,0.0579
SB02-07,129,474908.5478,7026759.3422,350.0353,-26.880642412,116.747368987,333.1989,-2562255.8765,5084003.3343,-2866576.3054,3.4330,13.1024,0.0359
SB02-08,108,474910.1172,7026758.4229,350.0395,-26.880650739,116.747384770,333.2032,-2562257.0909,5084002.2593,-2866577.1303,5.0012,12.1797,0.0402
SB02-09,142,474911.8764,7026758.8613,350.0499,-26.880646813,116.747402491,333.2136,-2562258.7560,5084001.6508,-2866576.7470,6.7621,12.6148,0.0505
SB02-10,176,474913.2739,7026760.6380,350.0492,-26.880630798,116.747416598,333.2129,-2562260.3686,5084001.7359,-2866575.1638,8.1638,14.3894,0.0498
