#S8-3
#Lat: -26.855788057
#Lon: 116.730503806
#HAE: 330.3143
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,473231.0826,7029527.8568,347.2031,-26.855615221,116.730538865,330.4015,-2561324.9973,5085872.8999,-2864101.2161,3.4843,19.1515,0.0872
SB01-02,189,473232.3088,7029523.8714,347.1764,-26.855651227,116.730551122,330.3747,-2561325.2638,5085870.7209,-2864104.7634,4.7026,15.1617,0.0604
SB01-03,155,473230.5256,7029524.0549,347.1627,-26.855649537,116.730533177,330.3610,-2561323.7035,5085871.5878,-2864104.5901,2.9191,15.3490,0.0467
SB01-04,121,473228.6219,7029521.2141,347.1634,-26.855675148,116.730513953,330.3617,-2561321.4207,5085871.3027,-2864107.1223,1.0084,12.5111,0.0474
SB01-05,100,473230.4677,7029520.4975,347.1231,-26.855681654,116.730532518,330.3214,-2561322.9059,5085870.1498,-2864107.7472,2.8535,11.7902,0.0071
SB01-06,134,473231.5397,7029522.1264,347.1658,-26.855666967,116.730543344,330.3642,-2561324.2147,5085870.3565,-2864106.3147,3.9295,13.4176,0.0498
SB01-07,113,473233.7363,7029520.1864,347.1612,-26.855684525,116.730565413,330.3595,-2561325.7766,5085868.5813,-2864108.0483,6.1229,11.4721,0.0452
SB01-08,168,473233.4086,7029522.4130,347.1736,-26.855664416,116.730562162,330.3720,-2561325.9458,5085869.6355,-2864106.0660,5.7998,13.7003,0.0576
SB01-09,202,473235.3928,7029522.9912,347.1902,-26.855659233,116.730582148,330.3886,-2561327.8432,5085868.9870,-2864105.5611,7.7861,14.2746,0.0742
SB01-10,223,473232.6360,7029525.5825,347.1942,-26.855635785,116.730554453,330.3926,-2561325.9144,5085871.2766,-2864103.2449,5.0336,16.8728,0.0783
SB02-01,231,473226.9666,7029527.3478,347.1646,-26.855619738,116.730497422,330.3630,-2561321.2014,5085874.5199,-2864101.6452,-0.6345,18.6510,0.0486
SB02-02,203,473224.5408,7029527.7603,347.1520,-26.855615967,116.730473012,330.3504,-2561319.1145,5085875.7697,-2864101.2667,-3.0605,19.0688,0.0361
SB02-03,197,473226.4389,7029525.5740,347.1569,-26.855635743,116.730492071,330.3553,-2561320.3630,5085874.0374,-2864103.2239,-1.1663,16.8775,0.0410
SB02-04,218,473223.2815,7029525.6397,347.0918,-26.855635089,116.730460290,330.2901,-2561317.5305,5085875.4355,-2864103.1299,-4.3249,16.9499,-0.0242
SB02-05,184,473222.5635,7029524.0317,347.0855,-26.855649593,116.730453028,330.2839,-2561316.5568,5085875.1068,-2864104.5608,-5.0467,15.3428,-0.0304
SB02-06,163,473225.0807,7029523.9086,347.1381,-26.855650753,116.730478364,330.3364,-2561318.8008,5085873.9641,-2864104.6992,-2.5286,15.2143,0.0221
SB02-07,129,473224.6333,7029521.9326,347.1679,-26.855668585,116.730473819,330.3662,-2561318.0077,5085873.3938,-2864106.4755,-2.9804,13.2384,0.0518
SB02-08,108,473226.4246,7029521.8013,347.1526,-26.855669804,116.730491847,330.3509,-2561319.5745,5085872.5212,-2864106.5891,-1.1886,13.1032,0.0366
SB02-09,142,473227.8545,7029523.0058,347.1775,-26.855658957,116.730506267,330.3759,-2561321.1087,5085872.3814,-2864105.5281,0.2445,14.3052,0.0615
SB02-10,176,473228.2678,7029525.2427,347.1622,-26.855638768,116.730510475,330.3605,-2561321.9306,5085873.0837,-2864103.5254,0.6628,16.5422,0.0462
SB02-11,210,473230.5852,7029526.0156,347.1646,-26.855631835,116.730533819,330.3630,-2561324.1598,5085872.3520,-2864102.8411,2.9828,17.3105,0.0486
SB03-01,239,473220.9331,7029525.3944,347.0680,-26.855637258,116.730436646,330.2663,-2561315.3733,5085876.3765,-2864103.3336,-6.6748,16.7096,-0.0480
SB03-02,205,473220.6207,7029523.6235,347.0893,-26.855653241,116.730433463,330.2877,-2561314.7396,5085875.8212,-2864104.9232,-6.9911,14.9386,-0.0267
SB03-03,226,473217.0762,7029524.4373,347.0561,-26.855645826,116.730397801,330.2545,-2561311.7276,5085877.7205,-2864104.1751,-10.5355,15.7602,-0.0599
SB03-04,171,473219.3273,7029521.7687,347.0483,-26.855669963,116.730420403,330.2466,-2561313.1873,5085875.6248,-2864106.5577,-8.2891,13.0856,-0.0677
SB03-05,192,473217.8226,7029522.7724,347.0835,-26.855660872,116.730405279,330.2818,-2561312.0636,5085876.7354,-2864105.6749,-9.7923,14.0930,-0.0325
SB03-06,158,473217.6325,7029518.8081,347.0805,-26.855696661,116.730403280,330.2788,-2561311.0792,5085875.2223,-2864109.2115,-9.9909,10.1274,-0.0356
SB03-07,137,473220.1988,7029520.2596,347.0808,-26.855683605,116.730429144,330.2791,-2561313.6691,5085874.6500,-2864107.9210,-7.4204,11.5740,-0.0352
SB03-08,124,473217.6892,7029516.8525,347.0888,-26.855714318,116.730403809,330.2871,-2561310.7319,5085874.4159,-2864110.9608,-9.9384,8.1708,-0.0272
SB03-09,103,473219.9284,7029518.1804,347.0781,-26.855702372,116.730426377,330.2764,-2561312.9998,5085873.9325,-2864109.7749,-7.6954,9.4946,-0.0380
SB03-10,116,473222.0120,7029519.7751,347.1035,-26.855688014,116.730447385,330.3019,-2561315.1981,5085873.6556,-2864108.3671,-5.6075,11.0854,-0.0125
SB03-11,150,473222.6711,7029522.2610,347.0880,-26.855665583,116.730454073,330.2864,-2561316.2906,5085874.3471,-2864106.1426,-4.9428,13.5710,-0.0280
SB04-01,74,473225.4746,7029519.1213,347.1048,-26.855693983,116.730482227,330.3031,-2561318.1569,5085871.8322,-2864108.9578,-2.1447,10.4240,-0.0113
SB04-02,95,473223.9052,7029519.9865,347.1029,-26.855686142,116.730466448,330.3013,-2561316.9321,5085872.8866,-2864108.1818,-3.7129,11.2929,-0.0131
SB04-03,82,473221.7309,7029517.8174,347.0965,-26.855705684,116.730444514,330.2948,-2561314.5426,5085872.9883,-2864110.1107,-5.8928,9.1275,-0.0195
SB04-04,61,473223.4443,7029517.0000,347.0835,-26.855713097,116.730461744,330.2818,-2561315.8999,5085871.8763,-2864110.8376,-4.1804,8.3061,-0.0325
SB04-05,48,473223.6341,7029515.1704,347.0941,-26.855729619,116.730463616,330.2923,-2561315.6983,5085871.0624,-2864112.4757,-3.9944,6.4753,-0.0220
SB04-06,27,473224.5636,7029513.5144,347.1066,-26.855744589,116.730472937,330.3048,-2561316.1936,5085869.9864,-2864113.9612,-3.0680,4.8166,-0.0095
SB04-07,40,473225.4685,7029516.7270,347.0816,-26.855715601,116.730482115,330.2799,-2561317.6509,5085870.8522,-2864111.0843,-2.1559,8.0287,-0.0345
SB04-08,19,473226.6934,7029514.0504,347.0345,-26.855739791,116.730494387,330.2327,-2561318.1767,5085869.1845,-2864113.4543,-0.9361,5.3483,-0.0816
SB04-09,53,473227.0924,7029517.4878,347.1349,-26.855708763,116.730498477,330.3332,-2561319.2787,5085870.4690,-2864110.4324,-0.5297,8.7863,0.0189
SB04-10,66,473228.8879,7029518.0448,347.1618,-26.855703768,116.730516563,330.3601,-2561321.0073,5085869.9052,-2864109.9508,1.2678,9.3398,0.0457
SB04-11,87,473227.2683,7029519.7944,347.1495,-26.855687941,116.730500297,330.3478,-2561319.9149,5085871.3302,-2864108.3806,-0.3488,11.0936,0.0335
SB05-01,79,473231.5520,7029518.9204,347.1598,-26.855695914,116.730543399,330.3581,-2561323.5655,5085869.0551,-2864109.1734,3.9350,10.2101,0.0438
SB05-02,45,473229.8281,7029516.5450,347.1291,-26.855717328,116.730525995,330.3273,-2561321.5262,5085868.8512,-2864111.2764,2.2053,7.8373,0.0130
SB05-03,32,473228.1270,7029515.6125,347.1270,-26.855725714,116.730508851,330.3253,-2561319.8147,5085869.2410,-2864112.1046,0.5014,6.9080,0.0109
SB05-04,24,473229.6851,7029514.5917,347.1416,-26.855734961,116.730524513,330.3398,-2561321.0026,5085868.1391,-2864113.0252,2.0580,5.8835,0.0255
SB05-05,16,473230.3136,7029511.9523,347.1435,-26.855758802,116.730530784,330.3417,-2561321.0232,5085866.7944,-2864115.3830,2.6812,3.2416,0.0274
SB05-06,29,473232.1540,7029512.2305,347.1854,-26.855756326,116.730549316,330.3836,-2561322.7408,5085866.1100,-2864115.1571,4.5230,3.5160,0.0693
SB05-07,37,473231.7609,7029514.9468,347.1831,-26.855731794,116.730545416,330.3814,-2561322.9460,5085867.3794,-2864112.7310,4.1355,6.2343,0.0671
SB05-08,58,473231.8922,7029516.7406,347.1295,-26.855715601,116.730546777,330.3278,-2561323.4099,5085867.9998,-2864111.1060,4.2707,8.0286,0.0135
SB05-09,71,473234.8760,7029516.2367,347.1509,-26.855720208,116.730576801,330.3492,-2561325.9799,5085866.4687,-2864111.5710,7.2547,7.5182,0.0348
SB05-10,92,473233.5514,7029517.3717,347.1472,-26.855709934,116.730563492,330.3455,-2561325.0283,5085867.5200,-2864110.5538,5.9320,8.6565,0.0311
SB06-01,213,473214.9725,7029520.9152,347.1021,-26.855677585,116.730376549,330.3005,-2561309.1446,5085877.2873,-2864107.3355,-12.6476,12.2411,-0.0139
SB06-02,247,473215.3420,7029523.2268,347.0782,-26.855656721,116.730380318,330.2766,-2561309.9393,5085878.0325,-2864105.2622,-12.2730,14.5529,-0.0378
SB06-03,234,473213.1587,7029519.4667,347.1645,-26.855690628,116.730358260,330.3628,-2561307.2525,5085877.5715,-2864108.6530,-14.4653,10.7958,0.0484
SB06-04,255,473210.8541,7029517.7028,347.1397,-26.855706510,116.730335024,330.3380,-2561304.8224,5085877.8804,-2864110.2119,-16.7746,9.0360,0.0236
SB06-05,221,473211.6026,7029516.1398,347.0952,-26.855720636,116.730342525,330.2934,-2561305.1523,5085876.8780,-2864111.5882,-16.0292,7.4707,-0.0209
SB06-06,200,473214.2885,7029518.1508,347.1320,-26.855702531,116.730369605,330.3303,-2561307.9785,5085876.5063,-2864109.8151,-13.3377,9.4769,0.0160
SB06-07,166,473213.6816,7029516.3082,347.0961,-26.855719156,116.730363456,330.2944,-2561307.0440,5085876.0093,-2864111.4423,-13.9489,7.6347,-0.0200
SB06-08,132,473215.5812,7029514.2372,347.0965,-26.855737891,116.730382534,330.2947,-2561308.3157,5085874.3191,-2864113.2945,-12.0528,5.5588,-0.0196
SB06-09,111,473217.2142,7029514.8885,347.0930,-26.855732042,116.730398986,330.2913,-2561309.9064,5085873.8424,-2864112.7147,-10.4177,6.2069,-0.0231
SB06-10,145,473215.4767,7029516.7482,347.1024,-26.855715218,116.730381536,330.3007,-2561308.7400,5085875.3821,-2864111.0558,-12.1520,8.0711,-0.0137
SB06-11,179,473215.9166,7029519.4099,347.0931,-26.855691194,116.730386021,330.2914,-2561309.6753,5085876.2483,-2864108.6767,-11.7063,10.7331,-0.0230
SB07-01,69,473220.7585,7029515.3371,347.0604,-26.855728059,116.730434673,330.2587,-2561313.1507,5085872.3991,-2864112.3063,-6.8709,6.6482,-0.0557
SB07-02,90,473218.9689,7029515.5030,347.0843,-26.855726527,116.730416662,330.2826,-2561311.5961,5085873.2919,-2864112.1657,-8.6610,6.8180,-0.0318
SB07-03,56,473220.6535,7029513.1745,347.0743,-26.855747583,116.730433569,330.2725,-2561312.6188,5085871.5867,-2864114.2426,-6.9806,4.4849,-0.0418
SB07-04,77,473217.9608,7029512.8669,347.0851,-26.855750308,116.730406458,330.2833,-2561310.1552,5085872.6854,-2864114.5168,-9.6751,4.1829,-0.0310
SB07-05,64,473217.9446,7029510.1810,347.0807,-26.855774558,116.730406238,330.2789,-2561309.5879,5085871.6076,-2864116.9121,-9.6970,1.4958,-0.0354
SB07-06,43,473220.3346,7029510.9270,347.0572,-26.855767869,116.730430311,330.2554,-2561311.8659,5085870.8118,-2864116.2402,-7.3044,2.2370,-0.0590
SB07-07,30,473221.0235,7029509.2428,347.0242,-26.855783088,116.730437210,330.2223,-2561312.1224,5085869.7966,-2864117.7298,-6.6187,0.5507,-0.0920
SB07-08,9,473224.3217,7029509.4257,347.0446,-26.855781500,116.730470415,330.2427,-2561315.1138,5085868.3995,-2864117.5821,-3.3187,0.7266,-0.0716
SB07-09,22,473222.2286,7029511.6587,347.0344,-26.855761299,116.730449392,330.2326,-2561313.6985,5085870.2343,-2864115.5805,-5.4080,2.9650,-0.0817
SB07-10,14,473224.2017,7029511.8355,347.0738,-26.855759740,116.730469257,330.2720,-2561315.5127,5085869.4474,-2864115.4441,-3.4337,3.1378,-0.0423
SB07-11,35,473222.2716,7029514.0363,347.0679,-26.855739832,116.730449876,330.2661,-2561314.2382,5085871.1991,-2864113.4735,-5.3599,5.3436,-0.0482
SB08-01,153,473213.8769,7029512.8891,347.0841,-26.855750030,116.730365349,330.2823,-2561306.5120,5085874.5348,-2864114.4889,-13.7608,4.2137,-0.0320
SB08-02,187,473212.2284,7029514.3034,347.1158,-26.855737228,116.730348785,330.3140,-2561305.3426,5085875.8728,-2864113.2377,-15.4070,5.6322,-0.0003
SB08-03,242,473210.6581,7029513.6018,347.1013,-26.855743533,116.730332963,330.2995,-2561303.7905,5085876.2867,-2864113.8544,-16.9795,4.9336,-0.0149
SB08-04,208,473210.4719,7029511.7971,347.1011,-26.855759824,116.730331050,330.2993,-2561303.2538,5085875.6437,-2864115.4648,-17.1696,3.1285,-0.0150
SB08-05,229,473209.2574,7029510.2966,347.0942,-26.855773348,116.730318793,330.2924,-2561301.8585,5085875.5815,-2864116.7986,-18.3878,1.6299,-0.0219
SB08-06,174,473212.5652,7029510.5278,347.0539,-26.855771323,116.730352095,330.2521,-2561304.8440,5085874.1512,-2864116.5803,-15.0780,1.8542,-0.0622
SB08-07,140,473214.1019,7029509.5513,347.0480,-26.855780169,116.730367542,330.2462,-2561306.0136,5085873.0605,-2864117.4521,-13.5428,0.8740,-0.0681
SB08-08,85,473216.0871,7029509.9568,347.0589,-26.855776547,116.730387535,330.2571,-2561307.8742,5085872.3374,-2864117.0989,-11.5558,1.2754,-0.0572
SB08-09,119,473214.8942,7029511.3022,347.0920,-26.855764376,116.730375555,330.2902,-2561307.0981,5085873.4434,-2864115.9107,-12.7464,2.6240,-0.0241
SB08-10,98,473216.6325,7029511.6798,347.1264,-26.855761000,116.730393061,330.3246,-2561308.7419,5085872.8392,-2864115.5925,-11.0065,2.9981,0.0103
SB09-01,38,473220.2661,7029507.3758,347.0475,-26.855799929,116.730429546,330.2457,-2561311.0723,5085869.4049,-2864119.4052,-7.3805,-1.3155,-0.0687
SB09-02,51,473219.2434,7029508.9128,347.0523,-26.855786033,116.730419284,330.2505,-2561310.4762,5085870.4887,-2864118.0337,-8.4004,0.2243,-0.0639
SB09-03,72,473217.5117,7029508.3761,347.0788,-26.855790845,116.730401841,330.2769,-2561308.8301,5085871.0744,-2864118.5213,-10.1339,-0.3089,-0.0374
SB09-04,93,473216.0779,7029506.4726,347.0429,-26.855808004,116.730387367,330.2410,-2561307.1446,5085870.9257,-2864120.2014,-11.5724,-2.2103,-0.0733
SB09-05,59,473219.5754,7029505.5825,347.0827,-26.855816108,116.730422555,330.2808,-2561310.1015,5085869.0221,-2864121.0204,-8.0753,-3.1082,-0.0336
SB09-06,80,473218.0465,7029503.7334,347.0408,-26.855832773,116.730407125,330.2389,-2561308.3399,5085868.9334,-2864122.6490,-9.6088,-4.9549,-0.0754
SB09-07,67,473219.6056,7029502.7045,347.0727,-26.855842092,116.730422797,330.2708,-2561309.5340,5085867.8416,-2864123.5846,-8.0512,-5.9875,-0.0436
SB09-08,46,473220.7441,7029504.1351,347.0627,-26.855829198,116.730434289,330.2608,-2561310.8403,5085867.8964,-2864122.3055,-6.9091,-4.5587,-0.0536
