#S8-3
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,473231.0969,7029527.8281,330.4376,-26.855617677,116.730537376,330.4376,-2561324.8243,5085872.8854,-2864101.4752
SB01-02,473232.3141,7029523.8690,330.4376,-26.855653446,116.730549545,330.4376,-2561325.0991,5085870.7423,-2864105.0112
SB01-03,473230.5302,7029524.0304,330.4376,-26.855651955,116.730531591,330.4376,-2561323.5390,5085871.6116,-2864104.8638
SB01-04,473228.6637,7029521.2165,330.4376,-26.855677324,116.730512742,330.4376,-2561321.2947,5085871.3200,-2864107.3718
SB01-05,473230.4751,7029520.4740,330.4376,-26.855684063,116.730530960,330.4376,-2561322.7601,5085870.2043,-2864108.0379
SB01-06,473231.5224,7029522.1155,330.4376,-26.855669262,116.730541538,330.4376,-2561324.0323,5085870.3931,-2864106.5748
SB01-07,473233.7133,7029520.1807,330.4376,-26.855686773,116.730563551,330.4376,-2561325.5920,5085868.6263,-2864108.3058
SB01-08,473233.4315,7029522.4080,330.4376,-26.855666658,116.730560761,330.4376,-2561325.7972,5085869.6502,-2864106.3174
SB01-09,473235.3967,7029522.9583,330.4376,-26.855661727,116.730580555,330.4376,-2561327.6653,5085868.9858,-2864105.8299
SB01-10,473232.6659,7029525.5654,330.4376,-26.855638136,116.730553122,330.4376,-2561325.7613,5085871.2669,-2864103.4978
SB02-01,473226.9764,7029527.3261,330.4376,-26.855622130,116.730495888,330.4376,-2561321.0413,5085874.5410,-2864101.9155
SB02-02,473224.5766,7029527.7393,330.4376,-26.855618353,116.730471740,330.4376,-2561318.9829,5085875.7893,-2864101.5421
SB02-03,473226.4617,7029525.5846,330.4376,-26.855637844,116.730490670,330.4376,-2561320.2244,5085874.0717,-2864103.4689
SB02-04,473223.2827,7029525.6286,330.4376,-26.855637386,116.730458670,330.4376,-2561317.3942,5085875.5227,-2864103.4236
SB02-05,473222.5610,7029524.0294,330.4376,-26.855651810,116.730451372,330.4376,-2561316.4216,5085875.2041,-2864104.8495
SB02-06,473225.0752,7029523.8763,330.4376,-26.855653241,116.730476677,330.4376,-2561318.6356,5085874.0089,-2864104.9910
SB02-07,473224.6460,7029521.9144,330.4376,-26.855670946,116.730472314,330.4376,-2561317.8497,5085873.4124,-2864106.7413
SB02-08,473226.4516,7029521.8153,330.4376,-26.855671876,116.730490487,330.4376,-2561319.4419,5085872.5585,-2864106.8331
SB02-09,473227.8672,7029522.9975,330.4376,-26.855661229,116.730504763,330.4376,-2561320.9488,5085872.3963,-2864105.7806
SB02-10,473228.2903,7029525.2367,330.4376,-26.855641020,116.730509069,330.4376,-2561321.7860,5085873.1072,-2864103.7829
SB02-11,473230.5970,7029526.0512,330.4376,-26.855633711,116.730532306,330.4376,-2561324.0133,5085872.3952,-2864103.0603
SB03-01,473220.9615,7029525.4189,330.4376,-26.855639235,116.730435301,330.4376,-2561315.2782,5085876.4848,-2864103.6064
