#S10-4
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,469542.6248,7028654.6864,325.5376,-26.863425337,116.693387425,325.5376,-2557849.1109,5087179.4279,-2864871.0708
SB01-02,469546.7668,7028654.6929,325.5376,-26.863425369,116.693429122,325.5376,-2557852.8124,5087177.5650,-2864871.0739
SB01-03,469546.0909,7028653.0341,325.5376,-26.863440331,116.693422278,325.5376,-2557851.8682,5087177.2013,-2864872.5529
SB01-04,469548.2362,7028650.4265,325.5376,-26.863463921,116.693443810,325.5376,-2557853.2494,5087175.1847,-2864874.8847
SB01-05,469549.4758,7028651.9416,325.5376,-26.863450268,116.693456326,325.5376,-2557854.6678,5087175.2367,-2864873.5352
SB01-06,469548.2122,7028653.4231,325.5376,-26.863436864,116.693443642,325.5376,-2557853.8431,5087176.4026,-2864872.2103
SB01-07,469550.7031,7028654.9526,325.5376,-26.863423110,116.693468754,325.5376,-2557856.3821,5087175.8968,-2864870.8506
SB01-08,469548.4907,7028655.3343,325.5376,-26.863419616,116.693446492,325.5376,-2557854.4840,5087177.0470,-2864870.5052
SB01-09,469548.5390,7028657.3745,325.5376,-26.863401196,116.693447027,325.5376,-2557854.9459,5087177.8470,-2864868.6844
SB01-10,469545.2474,7028655.5252,325.5376,-26.863417821,116.693413847,325.5376,-2557851.6259,5087178.5846,-2864870.3278
SB02-01,469541.9002,7028650.5991,325.5376,-26.863462224,116.693380031,325.5376,-2557847.6247,5087178.1079,-2864874.7170
SB02-02,469540.8034,7028648.4250,325.5376,-26.863481829,116.693368937,325.5376,-2557846.1988,5087177.7262,-2864876.6550
SB02-03,469543.4151,7028649.5978,325.5376,-26.863471297,116.693395257,325.5376,-2557848.7726,5087177.0223,-2864875.6139
SB02-04,469542.4436,7028646.5705,325.5376,-26.863498608,116.693385403,325.5376,-2557847.2834,5087176.2405,-2864878.3136
SB02-05,469543.7619,7028645.4129,325.5376,-26.863509089,116.693398646,325.5376,-2557848.2234,5087175.1804,-2864879.3496
SB02-06,469544.6434,7028647.7724,325.5376,-26.863487805,116.693407578,325.5376,-2557849.4952,5087175.7338,-2864877.2457
SB02-07,469546.3941,7028646.7883,325.5376,-26.863496728,116.693425177,325.5376,-2557850.8572,5087174.5490,-2864878.1277
SB02-08,469547.0168,7028648.4861,325.5376,-26.863481413,116.693431487,325.5376,-2557851.7619,5087174.9523,-2864876.6139
SB02-09,469546.3001,7028650.1855,325.5376,-26.863466054,116.693424314,325.5376,-2557851.4704,5087175.9597,-2864875.0956
SB02-10,469544.2825,7028651.2448,325.5376,-26.863456447,116.693404029,325.5376,-2557849.8854,5087177.2950,-2864874.1459
SB02-11,469544.1780,7028653.6888,325.5376,-26.863434378,116.693403036,325.5376,-2557850.2937,5087178.3266,-2864871.9645
SB03-01,469541.9655,7028644.2895,325.5376,-26.863519192,116.693380535,325.5376,-2557846.3882,5087175.5370,-2864880.3483
SB03-02,469543.6144,7028643.4631,325.5376,-26.863526689,116.693397114,325.5376,-2557847.6916,5087174.4615,-2864881.0894
SB03-03,469541.7807,7028640.3227,325.5376,-26.863555003,116.693378578,325.5376,-2557845.4089,5087174.0224,-2864883.8882
SB03-04,469544.9488,7028641.6865,325.5376,-26.863542760,116.693410504,325.5376,-2557848.5190,5087173.1449,-2864882.6779
SB03-05,469543.6041,7028640.5490,325.5376,-26.863553000,116.693396940,325.5376,-2557847.0843,5087173.2923,-2864883.6902
SB03-06,469547.3304,7028639.1901,325.5376,-26.863565350,116.693434418,325.5376,-2557850.1341,5087171.0667,-2864884.9110
SB03-07,469546.7012,7028642.0446,325.5376,-26.863539565,116.693428154,325.5376,-2557850.1580,5087172.4998,-2864882.3621
SB03-08,469549.2215,7028638.6927,325.5376,-26.863569882,116.693453443,325.5376,-2557851.7214,5087170.0146,-2864885.3590
SB03-09,469548.5948,7028641.1688,325.5376,-26.863547513,116.693447195,325.5376,-2557851.6698,5087171.2942,-2864883.1478
SB03-10,469547.6940,7028643.6558,325.5376,-26.863525039,116.693438187,325.5376,-2557851.3755,5087172.7017,-2864880.9263
SB03-11,469545.5106,7028645.0002,325.5376,-26.863512853,116.693416240,325.5376,-2557849.7009,5087174.2266,-2864879.7217
