#S9-1
#Lat: -26.880905847
#Lon: 116.748358225
#HAE: 333.4073
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,474988.0695,7026735.4899,350.2061,-26.880859195,116.748169166,333.3695,-2562322.0585,5083957.9872,-2866597.8082,-18.7858,5.1693,-0.0378
SB01-02,189,474992.1473,7026736.3641,350.1776,-26.880851375,116.748210240,333.3410,-2562325.8680,5083956.4775,-2866597.0224,-14.7044,6.0358,-0.0663
SB01-03,155,474991.8376,7026734.6321,350.1662,-26.880867007,116.748207088,333.3296,-2562325.2312,5083955.9100,-2866598.5623,-15.0177,4.3037,-0.0777
SB01-04,121,474994.4888,7026732.4861,350.1704,-26.880886431,116.748233738,333.3338,-2562327.1597,5083953.8526,-2866600.4839,-12.3696,2.1514,-0.0735
SB01-05,100,474995.3845,7026734.1823,350.1835,-26.880871132,116.748242791,333.3469,-2562328.3131,5083954.1426,-2866598.9777,-11.4701,3.8467,-0.0604
SB01-06,134,474993.8506,7026735.3970,350.1787,-26.880860137,116.748227371,333.3421,-2562327.1910,5083955.3203,-2866597.8889,-13.0022,5.0650,-0.0652
SB01-07,113,474995.9406,7026737.4276,350.1623,-26.880841842,116.748248454,333.3257,-2562329.4676,5083955.1828,-2866596.0733,-10.9073,7.0922,-0.0816
SB01-08,168,474993.7275,7026737.3472,350.1897,-26.880842528,116.748226170,333.3531,-2562327.4858,5083956.1706,-2866596.1535,-13.1216,7.0162,-0.0542
SB01-09,202,474993.3416,7026739.3043,350.1812,-26.880824850,116.748222324,333.3446,-2562327.5398,5083957.1267,-2866594.4025,-13.5037,8.9750,-0.0627
SB01-10,223,474990.5029,7026736.8665,350.2076,-26.880846810,116.748193694,333.3710,-2562324.5148,5083957.4456,-2866596.5848,-16.3486,6.5417,-0.0363
SB02-01,231,474988.2624,7026731.3790,350.1391,-26.880896314,116.748171027,333.3024,-2562321.3597,5083956.1899,-2866601.4465,-18.6009,1.0562,-0.1049
SB02-02,203,474987.6406,7026729.0104,350.1089,-26.880917688,116.748164718,333.2722,-2562320.3059,5083955.4917,-2866603.5454,-19.2277,-1.3121,-0.1351
SB02-03,197,474989.9085,7026730.6844,350.1354,-26.880902615,116.748187586,333.2987,-2562322.6855,5083955.1645,-2866602.0676,-16.9555,0.3581,-0.1086
SB02-04,218,474989.6147,7026727.5634,350.1368,-26.880930788,116.748184565,333.3001,-2562321.7828,5083954.0403,-2866604.8527,-17.2556,-2.7637,-0.1072
SB02-05,184,474991.1300,7026726.6648,350.1450,-26.880938929,116.748199804,333.3083,-2562322.9546,5083953.0011,-2866605.6609,-15.7415,-3.6658,-0.0990
SB02-06,163,474991.5126,7026729.1319,350.1555,-26.880916661,116.748203706,333.3188,-2562323.8072,5083953.8312,-2866603.4649,-15.3537,-1.1983,-0.0885
SB02-07,129,474993.4216,7026728.5653,350.1609,-26.880921811,116.748222915,333.3242,-2562325.3976,5083952.7461,-2866603.9763,-13.4451,-1.7690,-0.0831
SB02-08,108,474993.7217,7026730.3494,350.1658,-26.880905708,116.748225973,333.3291,-2562326.0341,5083953.3337,-2866602.3871,-13.1412,0.0153,-0.0782
SB02-09,142,474992.6306,7026731.8703,350.1664,-26.880891957,116.748215017,333.3297,-2562325.3722,5083954.4393,-2866601.0282,-14.2299,1.5391,-0.0775
SB02-10,176,474990.4610,7026732.4816,350.1609,-26.880886399,116.748193185,333.3243,-2562323.5582,5083955.6600,-2866600.4765,-16.3992,2.1549,-0.0830
SB02-11,210,474989.8643,7026734.8273,350.1822,-26.880865209,116.748187224,333.3455,-2562323.5156,5083956.8915,-2866598.3918,-16.9915,4.5029,-0.0618
