#S9-3
#Lat: -26.880489614
#Lon: 116.747873347
#HAE: 333.2669
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,474975.8761,7026785.2657,350.1658,-26.880409567,116.748047394,333.3298,-2562321.3759,5083983.5171,-2866553.3514,17.2942,8.8697,0.0628
SB01-02,189,474973.5128,7026781.8708,350.1116,-26.880440176,116.748023532,333.2755,-2562318.5466,5083983.1717,-2866556.3520,14.9231,5.4781,0.0086
SB01-03,155,474972.5250,7026783.3516,350.1332,-26.880426788,116.748013616,333.2971,-2562317.9772,5083984.2313,-2866555.0387,13.9378,6.9615,0.0302
SB01-04,121,474969.1745,7026783.1521,350.1375,-26.880428530,116.747979877,333.3014,-2562314.9460,5083985.6656,-2866555.2127,10.5854,6.7686,0.0345
SB01-05,100,474969.6514,7026781.2880,350.1413,-26.880445369,116.747984642,333.3052,-2562314.9906,5083984.7022,-2866556.8787,11.0588,4.9027,0.0383
SB01-06,134,474971.6040,7026781.4375,350.1388,-26.880444054,116.748004305,333.3027,-2562316.7640,5083983.8797,-2866556.7476,13.0126,5.0484,0.0358
SB01-07,113,474971.3937,7026778.5152,350.1291,-26.880470435,116.748002129,333.2930,-2562315.9721,5083982.7890,-2866559.3506,12.7964,2.1251,0.0260
SB01-08,168,474973.0158,7026780.0803,350.1304,-26.880456333,116.748018492,333.2942,-2562317.7426,5083982.6891,-2866557.9574,14.4223,3.6878,0.0273
SB01-09,202,474974.6365,7026778.8636,350.1142,-26.880467347,116.748034786,333.2780,-2562318.9335,5083981.4548,-2866559.0386,16.0413,2.4673,0.0111
SB01-10,223,474975.0654,7026782.6112,350.1034,-26.880433520,116.748039179,333.2673,-2562320.0817,5083982.7632,-2866555.6905,16.4778,6.2156,0.0004
SB02-01,231,474973.0023,7026788.2207,350.1627,-26.880382836,116.748018519,333.3267,-2562319.4152,5083986.0019,-2866550.7080,14.4250,11.8318,0.0597
SB02-02,203,474971.8534,7026790.3765,350.1197,-26.880363352,116.748006995,333.2837,-2562318.8147,5083987.3547,-2866548.7628,13.2799,13.9908,0.0167
SB02-03,197,474971.3285,7026787.5701,350.1653,-26.880388680,116.748001653,333.3292,-2562317.7879,5083986.4967,-2866551.2867,12.7491,11.1842,0.0623
SB02-04,218,474969.4168,7026790.1249,350.0805,-26.880365579,116.747982457,333.2445,-2562316.5715,5083988.3212,-2866548.9652,10.8417,13.7440,-0.0225
SB02-05,184,474967.6565,7026789.7072,350.0979,-26.880369319,116.747964725,333.2619,-2562314.9208,5083988.9607,-2866549.3428,9.0798,13.3295,-0.0050
SB02-06,163,474969.1040,7026787.5916,350.1370,-26.880388446,116.747979257,333.3010,-2562315.7946,5083987.4863,-2866551.2508,10.5237,11.2102,0.0341
SB02-07,129,474967.3042,7026786.7553,350.1611,-26.880395964,116.747961119,333.3250,-2562314.0253,5083987.9803,-2866552.0048,8.7214,10.3771,0.0581
SB02-08,108,474968.2771,7026785.2946,350.1297,-26.880409170,116.747970885,333.2936,-2562314.5815,5083986.9276,-2866553.2957,9.6919,8.9138,0.0267
SB02-09,142,474970.1167,7026784.8557,350.1289,-26.880413166,116.747989398,333.2928,-2562316.1338,5083985.9203,-2866553.6903,11.5314,8.4710,0.0259
SB02-10,176,474972.1354,7026785.9237,350.1608,-26.880403559,116.748009745,333.3248,-2562318.1686,5083985.4657,-2866552.7553,13.5531,9.5355,0.0578
SB02-11,210,474974.2015,7026784.5595,350.1430,-26.880415913,116.748030520,333.3069,-2562319.7263,5083983.9696,-2866553.9682,15.6174,8.1666,0.0399
SB03-01,239,474967.8439,7026791.8640,350.0895,-26.880349849,116.747966655,333.2535,-2562315.5276,5083989.7388,-2866547.4146,9.2715,15.4870,-0.0135
SB03-02,205,474966.2019,7026791.0106,350.1220,-26.880357525,116.747950106,333.2861,-2562313.8991,5083990.1614,-2866548.1880,7.6271,14.6364,0.0191
SB03-03,226,474964.7306,7026794.3244,350.1162,-26.880327579,116.747935359,333.2802,-2562313.2635,5083992.1560,-2866545.2257,6.1618,17.9547,0.0132
