#S10-6
#Lat: -26.863117746
#Lon: 116.693438070
#HAE: 325.4532
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,469554.1555,7028670.2881,342.2440,-26.863282530,116.693505514,325.4325,-2557862.7658,5087180.4606,-2864856.9068,6.7025,-18.2593,-0.0207
SB01-02,189,469551.0949,7028673.0987,342.2535,-26.863257087,116.693474772,325.4421,-2557860.6123,5087182.9787,-2864854.3961,3.6474,-15.4400,-0.0112
SB01-03,155,469552.7065,7028673.8487,342.2607,-26.863250352,116.693491015,325.4492,-2557862.2088,5087182.5606,-2864853.7335,5.2616,-14.6937,-0.0040
SB01-04,121,469552.9205,7028677.2125,342.2673,-26.863219985,116.693493251,325.4559,-2557863.0931,5087183.8245,-2864850.7348,5.4838,-11.3288,0.0026
SB01-05,100,469550.9670,7028676.9520,342.2455,-26.863222295,116.693473579,325.4341,-2557861.2858,5087184.5820,-2864850.9533,3.5288,-11.5847,-0.0191
SB01-06,134,469550.8718,7028675.0052,342.2432,-26.863239870,116.693472573,325.4318,-2557860.8002,5087183.8389,-2864852.6895,3.4289,-13.5322,-0.0215
SB01-07,113,469547.9977,7028675.5414,342.2832,-26.863234965,116.693443654,325.4718,-2557858.3588,5087185.3812,-2864852.2228,0.5548,-12.9888,0.0185
SB01-08,168,469549.4195,7028673.7561,342.2883,-26.863251115,116.693457923,325.4768,-2557859.2646,5087184.0258,-2864853.8215,1.9729,-14.7783,0.0236
SB01-09,202,469547.9909,7028672.2872,342.2589,-26.863264347,116.693443505,325.4475,-2557857.6751,5087184.0541,-2864855.1161,0.5401,-16.2444,-0.0058
SB01-10,223,469551.6078,7028671.4122,342.2925,-26.863272325,116.693479895,325.4811,-2557860.7401,5087182.0994,-2864855.9200,4.1565,-17.1285,0.0278
SB02-01,231,469557.4394,7028672.7981,342.2511,-26.863259940,116.693538634,325.4396,-2557866.2174,5087179.9981,-2864854.6770,9.9940,-15.7561,-0.0136
SB02-02,203,469559.7139,7028673.6597,342.2802,-26.863252210,116.693561552,325.4687,-2557868.4377,5087179.3440,-2864853.9261,12.2716,-14.8996,0.0154
SB02-03,197,469556.9821,7028674.5763,342.2727,-26.863243875,116.693534073,325.4612,-2557866.1824,5087180.9376,-2864853.0987,9.5407,-13.9760,0.0080
SB02-04,218,469559.7533,7028676.1624,342.2759,-26.863229616,116.693562009,325.4644,-2557868.9848,5087180.3309,-2864851.6907,12.3170,-12.3960,0.0112
SB02-05,184,469559.5499,7028677.9080,342.2694,-26.863213851,116.693560004,325.4580,-2557869.1588,5087181.1205,-2864850.1294,12.1177,-10.6491,0.0047
SB02-06,163,469557.3344,7028676.7325,342.2911,-26.863224416,116.693537673,325.4797,-2557866.9471,5087181.6621,-2864851.1835,9.8985,-11.8198,0.0264
SB02-07,129,469556.6825,7028678.6796,342.2877,-26.863206822,116.693531157,325.4763,-2557866.7630,5087182.7374,-2864849.4429,9.2510,-9.8702,0.0231
SB02-08,108,469555.1031,7028677.8350,342.2749,-26.863214412,116.693515237,325.4635,-2557865.1736,5087183.0983,-2864850.1874,7.6688,-10.7113,0.0103
SB02-09,142,469554.4738,7028676.0632,342.2906,-26.863230396,116.693508859,325.4792,-2557864.2541,5087182.6805,-2864851.7744,7.0350,-12.4824,0.0259
SB02-10,176,469555.2655,7028673.9311,342.2839,-26.863249663,116.693516777,325.4725,-2557864.5211,5087181.4598,-2864853.6759,7.8219,-14.6173,0.0192
SB02-11,210,469553.7111,7028672.0714,342.2564,-26.863266420,116.693501084,325.4449,-2557862.7398,5087181.3889,-2864855.3199,6.2623,-16.4741,-0.0083
SB03-01,239,469561.6644,7028677.5034,342.2368,-26.863217549,116.693581281,325.4254,-2557870.9517,5087179.9792,-2864850.4803,14.2323,-11.0590,-0.0278
SB03-02,205,469561.0167,7028679.2479,342.2661,-26.863201785,116.693574803,325.4547,-2557870.7428,5087180.9969,-2864848.9352,13.5885,-9.3122,0.0015
SB03-03,226,469564.4446,7028680.3050,342.2669,-26.863192316,116.693609337,325.4556,-2557874.0223,5087179.8795,-2864847.9995,17.0204,-8.2629,0.0023
SB03-04,171,469561.2047,7028681.4533,342.2670,-26.863181878,116.693576749,325.4557,-2557871.3637,5087181.8013,-2864846.9678,13.7819,-7.1063,0.0024
SB03-05,192,469562.9999,7028681.4059,342.2439,-26.863182345,116.693594820,325.4325,-2557872.9485,5087180.9552,-2864847.0035,15.5778,-7.1580,-0.0207
SB03-06,158,469561.1520,7028684.9090,342.2458,-26.863150676,116.693576303,325.4345,-2557872.0174,5087183.2001,-2864843.8739,13.7375,-3.6489,-0.0188
SB03-07,137,469559.7097,7028682.3796,342.2705,-26.863173481,116.693561721,325.4592,-2557870.2197,5087182.8506,-2864846.1394,12.2884,-6.1759,0.0060
SB03-08,124,469560.0377,7028686.5292,342.2680,-26.863136023,116.693565124,325.4567,-2557871.3634,5087184.3723,-2864842.4356,12.6266,-2.0253,0.0034
SB03-09,103,469558.8594,7028684.2853,342.2367,-26.863156257,116.693553209,325.4254,-2557869.8377,5087183.9742,-2864844.4215,11.4424,-4.2673,-0.0279
SB03-10,116,469557.8793,7028681.8634,342.2743,-26.863178102,116.693543283,325.4630,-2557868.4802,5087183.4701,-2864846.5979,10.4560,-6.6879,0.0097
SB03-11,150,469558.5541,7028679.3811,342.2637,-26.863200529,116.693550016,325.4523,-2557868.5693,5087182.1578,-2864848.8099,11.1251,-9.1729,-0.0009
SB04-01,74,469554.5120,7028680.6578,342.2702,-26.863188913,116.693509356,325.4589,-2557865.2231,5087184.4978,-2864847.6647,7.0843,-7.8859,0.0056
SB04-02,95,469556.3745,7028680.7168,342.2852,-26.863188422,116.693528106,325.4738,-2557866.9049,5087183.6947,-2864847.6229,8.9478,-7.8314,0.0206
SB04-03,82,469557.0728,7028683.6329,342.2981,-26.863162108,116.693535207,325.4868,-2557868.1325,5087184.5651,-2864845.0277,9.6535,-4.9157,0.0336
SB04-04,61,469555.2288,7028683.5375,342.2773,-26.863162930,116.693516641,325.4660,-2557866.4572,5087185.3406,-2864845.0995,7.8084,-5.0067,0.0127
SB04-05,48,469554.1339,7028684.9610,342.2851,-26.863150053,116.693505655,325.4738,-2557865.7745,5087186.4133,-2864843.8301,6.7165,-3.5799,0.0206
