#S9-6
#Lat: -26.880021362
#Lon: 116.747491053
#HAE: 333.2606
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,474936.8956,7026817.6894,350.1572,-26.880116124,116.747655574,333.3214,-2562293.2218,5084014.1611,-2866524.3451,16.3477,-10.5003,0.0608
SB01-02,189,474932.8009,7026818.0548,350.1578,-26.880112751,116.747614354,333.3221,-2562289.6406,5084016.1559,-2866524.0121,12.2519,-10.1266,0.0615
SB01-03,155,474933.6249,7026819.6796,350.1692,-26.880098097,116.747622683,333.3335,-2562290.7147,5084016.4481,-2866522.5688,13.0795,-8.5027,0.0729
SB01-04,121,474931.7203,7026822.4482,350.1689,-26.880073066,116.747603562,333.3332,-2562289.5823,5084018.4228,-2866520.0948,11.1796,-5.7291,0.0726
SB01-05,100,474930.3948,7026821.0544,350.1778,-26.880085626,116.747590189,333.3421,-2562288.1160,5084018.4660,-2866521.3402,9.8507,-7.1209,0.0815
SB01-06,134,474931.4708,7026819.4810,350.1611,-26.880099851,116.747600991,333.3254,-2562288.7471,5084017.3332,-2866522.7385,10.9241,-8.6971,0.0648
SB01-07,113,474928.8606,7026818.1701,350.1837,-26.880111640,116.747574684,333.3480,-2562286.1561,5084018.0003,-2866523.9139,8.3101,-10.0034,0.0874
SB01-08,168,474931.0064,7026817.5872,350.1671,-26.880116941,116.747596278,333.3313,-2562287.9459,5084016.7842,-2866524.4304,10.4557,-10.5909,0.0707
SB01-09,202,474930.7864,7026815.5364,350.1600,-26.880135453,116.747594021,333.3243,-2562287.3254,5084016.0513,-2866526.2568,10.2315,-12.6421,0.0636
SB01-10,223,474934.2674,7026817.1182,350.1547,-26.880121235,116.747629102,333.3190,-2562290.7567,5084015.1143,-2866524.8491,13.7173,-11.0666,0.0583
SB02-01,231,474938.0376,7026821.6925,350.1127,-26.880080002,116.747667153,333.2771,-2562295.0459,5084015.2240,-2866520.7550,17.4982,-6.4978,0.0165
SB02-02,203,474939.3360,7026823.7716,350.1031,-26.880061254,116.747680267,333.2675,-2562296.6284,5084015.4687,-2866518.8976,18.8013,-4.4203,0.0069
SB02-03,197,474936.5725,7026822.8184,350.1285,-26.880069810,116.747652423,333.2929,-2562293.9751,5084016.3512,-2866519.7548,16.0346,-5.3684,0.0323
SB02-04,218,474937.8465,7026825.7796,350.0886,-26.880043098,116.747665310,333.2530,-2562295.7048,5084016.9382,-2866517.0966,17.3151,-2.4085,-0.0076
SB02-05,184,474936.6363,7026827.0613,350.0992,-26.880031504,116.747653152,333.2636,-2562294.8917,5084018.0091,-2866515.9556,16.1070,-1.1238,0.0030
SB02-06,163,474935.5773,7026824.7837,350.1274,-26.880052049,116.747642444,333.2918,-2562293.4896,5084017.5913,-2866517.9988,15.0430,-3.4003,0.0312
SB02-07,129,474933.8960,7026825.8802,350.1186,-26.880042118,116.747625537,333.2830,-2562292.2098,5084018.7846,-2866517.0134,13.3631,-2.2999,0.0224
SB02-08,108,474933.1360,7026824.2908,350.1316,-26.880056455,116.747617854,333.2960,-2562291.2100,5084018.4972,-2866518.4362,12.5996,-3.8885,0.0354
SB02-09,142,474933.7115,7026822.5239,350.1351,-26.880072418,116.747623613,333.2994,-2562291.3625,5084017.5282,-2866520.0155,13.1718,-5.6574,0.0388
SB02-10,176,474935.6077,7026821.2868,350.1461,-26.880083621,116.747642680,333.3105,-2562292.8062,5084016.1831,-2866521.1277,15.0665,-6.8987,0.0499
SB02-11,210,474935.4459,7026818.8518,350.1553,-26.880105604,116.747641002,333.3196,-2562292.1653,5084015.2820,-2866523.3045,14.8997,-9.3346,0.0590
SB03-01,239,474938.5615,7026828.0198,350.0999,-26.880022885,116.747672554,333.2644,-2562296.8080,5084017.5276,-2866515.1040,18.0349,-0.1687,0.0037
SB03-02,205,474936.9884,7026829.0055,350.0855,-26.880013957,116.747656736,333.2499,-2562295.5998,5084018.6230,-2866514.2151,16.4631,0.8206,-0.0107
SB03-03,226,474939.0805,7026831.9234,350.1348,-26.879987649,116.747677858,333.2993,-2562298.0871,5084018.8946,-2866511.6373,18.5619,3.7356,0.0387
SB03-04,171,474935.7994,7026830.8803,350.1158,-26.879997008,116.747644802,333.2802,-2562294.9352,5084019.9390,-2866512.5536,15.2773,2.6986,0.0196
SB03-05,192,474937.2906,7026831.8891,350.1067,-26.879987927,116.747659836,333.2711,-2562296.4704,5084019.6657,-2866511.6520,16.7712,3.7049,0.0105
