#S9-5
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,475010.0166,7026769.2430,333.4376,-26.880557040,116.748389182,333.4376,-2562348.4215,5083961.7201,-2866567.9757
SB01-02,475009.5126,7026773.3542,333.4376,-26.880519912,116.748384189,333.4376,-2562348.8156,5083963.6045,-2866564.3062
SB01-03,475011.2405,7026772.8825,333.4376,-26.880524202,116.748401578,333.4376,-2562350.2618,5083962.6349,-2866564.7302
SB01-04,475013.5715,7026775.3254,333.4376,-26.880502187,116.748425096,333.4376,-2562352.8450,5083962.5680,-2866562.5543
SB01-05,475011.9185,7026776.3741,333.4376,-26.880492690,116.748408473,333.4376,-2562351.5842,5083963.7363,-2866561.6157
SB01-06,475010.5995,7026774.9417,333.4376,-26.880505599,116.748395165,333.4376,-2562350.1122,5083963.7540,-2866562.8915
SB01-07,475008.7818,7026777.2307,333.4376,-26.880484900,116.748376909,333.4376,-2562348.9591,5083965.4964,-2866560.8457
SB01-08,475008.6687,7026774.9885,333.4376,-26.880505142,116.748375726,333.4376,-2562348.3977,5083964.6438,-2866562.8463
SB01-09,475006.6375,7026774.7913,333.4376,-26.880506885,116.748355270,333.4376,-2562346.5433,5083965.4806,-2866563.0187
SB01-10,475008.8688,7026771.7458,333.4376,-26.880534423,116.748377675,333.4376,-2562347.9104,5083963.2466,-2866565.7403
SB02-01,475014.1614,7026769.0146,333.4376,-26.880559177,116.748430908,333.4376,-2562352.0757,5083959.7585,-2866568.1868
SB02-02,475016.4515,7026768.1869,333.4376,-26.880566690,116.748453950,333.4376,-2562353.9508,5083958.3919,-2866568.9295
SB02-03,475014.9734,7026770.6388,333.4376,-26.880544526,116.748439117,333.4376,-2562353.1344,5083960.0468,-2866566.7389
SB02-04,475018.0955,7026770.0381,333.4376,-26.880550006,116.748470539,333.4376,-2562355.7990,5083958.3964,-2866567.2805
SB02-05,475019.0864,7026771.4859,333.4376,-26.880536952,116.748480545,333.4376,-2562356.9812,5083958.5330,-2866565.9903
SB02-06,475016.6380,7026772.0776,333.4376,-26.880531566,116.748455906,333.4376,-2562354.9163,5083959.8758,-2866565.4580
SB02-07,475017.4047,7026773.9338,333.4376,-26.880514821,116.748463661,333.4376,-2562355.9821,5083960.2781,-2866563.8030
SB02-08,475015.6444,7026774.3480,333.4376,-26.880511050,116.748445947,333.4376,-2562354.4953,5083961.2391,-2866563.4302
SB02-09,475014.0434,7026773.4323,333.4376,-26.880519288,116.748429809,333.4376,-2562352.8776,5083961.5922,-2866564.2445
SB02-10,475013.2342,7026771.3021,333.4376,-26.880538507,116.748421619,333.4376,-2562351.7175,5083961.0986,-2866566.1440
SB02-11,475010.8204,7026770.9047,333.4376,-26.880542051,116.748397308,333.4376,-2562349.4805,5083962.0273,-2866566.4943
SB03-01,475020.4174,7026769.8375,333.4376,-26.880551859,116.748493913,333.4376,-2562357.8313,5083957.2682,-2866567.4636
SB03-02,475021.0397,7026771.5737,333.4376,-26.880536194,116.748500214,333.4376,-2562358.7435,5083957.6873,-2866565.9154
SB03-03,475024.3777,7026770.1306,333.4376,-26.880549284,116.748533793,333.4376,-2562361.4279,5083955.5999,-2866567.2091
SB03-04,475022.6432,7026773.1119,333.4376,-26.880522335,116.748516389,333.4376,-2562360.4913,5083957.5839,-2866564.5457
SB03-05,475023.9340,7026771.9136,333.4376,-26.880533177,116.748529361,333.4376,-2562361.3978,5083956.5187,-2866565.6172
SB03-06,475024.8354,7026775.7761,333.4376,-26.880498320,116.748538514,333.4376,-2562362.9960,5083957.6688,-2866562.1721
SB03-07,475022.0772,7026774.8086,333.4376,-26.880507006,116.748510724,333.4376,-2562360.3343,5083958.5231,-2866563.0306
SB03-08,475025.1020,7026777.7133,333.4376,-26.880480835,116.748541236,333.4376,-2562363.6318,5083958.3293,-2866560.4440
SB03-09,475022.7191,7026776.7937,333.4376,-26.880489095,116.748517226,333.4376,-2562361.3151,5083959.0336,-2866561.2603
SB03-10,475020.3584,7026775.6006,333.4376,-26.880499825,116.748493434,333.4376,-2562358.9620,5083959.6176,-2866562.3208
SB03-11,475019.2860,7026773.2715,333.4376,-26.880520834,116.748482590,333.4376,-2562357.5261,5083959.1626,-2866564.3973
SB04-01,475017.0673,7026776.8774,333.4376,-26.880488238,116.748460324,333.4376,-2562356.2854,5083961.6167,-2866561.1757
SB04-02,475018.4753,7026775.7066,333.4376,-26.880498834,116.748474477,333.4376,-2562357.3023,5083960.5097,-2866562.2229
SB04-03,475020.9491,7026777.4586,333.4376,-26.880483060,116.748499419,333.4376,-2562359.8711,5083960.0999,-2866560.6639
SB04-04,475019.4641,7026778.5913,333.4376,-26.880472806,116.748484490,333.4376,-2562358.7777,5083961.2263,-2866559.6505
SB04-05,475019.5569,7026780.4182,333.4376,-26.880456314,116.748485461,333.4376,-2562359.2357,5083961.9207,-2866558.0204
SB04-06,475018.9435,7026782.1788,333.4376,-26.880440407,116.748479320,333.4376,-2562359.0495,5083962.9070,-2866556.4482
SB04-07,475017.4846,7026779.1940,333.4376,-26.880467329,116.748464572,333.4376,-2562357.1338,5083962.3621,-2866559.1091
SB04-08,475016.7631,7026782.0660,333.4376,-26.880441386,116.748457365,333.4376,-2562357.0793,5083963.8451,-2866556.5451
SB04-09,475015.7479,7026778.7361,333.4376,-26.880471433,116.748447077,333.4376,-2562355.4889,5083962.9609,-2866559.5147
SB04-10,475013.9021,7026778.4805,333.4376,-26.880473707,116.748428487,333.4376,-2562353.7881,5083963.6905,-2866559.7395
SB04-11,475015.2098,7026776.4847,333.4376,-26.880491750,116.748441614,333.4376,-2562354.5460,5083962.2963,-2866561.5227
SB05-01,475011.1331,7026778.1064,333.4376,-26.880477036,116.748400601,333.4376,-2562351.2386,5083964.7888,-2866560.0685
SB05-02,475013.2297,7026780.1282,333.4376,-26.880458819,116.748421750,333.4376,-2562353.5260,5083964.6579,-2866558.2680
SB05-03,475015.0643,7026780.7680,333.4376,-26.880453075,116.748440234,333.4376,-2562355.2957,5083964.0882,-2866557.7004
SB05-04,475013.7300,7026782.0142,333.4376,-26.880441799,116.748426825,333.4376,-2562354.3601,5083965.1924,-2866556.5859
SB05-05,475013.5527,7026784.7580,333.4376,-26.880417023,116.748425095,333.4376,-2562354.7652,5083966.3782,-2866554.1372
SB05-06,475011.7077,7026784.8012,333.4376,-26.880416600,116.748406519,333.4376,-2562353.1265,5083967.2279,-2866554.0954
SB05-07,475011.6165,7026782.0671,333.4376,-26.880441284,116.748405547,333.4376,-2562352.4837,5083966.1670,-2866556.5350
SB05-08,475011.1872,7026780.3024,333.4376,-26.880457209,116.748401189,333.4376,-2562351.7378,5083965.6495,-2866558.1089
SB05-09,475008.2989,7026781.3236,333.4376,-26.880447938,116.748372129,333.4376,-2562349.3684,5083967.3638,-2866557.1926
SB05-10,475009.4253,7026779.9470,333.4376,-26.880460386,116.748383442,333.4376,-2562350.0915,5083966.3010,-2866558.4229
SB06-01,475027.1055,7026773.2389,333.4376,-26.880521269,116.748561320,333.4376,-2562364.5021,5083955.6222,-2866564.4402
SB06-02,475026.3446,7026771.0235,333.4376,-26.880541257,116.748553614,333.4376,-2562363.3676,5083955.0726,-2866566.4158
SB06-03,475029.1543,7026774.3368,333.4376,-26.880511393,116.748581969,333.4376,-2562366.5571,5083955.1406,-2866563.4641
SB06-04,475031.6877,7026775.6643,333.4376,-26.880499453,116.748607503,333.4376,-2562369.0920,5083954.5328,-2866562.2840
SB06-05,475031.2856,7026777.3380,333.4376,-26.880484334,116.748603488,333.4376,-2562369.0766,5083955.3888,-2866560.7898
SB06-06,475028.2745,7026775.8357,333.4376,-26.880497844,116.748573141,333.4376,-2562366.0792,5083956.1416,-2866562.1250
SB06-07,475029.1705,7026777.5322,333.4376,-26.880482543,116.748582196,333.4376,-2562367.2278,5083956.4211,-2866560.6127
SB06-08,475027.6413,7026779.9175,333.4376,-26.880460979,116.748566847,333.4376,-2562366.3520,5083958.0723,-2866558.4815
SB06-09,475025.9534,7026779.5409,333.4376,-26.880464350,116.748549846,333.4376,-2562364.7675,5083958.6818,-2866558.8146
SB06-10,475027.3410,7026777.4100,333.4376,-26.880483614,116.748563774,333.4376,-2562365.5690,5083957.1971,-2866560.7186
SB06-11,475026.4366,7026774.9004,333.4376,-26.880506255,116.748554617,333.4376,-2562364.2460,5083956.5937,-2866562.9564
SB07-01,475022.3938,7026779.7109,333.4376,-26.880462751,116.748514010,333.4376,-2562361.6237,5083960.3560,-2866558.6566
SB07-02,475024.1145,7026779.2746,333.4376,-26.880466720,116.748531325,333.4376,-2562363.0706,5083959.4041,-2866559.0490
SB07-03,475022.8408,7026781.8636,333.4376,-26.880443323,116.748518553,333.4376,-2562362.4649,5083961.0220,-2866556.7365
SB07-04,475025.5646,7026781.7024,333.4376,-26.880444827,116.748545974,333.4376,-2562364.8641,5083959.7284,-2866556.8851
SB07-05,475026.0325,7026784.3111,333.4376,-26.880421283,116.748550737,333.4376,-2562365.8176,5083960.5687,-2866554.5581
SB07-06,475023.5617,7026783.9880,333.4376,-26.880424155,116.748525854,333.4376,-2562363.5449,5083961.5530,-2866554.8420
SB07-07,475023.1748,7026785.7714,333.4376,-26.880408046,116.748521994,333.4376,-2562363.5657,5083962.4463,-2866553.2499
SB07-08,475019.9536,7026786.1888,333.4376,-26.880404220,116.748489570,333.4376,-2562360.7749,5083964.0676,-2866552.8718
SB07-09,475021.5663,7026783.6218,333.4376,-26.880427425,116.748505756,333.4376,-2562361.6879,5083962.3056,-2866555.1652
SB07-10,475019.5964,7026783.7953,333.4376,-26.880425824,116.748485926,333.4376,-2562359.9644,5083963.2640,-2866555.0069
SB07-11,475021.0927,7026781.2992,333.4376,-26.880448388,116.748500941,333.4376,-2562360.7880,5083961.5831,-2866557.2370
SB08-01,475029.5942,7026780.9668,333.4376,-26.880451541,116.748586531,333.4376,-2562368.3115,5083957.6142,-2866557.5487
SB08-02,475030.9292,7026779.2754,333.4376,-26.880466835,116.748599938,333.4376,-2562369.1562,5083956.3304,-2866559.0603
SB08-03,475032.6241,7026779.7119,333.4376,-26.880462925,116.748617012,333.4376,-2562370.7594,5083955.7418,-2866558.6739
SB08-04,475033.1328,7026781.3997,333.4376,-26.880447695,116.748622168,333.4376,-2562371.5602,5083956.1926,-2866557.1686
SB08-05,475034.5875,7026782.6802,333.4376,-26.880436161,116.748636839,333.4376,-2562373.1222,5083956.0525,-2866556.0286
SB08-06,475031.2928,7026783.0591,333.4376,-26.880432680,116.748603675,333.4376,-2562370.2580,5083957.6913,-2866555.6846
SB08-07,475029.9274,7026784.2238,333.4376,-26.880422140,116.748589951,333.4376,-2562369.2779,5083958.7766,-2866554.6429
SB08-08,475027.9344,7026784.2014,333.4376,-26.880422307,116.748569884,333.4376,-2562367.4935,5083959.6666,-2866554.6593
SB08-09,475028.8988,7026782.6767,333.4376,-26.880436090,116.748579563,333.4376,-2562368.0416,5083958.6171,-2866556.0216
SB08-10,475027.1035,7026782.6271,333.4376,-26.880436506,116.748561487,333.4376,-2562366.4282,5083959.4069,-2866556.0627
SB09-01,475024.2761,7026787.4771,333.4376,-26.880392666,116.748533117,333.4376,-2562364.8994,5083962.6370,-2866551.7298
SB09-02,475024.9910,7026785.7721,333.4376,-26.880408073,116.748540280,333.4376,-2562365.1876,5083961.6274,-2866553.2525
SB09-03,475026.7849,7026786.0271,333.4376,-26.880405803,116.748558347,333.4376,-2562366.8420,5083960.9209,-2866553.0282
SB09-04,475028.5534,7026787.6454,333.4376,-26.880391223,116.748576185,333.4376,-2562368.7535,5083960.7755,-2866551.5871
SB09-05,475025.2410,7026789.1155,333.4376,-26.880377891,116.748542864,333.4376,-2562366.0975,5083962.8621,-2866550.2695
SB09-06,475027.0636,7026790.6863,333.4376,-26.880363741,116.748561246,333.4376,-2562368.0476,5083962.6731,-2866548.8710
SB09-07,475025.7327,7026791.9337,333.4376,-26.880352455,116.748547871,333.4376,-2562367.1153,5083963.7761,-2866547.7556
SB09-08,475024.3910,7026790.7278,333.4376,-26.880363318,116.748534338,333.4376,-2562365.6695,5083963.8953,-2866548.8292
SB09-09,475023.0250,7026788.8040,333.4376,-26.880380663,116.748520546,333.4376,-2562364.0546,5083963.7362,-2866550.5435
SB09-10,475020.2656,7026788.6457,333.4376,-26.880382044,116.748492761,333.4376,-2562361.5581,5083964.9170,-2866550.6799
SB09-11,475021.6449,7026786.9121,333.4376,-26.880397720,116.748506613,333.4376,-2562362.4337,5083963.5962,-2866552.2293
SB10-01,475031.2688,7026785.3336,333.4376,-26.880412144,116.748603479,333.4376,-2562370.7036,5083958.6189,-2866553.6549
SB10-02,475032.7959,7026784.0667,333.4376,-26.880423610,116.748618828,333.4376,-2562371.8071,5083957.4194,-2866554.7881
SB10-03,475035.9588,7026784.6678,333.4376,-26.880418239,116.748650686,333.4376,-2562374.7549,5083956.2350,-2866554.2573
SB10-04,475033.8482,7026786.2770,333.4376,-26.880403673,116.748629468,333.4376,-2562373.2007,5083957.8356,-2866552.8176
SB10-05,475035.8073,7026789.2861,333.4376,-26.880376540,116.748649252,333.4376,-2562375.5680,5083958.1647,-2866550.1359
