#S10-2
#Lat: -26.863709239
#Lon: 116.693937228
#HAE: 325.5769
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,469615.8880,7028628.2617,342.3830,-26.863663317,116.694125943,325.5709,-2557909.3428,5087135.8388,-2864894.6099,18.7544,5.0885,-0.0060
SB01-02,189,469612.8788,7028625.4433,342.3880,-26.863688698,116.694095582,325.5759,-2557906.0782,5087136.0628,-2864897.1210,15.7372,2.2761,-0.0010
SB01-03,155,469612.2311,7028627.1311,342.3817,-26.863673445,116.694089103,325.5696,-2557905.8435,5087137.0294,-2864895.6105,15.0933,3.9662,-0.0073
SB01-04,121,469608.8918,7028627.5839,342.3933,-26.863669284,116.694055497,325.5812,-2557902.9580,5087138.7250,-2864895.2044,11.7535,4.4273,0.0043
SB01-05,100,469609.0340,7028625.6632,342.3669,-26.863686629,116.694056882,325.5548,-2557902.6802,5087137.8663,-2864896.9070,11.8912,2.5053,-0.0221
SB01-06,134,469610.9287,7028625.3979,342.3761,-26.863689065,116.694075949,325.5640,-2557904.3220,5087136.9134,-2864897.1519,13.7861,2.2354,-0.0129
SB01-07,113,469610.1638,7028622.5856,342.3812,-26.863714440,116.694068181,325.5691,-2557903.0637,5087136.1291,-2864899.6625,13.0141,-0.5763,-0.0078
SB01-08,168,469612.0350,7028623.8369,342.3518,-26.863703183,116.694087048,325.5397,-2557904.9802,5087135.7669,-2864898.5365,14.8891,0.6710,-0.0373
SB01-09,202,469613.3517,7028622.2535,342.3654,-26.863717508,116.694100265,325.5532,-2557905.8369,5087134.5468,-2864899.9586,16.2026,-0.9163,-0.0237
SB01-10,223,469614.5577,7028625.8852,342.3826,-26.863684745,116.694112494,325.5704,-2557907.6665,5087135.4803,-2864896.7278,17.4179,2.7141,-0.0065
SB02-01,231,469613.6883,7028631.7530,342.4102,-26.863631747,116.694103884,325.5981,-2557908.1052,5087138.2575,-2864891.5016,16.5622,8.5866,0.0212
SB02-02,203,469613.0269,7028634.0593,342.3916,-26.863610911,116.694097282,325.5795,-2557907.9803,5087139.4695,-2864889.4334,15.9062,10.8955,0.0026
SB02-03,197,469611.8768,7028631.4704,342.3843,-26.863634260,116.694085641,325.5723,-2557906.4186,5087138.9390,-2864891.7382,14.7493,8.3083,-0.0046
SB02-04,218,469610.5453,7028634.3548,342.3803,-26.863608188,116.694072307,325.5683,-2557905.8196,5087140.6973,-2864889.1593,13.4242,11.1971,-0.0086
SB02-05,184,469608.7367,7028634.3082,342.3502,-26.863608570,116.694054099,325.5382,-2557904.1822,5087141.4692,-2864889.1834,11.6146,11.1549,-0.0387
SB02-06,163,469609.7567,7028631.9901,342.3826,-26.863629521,116.694064312,325.5706,-2557904.6307,5087140.1018,-2864891.2691,12.6295,8.8333,-0.0063
SB02-07,129,469607.8184,7028631.5016,342.3901,-26.863633890,116.694044786,325.5780,-2557902.8018,5087140.7840,-2864891.7042,10.6891,8.3492,0.0011
SB02-08,108,469608.4634,7028629.8519,342.3983,-26.863648798,116.694051240,325.5863,-2557903.0428,5087139.8356,-2864893.1816,11.3305,6.6973,0.0094
SB02-09,142,469610.1299,7028629.0920,342.3964,-26.863655696,116.694067998,325.5843,-2557904.3747,5087138.7773,-2864893.8626,12.9958,5.9330,0.0074
SB02-10,176,469612.3758,7028629.6829,342.3839,-26.863650410,116.694090621,325.5719,-2557906.4973,5087137.9939,-2864893.3344,15.2441,6.5187,-0.0051
SB02-11,210,469614.1233,7028627.9282,342.3976,-26.863666289,116.694108171,325.5855,-2557907.7038,5087136.5109,-2864894.9103,16.9882,4.7591,0.0086
