#S8-1
#Lat: -26.856150423
#Lon: 116.729640683
#HAE: 330.1044
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,473126.5122,7029456.5963,346.8758,-26.856256600,116.729484712,330.0733,-2561216.8527,5085891.0873,-2864164.4719,-15.5014,-11.7651,-0.0311
SB01-02,189,473128.3010,7029460.3791,346.8779,-26.856222480,116.729502800,330.0755,-2561219.2273,5085891.8059,-2864161.1000,-13.7037,-7.9844,-0.0289
SB01-03,155,473129.4925,7029459.0705,346.8893,-26.856234318,116.729514766,330.0869,-2561220.0275,5085890.7508,-2864162.2754,-12.5144,-9.2961,-0.0175
SB01-04,121,473132.7653,7029459.8334,346.8742,-26.856227493,116.729547726,330.0718,-2561223.1009,5085889.5705,-2864161.5939,-9.2386,-8.5399,-0.0326
SB01-05,100,473131.9285,7029461.6634,346.8794,-26.856210954,116.729539342,330.0770,-2561222.7311,5085890.6889,-2864159.9613,-10.0719,-6.7072,-0.0273
SB01-06,134,473130.0686,7029461.0849,346.8987,-26.856216142,116.729520608,330.0963,-2561220.9591,5085891.3098,-2864160.4828,-11.9338,-7.2821,-0.0081
SB01-07,113,473129.7573,7029464.0413,346.9183,-26.856189444,116.729517538,330.1159,-2561221.2956,5085892.6562,-2864157.8524,-12.2389,-4.3237,0.0115
SB01-08,168,473128.4356,7029462.1675,346.9036,-26.856206336,116.729504193,330.1013,-2561219.7248,5085892.4859,-2864159.5157,-13.5652,-6.1955,-0.0031
SB01-09,202,473126.6395,7029463.0925,346.9320,-26.856197950,116.729486133,330.1296,-2561218.3218,5085893.6907,-2864158.6995,-15.3601,-5.2663,0.0252
SB01-10,223,473126.8706,7029459.3139,346.8934,-26.856232070,116.729488378,330.0910,-2561217.7374,5085892.0341,-2864162.0550,-15.1370,-9.0470,-0.0134
SB02-01,231,473129.8606,7029454.1977,346.8487,-26.856278320,116.729518366,330.0462,-2561219.3401,5085888.5902,-2864166.6068,-12.1566,-14.1718,-0.0582
SB02-02,203,473131.3730,7029452.2717,346.8810,-26.856295738,116.729533549,330.0785,-2561220.3086,5085887.1585,-2864168.3433,-10.6476,-16.1019,-0.0259
SB02-03,197,473131.4540,7029455.1606,346.8527,-26.856269657,116.729534426,330.0502,-2561220.9623,5085888.2627,-2864165.7522,-10.5604,-13.2119,-0.0542
SB02-04,218,473133.7696,7029452.9713,346.8649,-26.856289468,116.729557689,330.0624,-2561222.5861,5085886.3469,-2864167.7162,-8.2484,-15.4071,-0.0420
SB02-05,184,473135.3867,7029453.6794,346.8775,-26.856283106,116.729573982,330.0750,-2561224.1806,5085885.9130,-2864167.0930,-6.6292,-14.7022,-0.0294
SB02-06,163,473133.6136,7029455.4638,346.8616,-26.856266961,116.729556172,330.0591,-2561222.9569,5085887.4183,-2864165.4898,-8.3992,-12.9132,-0.0453
SB02-07,129,473135.2651,7029456.6680,346.8681,-26.856256120,116.729572822,330.0657,-2561224.6816,5085887.1639,-2864164.4211,-6.7444,-11.7120,-0.0387
SB02-08,108,473133.9991,7029457.9140,346.8793,-26.856244846,116.729560105,330.0768,-2561223.8110,5085888.2453,-2864163.3116,-8.0083,-10.4627,-0.0276
SB02-09,142,473132.1777,7029457.9958,346.8819,-26.856244073,116.729541772,330.0795,-2561222.2022,5085889.1015,-2864163.2364,-9.8303,-10.3770,-0.0249
SB02-10,176,473130.3236,7029456.6176,346.8878,-26.856256481,116.729523078,330.0853,-2561220.2658,5085889.3871,-2864164.4656,-11.6883,-11.7519,-0.0191
SB02-11,210,473128.0839,7029457.6060,346.8865,-26.856247514,116.729500554,330.0841,-2561218.4678,5085890.7939,-2864163.5786,-13.9268,-10.7583,-0.0203
SB03-01,239,473135.5768,7029451.5165,346.8758,-26.856302638,116.729575850,330.0733,-2561223.9060,5085884.9549,-2864169.0230,-6.4435,-16.8664,-0.0312
SB03-02,205,473137.0871,7029452.6863,346.8842,-26.856292105,116.729591077,330.0817,-2561225.4982,5085884.7519,-2864167.9856,-4.9302,-15.6993,-0.0227
SB03-03,226,473139.1232,7029449.6616,346.9037,-26.856319453,116.729611509,330.1011,-2561226.7038,5085882.6313,-2864170.6979,-2.8995,-18.7297,-0.0033
SB03-04,171,473139.2549,7029453.1456,346.8712,-26.856288000,116.729612909,330.0687,-2561227.5232,5085883.9491,-2864167.5739,-2.7604,-15.2445,-0.0357
SB03-05,192,473139.7402,7029451.4060,346.8865,-26.856303716,116.729617757,330.0840,-2561227.6059,5085883.0419,-2864169.1344,-2.2786,-16.9859,-0.0205
SB03-06,158,473142.5515,7029454.2028,346.8699,-26.856278519,116.729646115,330.0675,-2561230.6838,5085882.8876,-2864166.6361,0.5399,-14.1939,-0.0369
SB03-07,137,473139.6944,7029454.8329,346.8606,-26.856272774,116.729617369,330.0581,-2561228.2578,5085884.4219,-2864166.0640,-2.3171,-13.5574,-0.0463
SB03-08,124,473143.7894,7029455.6788,346.8456,-26.856265216,116.729658608,330.0431,-2561232.0825,5085882.9045,-2864165.3100,1.7815,-12.7198,-0.0613
SB03-09,103,473141.2954,7029456.1681,346.8653,-26.856260750,116.729633513,330.0629,-2561229.9634,5085884.2417,-2864164.8775,-0.7126,-12.2250,-0.0415
SB03-10,116,473138.6202,7029456.4243,346.8593,-26.856258385,116.729606591,330.0569,-2561227.6245,5085885.5461,-2864164.6410,-3.3883,-11.9629,-0.0475
SB03-11,150,473136.5074,7029455.0633,346.8760,-26.856270633,116.729585293,330.0735,-2561225.4649,5085885.9639,-2864165.8593,-5.5050,-13.3201,-0.0309
SB04-01,74,473136.5478,7029459.2670,346.8641,-26.856232680,116.729585790,330.0617,-2561226.3588,5085887.6290,-2864162.1020,-5.4556,-9.1146,-0.0427
SB04-02,95,473137.1055,7029457.5785,346.8611,-26.856247936,116.729591368,330.0587,-2561226.5092,5085886.6952,-2864163.6088,-4.9012,-10.8050,-0.0457
SB04-03,82,473140.1400,7029457.7288,346.8579,-26.856246636,116.729621916,330.0554,-2561229.2488,5085885.3852,-2864163.4789,-1.8651,-10.6611,-0.0490
SB04-04,61,473139.4988,7029459.4627,346.8662,-26.856230970,116.729615499,330.0638,-2561229.0353,5085886.3791,-2864161.9339,-2.5030,-8.9251,-0.0406
SB04-05,48,473140.5414,7029460.9252,346.8519,-26.856217785,116.729626026,330.0495,-2561230.2608,5085886.4866,-2864160.6241,-1.4567,-7.4642,-0.0549
SB04-06,27,473140.9644,7029462.7563,346.8747,-26.856201261,116.729630323,330.0723,-2561231.0234,5085887.0515,-2864159.0009,-1.0297,-5.6332,-0.0321
SB04-07,40,473138.1657,7029461.0263,346.8558,-26.856216826,116.729602114,330.0534,-2561228.1614,5085887.6015,-2864160.5311,-3.8332,-7.3579,-0.0510
