#S9-1
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,474988.1073,7026735.4934,333.5376,-26.880861361,116.748167915,333.5376,-2562321.9662,5083958.0802,-2866598.0983
SB01-02,474992.1589,7026736.3539,333.5376,-26.880853664,116.748208726,333.5376,-2562325.7609,5083956.5994,-2866597.3377
SB01-03,474991.8396,7026734.5914,333.5376,-26.880869572,116.748205476,333.5376,-2562325.1138,5083956.0331,-2866598.9099
SB01-04,474994.4764,7026732.4822,333.5376,-26.880888663,116.748231982,333.5376,-2562327.0353,5083953.9936,-2866600.7967
SB01-05,474995.3770,7026734.2203,333.5376,-26.880872985,116.748241084,333.5376,-2562328.1965,5083954.2879,-2866599.2472
SB01-06,474993.8351,7026735.4095,333.5376,-26.880862221,116.748225583,333.5376,-2562327.0638,5083955.4627,-2866598.1834
SB01-07,474995.9570,7026737.4197,333.5376,-26.880844110,116.748246988,333.5376,-2562329.3714,5083955.3158,-2866596.3933
SB01-08,474993.7135,7026737.3369,333.5376,-26.880844817,116.748224397,333.5376,-2562327.3510,5083956.2944,-2866596.4632
SB01-09,474993.3400,7026739.3433,333.5376,-26.880826695,116.748220677,333.5376,-2562327.4295,5083957.2715,-2866594.6722
SB01-10,474990.5005,7026736.8550,333.5376,-26.880849110,116.748192038,333.5376,-2562324.3829,5083957.5494,-2866596.8875
SB02-01,474988.2410,7026731.3446,333.5376,-26.880898822,116.748169178,333.5376,-2562321.2336,5083956.3477,-2866601.8008
SB02-02,474987.6161,7026728.9910,333.5376,-26.880920060,116.748162839,333.5376,-2562320.1922,5083955.6810,-2866603.8998
SB02-03,474989.9298,7026730.6772,333.5376,-26.880904878,116.748186169,333.5376,-2562322.6046,5083955.3169,-2866602.3993
SB02-04,474989.6035,7026727.5146,333.5376,-26.880933425,116.748182820,333.5376,-2562321.6637,5083954.1895,-2866605.2208
SB02-05,474991.1321,7026726.6537,333.5376,-26.880941226,116.748198194,333.5376,-2562322.8520,5083953.1530,-2866605.9918
SB02-06,474991.5082,7026729.1443,333.5376,-26.880918746,116.748202030,333.5376,-2562323.6993,5083953.9872,-2866603.7700
SB02-07,474993.4241,7026728.5423,333.5376,-26.880924215,116.748221308,333.5376,-2562325.2866,5083952.8803,-2866604.3105
SB02-08,474993.6834,7026730.3320,333.5376,-26.880908062,116.748223954,333.5376,-2562325.8856,5083953.4847,-2866602.7140
SB02-09,474992.6317,7026731.8471,333.5376,-26.880894363,116.748213395,333.5376,-2562325.2576,5083954.5698,-2866601.3601
SB02-10,474990.4390,7026732.4675,333.5376,-26.880888722,116.748191331,333.5376,-2562323.4270,5083955.8089,-2866600.8026
SB02-11,474989.8328,7026734.8375,333.5376,-26.880867313,116.748185275,333.5376,-2562323.3723,5083957.0375,-2866598.6867
SB03-01,474989.6060,7026725.1840,333.5376,-26.880954468,116.748182799,333.5376,-2562321.1874,5083953.2490,-2866607.3005
SB03-02,474991.3899,7026724.7154,333.5376,-26.880958730,116.748200750,333.5376,-2562322.6841,5083952.2555,-2866607.7218
SB03-03,474990.2432,7026721.2644,333.5376,-26.880989868,116.748189135,333.5376,-2562320.9514,5083951.3819,-2866610.7993
SB03-04,474993.0620,7026723.2521,333.5376,-26.880971972,116.748217556,333.5376,-2562323.8768,5083950.9115,-2866609.0306
SB03-05,474991.9807,7026721.8618,333.5376,-26.880984505,116.748206642,333.5376,-2562322.6257,5083950.8389,-2866610.2693
SB03-06,474995.9071,7026721.3005,333.5376,-26.880989644,116.748246163,333.5376,-2562326.0166,5083948.8416,-2866610.7771
SB03-07,474994.7029,7026723.9638,333.5376,-26.880965575,116.748234092,333.5376,-2562325.4882,5083950.4582,-2866608.3984
SB03-08,474997.8601,7026721.2037,333.5376,-26.880990552,116.748265825,333.5376,-2562327.7408,5083947.9216,-2866610.8669
SB03-09,474996.7364,7026723.4974,333.5376,-26.880969824,116.748254556,333.5376,-2562327.2083,5083949.3530,-2866608.8182
SB03-10,474995.3420,7026725.7452,333.5376,-26.880949504,116.748240563,333.5376,-2562326.4248,5083950.8878,-2866606.8100
SB03-11,474992.9284,7026726.6105,333.5376,-26.880941648,116.748216278,333.5376,-2562324.4471,5083952.3253,-2866606.0335
SB04-01,474996.3271,7026729.1349,333.5376,-26.880918917,116.748250549,333.5376,-2562328.0006,5083951.8097,-2866603.7868
SB04-02,474995.2835,7026727.6303,333.5376,-26.880932483,116.748240011,333.5376,-2562326.7597,5083951.6740,-2866605.1277
SB04-03,474997.2445,7026725.3185,333.5376,-26.880953390,116.748259709,333.5376,-2562328.0361,5083949.8578,-2866607.1940
SB04-04,474998.2435,7026726.8966,333.5376,-26.880939160,116.748269799,333.5376,-2562329.2522,5083950.0432,-2866605.7876
SB04-05,475000.0715,7026726.9634,333.5376,-26.880938590,116.748288205,333.5376,-2562330.8983,5083949.2455,-2866605.7312
SB04-06,475001.7720,7026727.7280,333.5376,-26.880931717,116.748305341,333.5376,-2562332.5738,5083948.7866,-2866605.0520
SB04-07,474998.6714,7026728.9211,333.5376,-26.880920889,116.748274147,333.5376,-2562330.0501,5083950.6661,-2866603.9818
SB04-08,475001.4695,7026729.8902,333.5376,-26.880912190,116.748302340,333.5376,-2562332.7478,5083949.7945,-2866603.1220
SB04-09,474998.0638,7026730.6113,333.5376,-26.880905618,116.748268064,333.5376,-2562329.8546,5083951.6214,-2866602.4725
SB04-10,474997.6483,7026732.4278,333.5376,-26.880889210,116.748263917,333.5376,-2562329.8566,5083952.5409,-2866600.8508
SB04-11,474995.7741,7026730.9511,333.5376,-26.880902509,116.748245017,333.5376,-2562327.8797,5083952.7912,-2866602.1652
SB05-01,474997.0343,7026735.1537,333.5376,-26.880864588,116.748257789,333.5376,-2562329.8681,5083953.9165,-2866598.4173
SB05-02,474999.2311,7026733.2413,333.5376,-26.880881894,116.748279869,333.5376,-2562331.4371,5083952.1549,-2866600.1277
SB05-03,475000.0284,7026731.4694,333.5376,-26.880897905,116.748287861,333.5376,-2562331.7852,5083951.0811,-2866601.7102
SB05-04,475001.1536,7026732.9073,333.5376,-26.880884944,116.748299219,333.5376,-2562333.0852,5083951.1530,-2866600.4292
SB05-05,475003.8715,7026733.3231,333.5376,-26.880881239,116.748326592,333.5376,-2562335.5977,5083950.0946,-2866600.0630
SB05-06,475003.7537,7026735.1648,333.5376,-26.880864608,116.748325443,333.5376,-2562335.8707,5083950.8901,-2866598.4193
SB05-07,475001.0221,7026735.0173,333.5376,-26.880865891,116.748297937,333.5376,-2562333.4011,5083952.0628,-2866598.5461
SB05-08,474999.2267,7026735.2912,333.5376,-26.880863385,116.748279866,333.5376,-2562331.8541,5083952.9830,-2866598.2985
SB05-09,474999.9922,7026738.2575,333.5376,-26.880836618,116.748287633,333.5376,-2562333.1469,5083953.8332,-2866595.6529
SB05-10,474998.7191,7026737.0155,333.5376,-26.880847809,116.748274789,333.5376,-2562331.7549,5083953.9069,-2866596.7590
SB06-01,474993.5774,7026718.8178,333.5376,-26.881012017,116.748222657,333.5376,-2562323.4264,5083948.8918,-2866612.9884
SB06-02,474991.3041,7026719.3828,333.5376,-26.881006875,116.748199779,333.5376,-2562321.5124,5083950.1450,-2866612.4802
SB06-03,474994.8497,7026716.8725,333.5376,-26.881029603,116.748235428,333.5376,-2562324.1631,5083947.5339,-2866614.7265
SB06-04,474996.3929,7026714.4644,333.5376,-26.881051373,116.748250918,333.5376,-2562325.0466,5083945.8672,-2866616.8781
SB06-05,474998.0252,7026715.0110,333.5376,-26.881046468,116.748267363,333.5376,-2562326.6165,5083945.3512,-2866616.3933
SB06-06,474996.2662,7026717.8797,333.5376,-26.881020535,116.748249710,333.5376,-2562325.6348,5083947.3009,-2866613.8303
SB06-07,474998.0344,7026717.1349,333.5376,-26.881027292,116.748267498,333.5376,-2562327.0608,5083946.2031,-2866614.4980
SB06-08,475000.2773,7026718.8662,333.5376,-26.881011700,116.748290115,333.5376,-2562329.4192,5083945.8892,-2866612.9571
SB06-09,474999.7550,7026720.5148,333.5376,-26.880996807,116.748284889,333.5376,-2562329.2914,5083946.7892,-2866611.4851
SB06-10,474997.7531,7026718.9467,333.5376,-26.881010928,116.748264702,333.5376,-2562327.1817,5083947.0602,-2866612.8807
SB06-11,474995.1743,7026719.6290,333.5376,-26.881004721,116.748238751,333.5376,-2562325.0190,5083948.4985,-2866612.2673
SB07-01,474999.6141,7026724.0757,333.5376,-26.880964654,116.748283542,333.5376,-2562329.8968,5083948.2880,-2866608.3073
SB07-02,474999.3295,7026722.3236,333.5376,-26.880980468,116.748280641,333.5376,-2562329.2829,5083947.7102,-2866609.8703
SB07-03,475001.7976,7026723.8180,333.5376,-26.880967019,116.748305521,333.5376,-2562331.7937,5083947.1992,-2866608.5410
SB07-04,475001.8744,7026721.0906,333.5376,-26.880991646,116.748306240,333.5376,-2562331.3022,5083946.0653,-2866610.9750
SB07-05,475004.5139,7026720.8518,333.5376,-26.880993849,116.748332811,333.5376,-2562333.6102,5083944.7784,-2866611.1928
SB07-06,475003.9767,7026723.2850,333.5376,-26.880971871,116.748327451,333.5376,-2562333.6302,5083946.0014,-2866609.0205
SB07-07,475005.7196,7026723.8259,333.5376,-26.880967019,116.748345010,333.5376,-2562335.2977,5083945.4332,-2866608.5410
SB07-08,475005.8547,7026727.0712,333.5376,-26.880937720,116.748346435,333.5376,-2562336.0847,5083946.6803,-2866605.6453
SB07-09,475003.4380,7026725.2409,333.5376,-26.880954202,116.748322067,333.5376,-2562333.5509,5083947.0327,-2866607.2742
SB07-10,475003.4392,7026727.2185,333.5376,-26.880936347,116.748322118,333.5376,-2562333.9580,5083947.8292,-2866605.5096
SB07-11,475001.0829,7026725.5103,333.5376,-26.880951728,116.748298360,333.5376,-2562331.5031,5083948.2036,-2866607.0297
SB08-01,475001.4928,7026717.0121,333.5376,-26.881028462,116.748302316,333.5376,-2562330.1239,5083944.5936,-2866614.6137
SB08-02,474999.9242,7026715.5348,333.5376,-26.881041772,116.748286494,333.5376,-2562328.4198,5083944.7058,-2866615.9292
SB08-03,475000.5067,7026713.8844,333.5376,-26.881056683,116.748292325,333.5376,-2562328.6011,5083943.7778,-2866617.4030
SB08-04,475002.2325,7026713.5247,333.5376,-26.881059962,116.748309694,333.5376,-2562330.0683,5083942.8544,-2866617.7270
SB08-05,475003.6348,7026712.1872,333.5376,-26.881072063,116.748323787,333.5376,-2562331.0459,5083941.6828,-2866618.9230
SB08-06,475003.7252,7026715.5023,333.5376,-26.881042133,116.748324763,333.5376,-2562331.8074,5083942.9781,-2866615.9649
SB08-07,475004.7665,7026716.9641,333.5376,-26.881028955,116.748335276,333.5376,-2562333.0374,5083943.0976,-2866614.6624
SB08-08,475004.5704,7026718.9476,333.5376,-26.881011043,116.748333342,333.5376,-2562333.2697,5083943.9855,-2866612.8921
SB08-09,475003.1356,7026717.8539,333.5376,-26.881020891,116.748318873,333.5376,-2562331.7638,5083944.1919,-2866613.8654
SB08-10,475002.9297,7026719.6381,333.5376,-26.881004779,116.748316836,333.5376,-2562331.9463,5083945.0039,-2866612.2730
SB09-01,475007.5148,7026722.8774,333.5376,-26.880975615,116.748363066,333.5376,-2562336.7059,5083944.2412,-2866609.3906
SB09-02,475005.8786,7026722.0167,333.5376,-26.880983356,116.748346574,333.5376,-2562335.0681,5083944.6324,-2866610.1557
SB09-03,475006.2890,7026720.2517,333.5376,-26.880999299,116.748350671,333.5376,-2562335.0721,5083943.7359,-2866611.7314
SB09-04,475008.0553,7026718.6311,333.5376,-26.881013963,116.748368423,333.5376,-2562336.3166,5083942.2860,-2866613.1807
SB09-05,475009.2311,7026722.0590,333.5376,-26.880983034,116.748380330,333.5376,-2562338.0705,5083943.1372,-2866610.1239
SB09-06,475010.9548,7026720.3803,333.5376,-26.880998222,116.748397651,333.5376,-2562339.2650,5083941.6831,-2866611.6249
SB09-07,475012.0814,7026721.8148,333.5376,-26.880985290,116.748409023,333.5376,-2562340.5656,5083941.7531,-2866610.3469
SB09-08,475010.7632,7026723.0463,333.5376,-26.880974148,116.748395775,333.5376,-2562339.6414,5083942.8440,-2866609.2456
SB09-09,475008.7276,7026724.2395,333.5376,-26.880963339,116.748375304,333.5376,-2562338.0687,5083944.2431,-2866608.1773
SB09-10,475008.3294,7026726.9745,333.5376,-26.880938638,116.748371349,333.5376,-2562338.2748,5083945.5251,-2866605.7360
SB09-11,475006.7227,7026725.4494,333.5376,-26.880952378,116.748355142,333.5376,-2562336.5268,5083945.6351,-2866607.0940
SB10-01,475005.9889,7026715.7245,333.5376,-26.881040168,116.748347560,333.5376,-2562333.8745,5083942.0466,-2866615.7707
SB10-02,475004.8600,7026714.0928,333.5376,-26.881054880,116.748336160,333.5376,-2562332.5312,5083941.8982,-2866617.2247
SB10-03,475005.7345,7026710.9944,333.5376,-26.881082870,116.748344903,333.5376,-2562332.6759,5083940.2549,-2866619.9911
SB10-04,475007.1536,7026713.2371,333.5376,-26.881062647,116.748359236,333.5376,-2562334.4037,5083940.5187,-2866617.9923
SB10-05,475010.3219,7026711.5478,333.5376,-26.881077956,116.748391103,333.5376,-2562336.8861,5083938.4087,-2866619.5054
SB10-06,475008.1126,7026714.8167,333.5376,-26.881048402,116.748368924,333.5376,-2562335.5845,5083940.7228,-2866616.5845
SB10-07,475010.4564,7026713.6430,333.5376,-26.881059041,116.748392498,333.5376,-2562337.4364,5083939.1925,-2866617.6360
SB10-08,475009.5561,7026715.9070,333.5376,-26.881038584,116.748383479,333.5376,-2562337.0973,5083940.5111,-2866615.6142
SB10-09,475010.6604,7026718.5974,333.5376,-26.881014313,116.748394651,333.5376,-2562338.6360,5083941.0973,-2866613.2153
SB10-10,475007.4541,7026716.9206,333.5376,-26.881029395,116.748362336,333.5376,-2562335.4285,5083941.8678,-2866614.7059
SB10-11,475006.2960,7026718.2398,333.5376,-26.881017464,116.748350702,333.5376,-2562334.6652,5083942.9218,-2866613.5267
SB11-01,475012.8691,7026717.5276,333.5376,-26.881024012,116.748416869,333.5376,-2562340.3887,5083939.6698,-2866614.1739
SB11-02,475011.8419,7026716.0348,333.5376,-26.881037472,116.748406496,333.5376,-2562339.1648,5083939.5315,-2866615.5042
SB11-03,475014.6136,7026715.9192,333.5376,-26.881038564,116.748434401,333.5376,-2562341.6162,5083938.2347,-2866615.6122
SB11-04,475014.4987,7026713.3869,333.5376,-26.881061426,116.748433193,333.5376,-2562340.9935,5083937.2659,-2866617.8717
SB11-05,475016.1125,7026714.2627,333.5376,-26.881053548,116.748449459,333.5376,-2562342.6144,5083936.8909,-2866617.0931
SB11-06,475017.6572,7026716.4969,333.5376,-26.881033403,116.748465056,333.5376,-2562344.4526,5083937.0946,-2866615.1021
SB11-07,475019.6848,7026716.6151,333.5376,-26.881032373,116.748485473,333.5376,-2562346.2875,5083936.2277,-2866615.0002
SB11-08,475014.6257,7026717.7858,333.5376,-26.881021712,116.748434560,333.5376,-2562342.0103,5083938.9815,-2866613.9466
SB11-09,475014.6011,7026719.9096,333.5376,-26.881002537,116.748434354,333.5376,-2562342.4244,5083939.8486,-2866612.0514
